line_code	Intcp_mean	Slope_mean	R2_mean
E37	1764.2648	0.7765	0.9948
E38	1814.0312	0.7877	0.8768
E39	1621.7308	0.4292	0.9458
E40	1773.4256	0.4072	0.7058
E41	1782.4188	0.7029	0.9627
E42	1768.0899	0.4573	0.9429
E43	1993.5583	1.56	0.9921
E44	1879.9267	0.8166	0.9774
E45	1657.2447	0.4004	0.8894
E46	1988.9537	1.4687	0.9926
E47	1784.4258	0.7959	0.9763
E48	1733.3192	0.7634	0.9525
E49	1683.3384	0.3299	0.7369
E5	1887.9632	0.9748	0.9925
E50	2022.7939	1.5066	0.9697
E51	1815.3044	0.9137	0.9714
E52	1953.1026	0.8122	0.8805
E53	1876.2129	1.3983	0.9821
E54	2092.9081	1.7627	0.9789
E55	1721.0228	0.469	0.9792
E56	1817.9751	0.6929	0.9046
E57	1681.801	0.5627	0.9452
E58	1838.4407	0.6828	0.8191
E59	1656.0646	0.3628	0.9164
E6	1891.7684	0.9522	0.9902
E60	1921.9042	1.4994	0.9643
E61	1993.7585	1.6467	0.9551
E62	1771.8165	0.8077	0.9745
E63	1940.2083	1.4904	0.9876
E64	1830.0196	1.2183	0.9907
E65	1838.0296	0.8434	0.988
E66	1827.6695	1.178	0.6801
E68	1791.3797	0.4814	0.8794
E69	2099.8231	1.8583	0.9526
E7	2153.6913	1.7205	0.9562
E70	1692.0751	0.4958	0.9454
E71	1713.0666	0.445	0.9338
E72	1802.4293	0.8663	0.9134
E73	1969.9298	0.8624	0.921
E74	2337.7773	2.018	0.8605
E75	2026.414	1.6235	0.9687
E76	2054.0977	1.3916	0.9413
E77	1947.7239	1.4164	0.9811
E78	1795.839	0.7039	0.9812
E79	1852.7296	0.8078	0.9806
E8	1955.5682	1.1912	0.962
E80	1929.8715	1.3654	0.9427
E81	1855.8828	0.9226	0.9387
E82	1850.6788	0.724	0.8941
E83	1692.5215	0.5901	0.9745
E84	1725.7737	0.7719	0.8979
E85	1918.2038	1.2626	0.9486
E86	1991.2151	0.9746	0.9487
E87	1982.5239	0.9273	0.9798
E88	1971.6513	0.9426	0.9819
E89	2139.6896	1.5714	0.946
E9	1865.6694	0.5879	0.9848
E90	2180.5324	1.6891	0.9422
E91	1820.7527	0.9899	0.9918
E92	1970.0986	0.7467	0.9506
E93	1984.5198	0.9215	0.9433
E94	1959.9493	1.0404	0.9766
E95	2117.7464	1.9159	0.9789
E96	1789.4688	0.9058	0.9926
E97	1882.54	0.9746	0.9888
E98	1765.773	0.9914	0.957
E99	2032.6258	1.6494	0.9883
