env_code	pop_code	line_code	Prd_trait_mean	Prd_trait_kPara	Obs_trait	Line_mean
KS11	1	E111	2984.822	3073.442	3162.22	2072.02
KS12	1	E111	3613.957	3437.573	3185	2068.224
PR11	1	E111	1623.454	1510.75	1467.0816	2354.543
PR12	1	E111	1494.406	1544.3	1459.9614	2355.73
PR14S	1	E111	2278.03	2365.845	2715.84	2146.417
IA13	1	E112	1804.521	1811.488	1807.0888	1821.309
IA14	1	E112	1607.824	1598.304	1552.1193	1863.804
KS11	1	E112	2088.804	2109.051	2124.09	1768.476
KS12	1	E112	2233.36	2167.687	2204.42	1755.088
PR11	1	E112	1556.012	1516.811	1710.3	1837.441
PR12	1	E112	1589.964	1613.229	1501.4962	1872.241
PR14S	1	E112	1862.721	1892.516	1835.4307	1816.586
IA13	1	E113	1646.306	1653.321	1697.14	1663.309
IA14	1	E113	1463.934	1453.279	1372.01	1717.498
KS11	1	E113	1922.549	1943.24	2011.79	1610.868
KS12	1	E113	2080.891	2019.113	2062.69	1602.384
PR11	1	E113	1427.138	1389.829	1488.0238	1698.162
PR12	1	E113	1386.783	1412.981	1459.9614	1702.839
PR14S	1	E113	1729.099	1760.511	1585.38	1681.936
IA13	1	E114	1745.063	1752.561	1770.1398	1763.187
IA14	1	E114	1487.127	1473.034	1608.9573	1790.05
KS11	1	E114	2077.488	2103.149	2048.78	1716.747
KS12	1	E114	2167.539	2106.955	2217.47	1688.632
PR11	1	E114	1537.256	1503.204	1488.0238	1810.206
PR12	1	E114	1504.917	1530.156	1448.5393	1816.787
PR14S	1	E114	1813.495	1845.972	1767.35	1763.652
IA13	1	E115	2078.822	2092.577	2199.87	2111.693
IA14	1	E115	1661.745	1643.356	1736.54	2188.915
KS11	1	E115	2708.151	2749.706	2607.59	2043.74
KS12	1	E115	2809.581	2698.253	2984.78	1980.875
PR11	1	E115	1666.856	1602.825	1753.16	2186.145
PR12	1	E115	1658.459	1708.73	1544.0694	2220.993
PR14S	1	E115	2228.393	2286.887	2044.02	2137.668
IA13	1	E116	2176.913	2197.543	1967.65	2227.74
IA14	1	E116	1495.141	1448.65	1525.499	2301.432
KS11	1	E116	2968.53	3045.852	3194.32	2023.295
