line_code	PR12	IA14	PR11	IA13	PR14S	KS11	KS12
E162	1502.5346	1594.3281	1501.4585	1653.47	1897.3973	1828.1	1929.1
E163	1502.5346	1525.499	1558.7533	1831.2736	1670.48	1963.28	2355.5514
E164	1533.6857	1608.9573	1569.8172	2009.75	1906.125	2370.361	2739.92
E165	1502.5346	1594.5679	1444.95	1869.1183	1783.06	2299.3491	2786.79
E166	1627.83	1594.5679	1684.67	1757.38	1852.0133	2108.46	2158.28
E167	1595.6419	1566.7485	1703.37	1832.6172	1735.94	2139.38	2240.42
E168	1512.9183	1594.3281	1488.0238	1821.1993	1717.61	1851.62	2066.31
E169	1492.1509	1552.1193	1478.1454	1821.1993	1987.2926	2094.17	2442.3494
E17	1544.0694	1786.67	1593.9205	2218.27	2894.54	3307.95	3317.58
E170	1533.6857	1608.9573	1593.9205	1939.6573	2457.72	2148.83	2948.98
E171	1512.9183	1538.9291	1558.7533	1736.77	1670.48	2066.75	2335.45
E172	1595.988	1566.7485	1740.52	1776.9527	1817.1	1853.33	1991.47
E173	1492.1509	1525.2592	1454.83	1996.09	2188.9	3016.26	3044.89
E174	1491.1125	1525.499	1558.7533	1762.5261	1908.7433	2123.42	2144.29
E175	1459.9614	1766.04	1488.0238	2198.52	2720.86	3294.92	3317.58
E176	1502.5346	1594.5679	1523.5862	1783.1279	1952.3818	2164.78	2356.4452
E177	1533.6857	1579.9387	1523.5862	2064.39	2154.86	2997.91	3269.24
E178	1502.5346	1538.9291	1593.9205	1725.13	1735.94	1912.21	2081.77
E179	1532.6474	1474.177	1740.52	1708.33	1566.62	1853.33	1963.74
E18	1502.5346	1450.9142	1546.8992	1610.03	1817.98	1823.09	1911.92
E180	1470.3451	1512.0689	1444.95	2051.62	2171.88	2871.91	2940.96
E181	1523.302	1594.5679	1534.65	1734.31	1653.89	1867.06	2052.08
E182	1554.107	1525.499	1511.3369	1717.29	1752.08	1803.12	1904.31
E183	1502.5346	1461.946	1511.3369	1725.13	1566.62	1853.33	2004.98
E184	1512.9183	1512.0689	1665.84	1691.09	1566.62	1772.59	1919.48
E185	1470.3451	1512.0689	1546.8992	1771.4834	1566.62	1949.3	2147.68
E186	1449.9238	1594.3281	1442.19	1981.08	2271.82	3055.81	2916.61
E187	1481.7672	1552.1193	1546.8992	1925.1016	1908.7433	2340.1851	2631.87
E188	1595.6419	1579.9387	1692.7	1832.3932	1954.1274	2051.32	2102.77
E189	1471.3834	1498.6389	1668.03	1866.8457	1636.44	2020.79	2206.86
E19	1470.3451	1601.2829	1454.83	1953.7651	2448.11	3272.34	3275.3
E190	1512.9183	1538.9291	1642.9175	1953.0933	1735.94	2004.62	2192.9
E191	1438.5017	1681.86	1581.6713	2037.06	2846.53	3190.45	3117.87
E192	1492.1509	1565.3095	1535.8354	1896.4382	1817.1	2164.78	2302.07
E193	1523.302	1623.3466	1582.0664	1869.1183	1636.44	1901.96	2158.28
E194	1459.9614	1608.9573	1582.0664	1938.9855	1897.3973	2202.1973	2454.9355
E195	1480.7288	1565.3095	1444.95	1869.1183	1801.39	2000.15	2203.48
E196	1523.302	1538.9291	1535.8354	1794.3246	1686.62	1801.77	1945.55
E197	1544.0694	1512.0689	1557.9631	1754.69	1566.62	1949.3	2144.29
E198	1533.6857	1623.3466	1535.4403	1981.98	2076.32	2359.8909	2809.28
E199	1491.1125	1634.3785	1557.9631	1896.4382	1670.48	2254.3345	2329.85
E20	1448.5393	1463.1451	1432.31	1843.5899	2254.8	2647.95	2753.43
E200	1470.3451	1414.22	1546.8992	1589.37	1550.47	1650.17	1887.86
E201	1481.7672	1552.1193	1419.67	1939.2094	2304.98	2751.35	2990.34
E202	1428.118	1754.53	1442.19	2249.58	2669.58	3156.07	3467.31
E203	1480.7288	1525.499	1606.1698	1770.1398	1686.62	1869.43	2293.61
E204	1512.9183	1565.3095	1500.2731	1856.802	1868.596	2315.0187	2356.4452
E205	1492.1509	1594.5679	1714.44	1910.9938	2030.0583	2166.87	2512.8894
E206	1470.3451	1538.6892	1432.31	1734.09	1636.44	1980.83	2182.49
E207	1492.1509	1474.177	1488.0238	1635.11	1704.52	1870.43	2034.67
E208	1481.7672	1475.3761	1511.3369	1663.1	1670.48	1753.29	2076.19
E209	1481.7672	1463.1451	1580.6873	1721.55	1967.2189	1929.31	2240.42
E21	1564.8369	1475.3761	1511.3369	1608.01	1670.48	2015.78	2007.83
E210	1491.1125	1645.4103	1740.12	1990.33	2013.9121	2370.9783	2580.29
E211	1470.3451	1426.45	1500.2731	2064.39	2046.64	2462.17	2782.39
E212	1460.3075	1426.45	1501.4585	1622.56	1502.03	1686.97	1856.17
E213	1512.9183	1501.0371	1511.3369	1682.13	1566.62	1667.98	1752.7
E214	1554.4531	1623.3466	1569.8172	1832.6172	1752.08	2008.18	2342.75
E215	1564.8369	1634.3785	1690.73	1953.3172	1835.4307	2176.41	2841.63
E217	1533.6857	1487.607	1582.0664	1821.1993	1701.9	1898.68	2144.32
E218	1459.9614	1594.3281	1444.95	1854.4426	2137.41	2676.47	2862.93
E219	1544.0694	1552.1193	1733.54	1851.8376	2046.64	2330.6883	2377.9454
E22	1512.9183	1538.6892	1654.7716	2025.62	2154.86	3184.99	3246.84
E220	1502.5346	1663.64	1642.9175	1953.3172	2076.32	2160.46	2334.95
E221	1438.5017	1382.09	1419.67	1981.98	2014.3484	2343.0104	3086.73
E222	1428.118	1342.51	1444.95	1773.7227	1967.2189	2313.0956	2782.63
E223	1575.2206	1474.177	1618.8141	1723.05	1781.32	1949.96	2229.57
E224	1459.9614	1485.2088	1464.7108	1762.5261	1924.4532	1920	2151.57
E225	1481.7672	1579.9387	1546.5041	1820.0769	1801.39	2108.46	2534.6795
E226	1523.302	1645.4103	1692.7	1966.98	1967.2189	2066.75	2441.4073
E227	1512.9183	1485.2088	1618.8141	1782.6801	1817.1	2022	2267.01
E229	1617.45	1654.52	1558.42	2036.4	2092.02	2613.76	2396.8849
E23	1544.0694	1645.4103	1500.2731	1924.2301	2030.0583	2354.6914	2469.9857
E230	1438.5017	1450.9142	1418.87	1682.13	1601.53	1548.96	1932.05
E231	1502.5346	1819.28	1464.7108	2172.79	3252.37	3032.83	3050.9
E232	1439.5401	1672.75	1454.83	2197.63	2287.96	2538.12	2990.34
E233	1502.5346	1498.6389	1569.8172	1725.13	1701.9	1838.9	1872.62
E234	1471.3834	1538.9291	1534.65	1682.13	1636.44	1754.43	1919.48
E235	1459.9614	1552.1193	1478.1454	1870.9098	1636.44	2423.59	2054.91
E237	1428.118	1450.9142	1452.07	1820.0769	2046.64	2476.91	2786.79
E238	1533.6857	1634.3785	1593.9205	1896.4382	2046.64	2145.5	2566.78
E239	1492.1509	1579.9387	1535.8354	2009.97	2364.77	2867.16	3123.64
E24	1492.1509	1594.3281	1570.6074	1808.8803	2030.0583	2286.5896	2315.11
E240	1554.4531	1594.5679	1488.0238	1885.4654	1704.52	2031.68	2355.5514
E241	1407.7	1565.3095	1525.5618	1925.1016	2271.82	2476.91	3037.64
E242	1428.118	1476.5752	1419.67	1910.9938	2153.56	2503.74	2865.32
E243	1481.7672	1415.42	1511.3369	1793.8767	1636.44	1904.57	2194.76
E244	1449.9238	1512.0689	1525.5618	1855.9062	1817.1	1870.43	2050.85
E245	1502.5346	1463.1451	1595.8962	1715.5	1535.2	1788.19	1963.74
E246	1512.9183	1634.3785	1780.03	2071.55	2364.77	3049.92	3005.2
E247	1418.0804	1538.9291	1465.501	1856.802	1783.06	2079.21	2621.19
E248	1575.2206	1525.499	1593.9205	1797.6757	1670.48	1920	1919.48
E25	1543.7233	1552.1193	1666.63	1725.13	1651.71	1929.31	2028.82
E27	1448.5393	1426.45	1444.95	1620.78	1735.94	1901.96	2254.48
E28	1470.3451	1701.91	1444.95	1993.48	2655.68	3162.22	2979.69
E29	1512.9183	1382.09	1569.8172	1717.29	1601.53	1686.97	1911.92
E30	1523.302	1463.1451	1607.7503	1697.14	1601.53	1901.96	2050.85
E31	1428.118	1565.3095	1455.74	1980.95	2372.18	2939.38	2899.17
E32	1481.7672	1552.1193	1629.878	1902.2604	1954.1274	2211.4804	2378.5011
E33	1533.3396	1525.499	1665.84	1782.6801	1801.39	1838.9	2086.58
E34	1438.5017	1525.499	1454.83	1939.2094	2254.8	2816.33	2990.34
E35	1512.9183	1579.9387	1557.9631	1771.4834	1817.98	2125.56	2329.85
E36	1533.6857	1643.4917	1618.8141	2088.57	1932.56	2843.29	2983.02
E37	1471.3834	1514.2273	1488.0238	1786.0391	1801.39	2094.03	2194.76
E38	1595.6419	1608.9573	1523.191	1843.5899	1618.98	2192.7481	2315.11
E39	1460.3075	1474.177	1523.191	1588.98	1636.44	1739.92	1929.1
E40	1671.44	1498.6389	1802.57	1682.69	1751.64	1988.52	2018.48
E41	1502.5346	1552.1193	1593.9205	1826.447	1720.66	2064.73	2216.52
E42	1585.5496	1565.3095	1703.37	1757.38	1767.35	1947.54	2050.13
E43	1501.4962	1426.45	1488.0238	1896.4382	2076.32	2672.33	2893.85
E44	1523.302	1619.9891	1605.7746	1885.4654	2013.4757	2166.87	2344.61
E45	1575.2206	1498.6389	1558.7533	1593.68	1602.84	1855.99	1915.59
E46	1459.9614	1512.0689	1454.83	1938.9855	2137.41	2636.79	2782.63
E47	1502.5346	1553.3184	1464.7108	1820.0769	1817.1	2048.78	2284.46
E48	1470.3451	1475.3761	1558.7533	1662.43	1704.08	1995.24	2267.01
E49	1599.4492	1438.68	1606.1698	1747.3	1719.35	1867.06	1805.36
E5	1544.0694	1594.3281	1535.4403	1896.7313	1893.9063	2281.3052	2469.9615
E50	1492.1509	1512.0689	1511.3369	1949.0606	2105.99	2833.33	2755.62
E51	1459.9614	1594.5679	1478.1454	1843.5899	1767.35	2206.7083	2356.8076
E52	1602.4222	1704.41	1740.52	2090.81	1783.06	2307.3976	2443.0983
E53	1418.0804	1362.9	1444.95	1725.13	2044.02	2429.24	2709.17
E54	1481.7672	1581.1378	1454.83	1897.7817	2252.87	2931.07	3050.9
E55	1533.3396	1552.1193	1593.9205	1709.9	1769.97	1869.43	2018.48
E56	1554.107	1634.3785	1618.8141	1855.9062	1670.48	2152.91	2239.23
