line_code	env_code	Yprd	Yobs	Rep
E103	PR12	1528.755	1428.118	1
E104	PR12	1542.74	1502.5346	1
E114	PR12	1647.071	1448.5393	1
E115	PR12	1585.237	1544.0694	1
E118	PR12	1591.305	1512.9183	1
E119	PR12	1545.128	1502.5346	1
E122	PR12	1448.092	1459.9614	1
E123	PR12	1547.304	1543.7233	1
E128	PR12	1432.562	1459.9614	1
E130	PR12	1617.34	1533.6857	1
E131	PR12	1561.093	1564.8369	1
E134	PR12	1512.307	1470.6912	1
E135	PR12	1513.329	1502.5346	1
E148	PR12	1488.604	1471.3834	1
E15	PR12	1479.378	1491.1125	1
E154	PR12	1563.269	1448.5393	1
E157	PR12	1580.74	1407.7	1
E162	PR12	1511.993	1502.5346	1
E163	PR12	1493.198	1502.5346	1
E166	PR12	1627.925	1627.83	1
E17	PR12	1619.609	1544.0694	1
E174	PR12	1508.417	1491.1125	1
E189	PR12	1524.005	1471.3834	1
E190	PR12	1526.382	1512.9183	1
E191	PR12	1472.593	1438.5017	1
E194	PR12	1565.141	1459.9614	1
E199	PR12	1597.567	1491.1125	1
E203	PR12	1522.836	1480.7288	1
E205	PR12	1487.607	1492.1509	1
E206	PR12	1488.429	1470.3451	1
E207	PR12	1501.695	1492.1509	1
E214	PR12	1591.887	1554.4531	1
E219	PR12	1499.223	1544.0694	1
E223	PR12	1547.625	1575.2206	1
E225	PR12	1501.457	1481.7672	1
E227	PR12	1519.122	1512.9183	1
E231	PR12	1564.26	1502.5346	1
E238	PR12	1545.315	1533.6857	1
E240	PR12	1546.851	1554.4531	1
E246	PR12	1544.228	1512.9183	1
E27	PR12	1419.344	1448.5393	1
E31	PR12	1515.79	1428.118	1
E33	PR12	1544.224	1533.3396	1
E39	PR12	1496.181	1460.3075	1
E49	PR12	1540.137	1599.4492	1
E54	PR12	1612.822	1481.7672	1
E56	PR12	1596.664	1554.107	1
E61	PR12	1443.795	1438.5017	1
E63	PR12	1464.867	1460.3075	1
E69	PR12	1481.595	1448.5393	1
E72	PR12	1473.115	1523.302	1
E76	PR12	1586.566	1554.107	1
E84	PR12	1507.576	1492.1509	1
E85	PR12	1442.538	1470.3451	1
E87	PR12	1599.523	1595.988	1
E88	PR12	1591.514	1606.3717	1
E9	PR12	1646.989	1671.44	1
E95	PR12	1551.994	1492.1509	1
E97	PR12	1519.253	1523.302	1
E103	IA14	1537.221	1645.4103	1
E104	IA14	1550.347	1525.499	1
E114	IA14	1648.701	1608.9573	1
E115	IA14	1592.498	1736.54	1
E118	IA14	1595.49	1525.499	1
E119	IA14	1552.39	1538.9291	1
E122	IA14	1456.084	1342.51	1
E123	IA14	1552.836	1525.499	1
E128	IA14	1444.599	1403.19	1
E130	IA14	1623.129	1654.52	1
E131	IA14	1566.274	1538.9291	1
E134	IA14	1518.061	1475.3761	1
E135	IA14	1515.387	1426.45	1
E148	IA14	1493.809	1463.1451	1
E15	IA14	1485.601	1450.9142	1
E154	IA14	1573.464	1488.8061	1
E157	IA14	1584.742	1538.6892	1
E162	IA14	1512.997	1594.3281	1
