env_code	DL	GDD	PTT	PTR	PTS
PR11	11.88	27	320.76	2.272727273	312979.6454
PR11	11.9	24.3	289.17	2.042016807	492411.9564
PR11	11.88	26.1	310.068	2.196969697	502647.3429
PR11	11.87	27.9	331.173	2.350463353	276591.8865
PR11	11.87	29.7	352.539	2.50210615	282982.9698
PR11	11.87	29.7	352.539	2.50210615	363835.2469
PR11	11.87	29.7	352.539	2.50210615	282982.9698
PR11	11.85	26.1	309.285	2.202531646	346231.3329
PR11	11.87	29.7	352.539	2.50210615	363835.2469
PR11	11.85	28.8	341.28	2.430379747	398350.548
PR11	11.85	30.6	362.61	2.582278481	325959.9408
PR11	11.85	29.7	351.945	2.506329114	282030.1659
PR11	11.83	28.8	340.704	2.434488588	238204.2237
PR11	11.85	27	319.95	2.278481013	311400.936
