env_code	DL	GDD	PTT	PTR	PTS
PR12	11.85	24.3	287.955	2.050632911	187801.0515
PR12	11.87	26.55	315.1485	2.236731255	252384.3901
PR12	11.85	28.8	341.28	2.430379747	318680.4384
PR12	11.85	25.2	298.62	2.126582278	304121.4336
PR12	11.85	21.6	255.96	1.82278481	72390.6072
PR12	11.83	20.7	244.881	1.749788673	106859.3821
PR12	11.85	20.7	245.295	1.746835443	321663.0123
PR12	11.83	24.3	287.469	2.054099746	336901.7859
PR12	11.85	22.5	266.625	1.898734177	109950.8175
PR12	11.83	27	319.41	2.282333052	310350.6806
PR12	11.85	29.7	351.945	2.506329114	362610.2133
PR12	11.83	29.7	351.351	2.510566357	441695.5223
PR12	11.85	27.9	330.615	2.35443038	433180.9449
PR12	11.83	30.6	361.998	2.586644125	324860.5826
PR12	11.85	26.1	309.285	2.202531646	423171.6291
PR12	11.85	18	213.3	1.518987342	68750.856
PR12	11.85	28.8	341.28	2.430379747	398350.548
PR12	11.87	29.7	352.539	2.50210615	363835.2469
PR12	11.85	30.6	362.61	2.582278481	325959.9408
PR12	11.87	24.3	288.441	2.047177759	113061.3084
PR12	11.87	27.9	331.173	2.350463353	434644.393
PR12	11.87	28.8	341.856	2.426284751	319757.0607
PR12	11.87	27.9	331.173	2.350463353	355618.1397
PR12	11.88	25.2	299.376	2.121212121	382079.0477
PR12	11.88	24.3	288.684	2.045454545	188753.1466
PR12	11.88	28.8	342.144	2.424242424	320296.0527
PR12	11.9	27.9	332.01	2.344537815	357417.9756
PR12	11.9	25.2	299.88	2.117647059	383366.592
PR12	11.9	25.2	299.88	2.117647059	383366.592
PR12	11.92	26.1	311.112	2.189597315	428185.8916
PR12	11.92	23.4	278.928	1.963087248	300359.2827
PR12	11.93	28.8	343.584	2.414082146	403747.2763
PR12	11.93	29.7	354.321	2.489522213	367522.7428
PR12	11.95	28.8	344.16	2.410041841	405102.132
PR12	11.95	26.1	311.895	2.184100418	508588.2477
PR12	11.95	27.9	333.405	2.334728033	360427.7979
PR12	11.97	27	323.19	2.255639098	317739.7238
PR12	11.97	28.8	344.736	2.406015038	243875.5543
PR12	11.98	27.9	334.242	2.328881469	362239.7488
PR12	12	24.3	291.6	2.025	423688.32
PR12	12	27.9	334.8	2.325	363450.24
PR12	12.02	27	324.54	2.24625624	480599.6026
PR12	12.02	26.1	313.722	2.171381032	356236.6535
PR12	12.03	26.1	313.983	2.16957606	515420.5909
PR12	12.03	24.3	292.329	2.019950125	425809.4097
PR12	12.07	27	325.89	2.236951118	403838.5428
PR12	12.07	26.1	315.027	2.162386081	359206.5168
PR12	12.08	30.6	369.648	2.533112583	254052.0253
PR12	12.08	23.4	282.672	1.937086093	385595.9194
PR12	12.1	27.9	337.59	2.305785124	533769.8652
PR12	12.1	26.1	315.81	2.157024793	441215.3196
PR12	12.13	27	327.51	2.225886232	407863.4868
PR12	12.13	26.1	316.593	2.151690025	443405.8764
PR12	12.15	29.7	360.855	2.444444444	296490.9339
PR12	12.15	27	328.05	2.222222222	409209.57
PR12	12.18	27	328.86	2.216748768	328986.2822
PR12	12.18	27	328.86	2.216748768	328986.2822
PR12	12.2	27	329.4	2.213114754	247550.688
PR12	12.22	26.1	318.942	2.135842881	368190.0762
PR12	12.23	27.9	341.217	2.281275552	377516.0167
PR12	12.25	27	330.75	2.204081633	332778.6
PR12	12.25	28.8	352.8	2.351020408	340557.84
PR12	12.27	23.4	287.118	1.907090465	397820.983
PR12	12.28	20.7	254.196	1.685667752	38381.20877
PR12	12.3	18.9	232.47	1.536585366	37525.9716
PR12	12.32	25.2	310.464	2.045454545	410905.3133
PR12	12.32	25.2	310.464	2.045454545	410905.3133
PR12	12.35	23.4	288.99	1.894736842	322420.3632
PR12	12.35	23.4	288.99	1.894736842	322420.3632
