env_code	DL	GDD	PTT	PTR	PTS
PR14S	13.03	32.4	422.172	2.486569455	402910.4494
PR14S	13.02	32.4	421.848	2.488479263	402292.2516
PR14S	13	33.3	432.9	2.561538462	456117.48
PR14S	12.98	33.3	432.234	2.565485362	454715.1212
PR14S	12.97	30.6	396.882	2.359290671	488109.7634
PR14S	12.95	30.6	396.27	2.362934363	486605.574
PR14S	12.93	32.4	418.932	2.505800464	396749.8299
PR14S	12.92	32.4	418.608	2.507739938	495170.473
PR14S	12.9	35.1	452.79	2.720930233	356869.5732
PR14S	12.88	33.3	428.904	2.585403727	447735.714
PR14S	12.87	33.3	428.571	2.587412587	347698.355
PR14S	12.83	32.4	415.692	2.525331255	488295.841
PR14S	12.82	27.9	357.678	2.176287051	46090.98706
PR14S	12.82	27	346.14	2.106084243	91116.97056
PR14S	12.8	31.5	403.2	2.4609375	432635.904
PR14S	12.78	30.6	391.068	2.394366197	473913.6854
PR14S	12.77	32.4	413.748	2.537196554	386991.5604
PR14S	12.73	32.4	412.452	2.545168892	288428.2335
PR14S	12.72	32.4	412.128	2.547169811	383967.019
PR14S	12.72	26.1	331.992	2.051886792	44326.28966
PR14S	12.7	32.4	411.48	2.551181102	287070.3936
PR14S	12.68	34.2	433.656	2.697160883	389890.8887
PR14S	12.67	27	342.09	2.131018153	88997.22216
PR14S	12.63	31.5	397.845	2.494061758	514824.8431
