env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_14	33.336	22.626	0	0.09	0.0027
Soda Springs_14	36.594	23.877	1.251	0.06	0.0016
Soda Springs_14	30.438	27.099	3.222	0.71	0.0233
Soda Springs_14	20.124	22.77	4.329	3.04	0.1511
Soda Springs_14	29.844	25.524	2.754	0.1	0.0034
Soda Springs_14	27.324	30.744	5.22	0.06	0.0022
Soda Springs_14	29.628	30.042	0.702	0.07	0.0024
Soda Springs_14	29.412	32.436	2.394	0.21	0.0071
Soda Springs_14	24.552	23.346	9.09	0.13	0.0053
Soda Springs_14	32.796	27.072	3.726	0.16	0.0049
Soda Springs_14	27.576	27.27	0.198	0.47	0.017
Soda Springs_14	25.452	22.212	5.058	0.1	0.0039
Soda Springs_14	33.246	27.369	5.157	0	0
Soda Springs_14	23.796	28.674	1.305	0.05	0.0021
Soda Springs_14	21.762	28.809	0.135	0.02	9e-04
Soda Springs_14	32.22	25.092	3.717	0.06	0.0019
Soda Springs_14	27.72	27.81	2.718	0.01	4e-04
Soda Springs_14	31.374	25.065	2.745	0	0
Soda Springs_14	26.28	21.384	3.681	0.12	0.0046
Soda Springs_14	33.786	25.875	4.491	0	0
Soda Springs_14	28.746	27.801	1.926	0.07	0.0024
Soda Springs_14	29.718	23.751	4.05	0	0
Soda Springs_14	37.764	28.26	4.509	0.36	0.0095
Soda Springs_14	23.184	23.184	5.076	0.24	0.0104
Soda Springs_14	22.626	13.905	9.279	0.58	0.0256
Soda Springs_14	25.47	17.613	3.708	0.97	0.0381
Soda Springs_14	19.764	17.496	0.117	8.27	0.4184
Soda Springs_14	13.77	10.503	6.993	6.11	0.4437
Soda Springs_14	17.172	8.109	2.394	4.88	0.2842
Soda Springs_14	36.99	18.171	10.062	0.16	0.0043
Soda Springs_14	31.302	24.147	5.976	0.21	0.0067
Soda Springs_14	25.938	33.615	9.468	0.07	0.0027
Soda Springs_14	26.442	30.339	3.276	0.12	0.0045
Soda Springs_14	30.906	29.169	1.17	0.06	0.0019
Soda Springs_14	31.248	31.842	2.673	0.25	0.008
Soda Springs_14	26.784	33.39	1.548	0.64	0.0239
Soda Springs_14	11.826	25.209	8.181	3.09	0.2613
Soda Springs_14	17.37	21.879	3.33	6.26	0.3604
Soda Springs_14	26.622	24.273	2.394	1.06	0.0398
Soda Springs_14	27.63	28.665	4.392	0	0
Soda Springs_14	29.952	24.48	4.185	0	0
Soda Springs_14	36.756	27.612	3.132	0	0
Soda Springs_14	36.63	33.633	6.021	0	0
Soda Springs_14	20.898	33.201	0.432	1.27	0.0608
Soda Springs_14	33.714	38.007	4.806	0.92	0.0273
Soda Springs_14	30.78	39.582	1.575	0.03	0.001
Soda Springs_14	26.064	41.166	1.584	0.05	0.0019
Soda Springs_14	29.196	38.106	3.06	0.02	7e-04
Soda Springs_14	32.436	39.024	0.918	0	0
Soda Springs_14	28.386	40.959	1.935	1.39	0.049
Soda Springs_14	21.366	37.755	3.204	0.62	0.029
Soda Springs_14	19.998	34.119	3.636	1.71	0.0855
Soda Springs_14	31.05	37.089	2.97	0.85	0.0274
Soda Springs_14	30.006	38.943	1.854	0.01	3e-04
Soda Springs_14	31.932	41.094	2.151	1.9	0.0595
Soda Springs_14	27.9	38.358	2.736	1.13	0.0405
Soda Springs_14	23.868	32.544	5.814	0.26	0.0109
Soda Springs_14	31.23	35.577	3.033	0.17	0.0054
Soda Springs_14	25.974	40.023	4.446	0	0
Soda Springs_14	28.926	37.593	2.43	0.01	3e-04
Soda Springs_14	27.882	38.871	1.278	0.29	0.0104
Soda Springs_14	24.39	37.557	1.314	1.86	0.0763
Soda Springs_14	29.52	39.654	2.097	0.09	0.003
Soda Springs_14	31.662	41.103	1.449	0.08	0.0025
Soda Springs_14	21.87	35.667	5.436	0.29	0.0133
Soda Springs_14	30.51	35.127	0.54	0	0
Soda Springs_14	28.368	36.09	0.963	0.01	4e-04
Soda Springs_14	37.458	37.449	1.359	0	0
Soda Springs_14	26.928	39.06	1.611	1.7	0.0631
Soda Springs_14	10.8	28.746	10.314	5.42	0.5019
Soda Springs_14	21.96	32.544	3.798	2.28	0.1038
Soda Springs_14	30.672	31.536	1.008	0.24	0.0078
Soda Springs_14	31.338	36.189	4.653	0.16	0.0051
Soda Springs_14	25.182	37.251	1.062	0.08	0.0032
Soda Springs_14	33.102	38.727	1.476	0.18	0.0054
Soda Springs_14	13.698	33.147	5.58	7.67	0.5599
Soda Springs_14	15.354	30.429	2.718	15.29	0.9958
Soda Springs_14	18.486	29.889	0.54	3.87	0.2093
Soda Springs_14	20.412	27.9	1.989	1.02	0.05
Soda Springs_14	22.176	28.53	0.63	7.75	0.3495
Soda Springs_14	26.766	32.589	4.059	0.22	0.0082
Soda Springs_14	31.194	33.849	1.26	0.37	0.0119
Soda Springs_14	32.202	37.503	3.654	0.12	0.0037
Soda Springs_14	19.89	34.407	3.096	2.06	0.1036
Soda Springs_14	20.268	33.084	1.323	1.99	0.0982
Soda Springs_14	20.772	34.056	0.972	2.89	0.1391
Soda Springs_14	28.206	34.335	0.279	0.47	0.0167
Soda Springs_14	23.346	36.675	2.34	0	0
Soda Springs_14	23.76	38.484	1.809	0.03	0.0013
Soda Springs_14	31.086	36.603	1.881	0.05	0.0016
Soda Springs_14	16.272	31.806	4.797	2.69	0.1653
Soda Springs_14	18.072	25.416	6.39	7.91	0.4377
Soda Springs_14	11.178	26.325	0.909	16.9	1.5119
Soda Springs_14	14.868	22.698	3.627	21.47	1.444
Soda Springs_14	15.966	18.279	4.419	5.77	0.3614
Soda Springs_14	25.038	19.755	1.476	0.97	0.0387
Soda Springs_14	15.282	19.017	0.738	4.28	0.2801
Soda Springs_14	26.316	26.406	7.389	0.46	0.0175
Soda Springs_14	22.644	28.278	1.872	0.37	0.0163
Soda Springs_14	30.042	29.673	1.395	0.07	0.0023
Soda Springs_14	27.99	32.661	2.988	0.26	0.0093
Soda Springs_14	15.462	29.151	3.51	1.64	0.1061
Soda Springs_14	17.946	22.437	6.714	2.01	0.112
Soda Springs_14	29.25	20.835	1.602	0.05	0.0017
Soda Springs_14	32.922	27.297	6.462	0.02	6e-04
Soda Springs_14	25.956	22.518	4.779	0.05	0.0019
Soda Springs_14	31.788	18.972	3.546	0.01	3e-04
Soda Springs_14	32.472	24.408	5.436	0.18	0.0055
Soda Springs_14	33.21	28.449	4.041	0.61	0.0184
Soda Springs_14	29.394	30.753	2.304	0.57	0.0194
Soda Springs_14	28.26	29.628	1.125	2.45	0.0867
Soda Springs_14	25.812	26.514	3.114	1.38	0.0535
Soda Springs_14	26.262	20.187	6.327	0.03	0.0011
Soda Springs_14	24.318	11.313	8.874	0.02	8e-04
Soda Springs_14	39.258	16.047	4.734	0.05	0.0013
Soda Springs_14	37.62	22.482	6.435	0.08	0.0021
Soda Springs_14	27.144	29.844	7.362	0.17	0.0063
Soda Springs_14	30.294	30.861	1.017	0.22	0.0073
Soda Springs_14	30.708	32.436	1.575	0.15	0.0049
Soda Springs_14	26.64	37.17	4.734	0.22	0.0083
Soda Springs_14	21.654	32.517	4.653	6.67	0.308
Soda Springs_14	24.336	29.16	3.357	2.94	0.1208
Soda Springs_14	31.536	30.51	1.35	0.41	0.013
Soda Springs_14	22.572	26.442	4.068	3.6	0.1595
Soda Springs_14	16.812	22.464	3.978	2.47	0.1469
Soda Springs_14	27.306	27.675	5.211	0.09	0.0033
Soda Springs_14	27.612	33.12	5.445	0.04	0.0014
Soda Springs_14	29.322	32.463	0.657	0	0
Soda Springs_14	22.824	31.14	1.323	2.7	0.1183
Soda Springs_14	11.808	23.22	7.92	17.33	1.4676
Soda Springs_14	17.19	16.245	6.975	31.4	1.8266
Soda Springs_14	14.814	12.609	3.636	6.54	0.4415
Soda Springs_14	19.44	10.89	1.719	7.99	0.411
Soda Springs_14	15.84	7.677	3.213	0.96	0.0606
Soda Springs_14	28.764	11.997	4.32	0	0
Soda Springs_14	25.704	12.825	0.828	0	0
Soda Springs_14	26.298	17.235	4.41	0.1	0.0038
Soda Springs_14	22.698	21.015	3.78	0.14	0.0062
Soda Springs_14	25.416	21.474	0.459	0.07	0.0028
Soda Springs_14	27.378	22.635	1.161	0.07	0.0026
Soda Springs_14	25.758	24.777	2.142	0.02	8e-04
Soda Springs_14	32.166	21.321	3.456	0.01	3e-04
Soda Springs_14	21.474	22.221	0.9	0.01	5e-04
Soda Springs_14	20.286	15.759	6.462	1.88	0.0927
Soda Springs_14	12.816	9.792	5.967	6.38	0.4978
Soda Springs_14	22.878	10.548	0.756	0.01	4e-04
Soda Springs_14	30.528	17.514	6.966	0.04	0.0013
Soda Springs_14	29.124	17.73	0.216	0.14	0.0048
Soda Springs_14	17.352	10.026	7.704	0.06	0.0035
Soda Springs_14	32.328	16.128	6.102	0	0
