env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_17	31.464	20.754	0	0	0
Soda Springs_17	28.134	25.569	4.815	0.06	0.0021
Soda Springs_17	33.192	21.852	3.717	0.11	0.0033
Soda Springs_17	16.092	7.74	14.112	0.21	0.013
Soda Springs_17	31.158	13.329	5.589	0.06	0.0019
Soda Springs_17	23.022	14.823	1.494	0.26	0.0113
Soda Springs_17	21.654	12.537	2.286	6.73	0.3108
Soda Springs_17	10.134	2.313	10.224	7.82	0.7717
Soda Springs_17	24.876	7.704	5.391	3.2	0.1286
Soda Springs_17	26.118	10.449	2.745	0.78	0.0299
Soda Springs_17	20.664	11.484	1.035	1.06	0.0513
Soda Springs_17	26.478	16.155	4.671	0.71	0.0268
Soda Springs_17	23.328	20.79	4.635	0.13	0.0056
Soda Springs_17	31.266	22.797	2.007	0.12	0.0038
Soda Springs_17	24.678	22.347	0.45	1.43	0.0579
Soda Springs_17	23.85	12.033	10.314	0.52	0.0218
Soda Springs_17	15.912	11.16	0.873	3.21	0.2017
Soda Springs_17	25.776	14.634	3.474	0.43	0.0167
Soda Springs_17	27.072	23.382	8.748	0.09	0.0033
Soda Springs_17	31.59	23.643	0.261	0.07	0.0022
Soda Springs_17	31.014	26.775	3.132	0.04	0.0013
Soda Springs_17	29.97	30.717	3.942	0.15	0.005
Soda Springs_17	21.762	27.549	3.168	1.69	0.0777
Soda Springs_17	25.092	24.336	3.213	0.38	0.0151
Soda Springs_17	33.588	27.162	2.826	0	0
Soda Springs_17	29.682	32.607	5.445	0.22	0.0074
Soda Springs_17	22.842	27.333	5.274	0.15	0.0066
Soda Springs_17	34.164	29.52	2.187	0.79	0.0231
Soda Springs_17	30.096	33.822	4.302	0.24	0.008
Soda Springs_17	28.098	31.473	2.349	0	0
Soda Springs_17	24.534	23.967	7.506	2.7	0.1101
Soda Springs_17	19.26	19.44	4.527	0.93	0.0483
Soda Springs_17	31.914	24.885	5.445	1.76	0.0551
Soda Springs_17	25.182	20.133	4.752	4.85	0.1926
Soda Springs_17	16.344	13.608	6.525	10.62	0.6498
Soda Springs_17	30.384	17.91	4.302	0.01	3e-04
Soda Springs_17	23.436	24.984	7.074	0.17	0.0073
Soda Springs_17	19.656	25.668	0.684	4.31	0.2193
