env_code	DTR	GDD	dGDD	PR	PRDTR
Aberdeen_18	27.342	11.151	0	0.01	4e-04
Aberdeen_18	30.222	14.787	3.636	0.67	0.0222
Aberdeen_18	15.462	14.355	0.432	3.83	0.2477
Aberdeen_18	10.26	2.736	11.619	9.97	0.9717
Aberdeen_18	21.726	7.047	4.311	0.12	0.0055
Aberdeen_18	21.51	7.902	0.855	0.14	0.0065
Aberdeen_18	26.784	16.038	8.136	0.05	0.0019
Aberdeen_18	19.35	7.938	8.1	1.45	0.0749
Aberdeen_18	13.392	3.789	4.149	0.36	0.0269
Aberdeen_18	26.028	9.405	5.616	0	0
Aberdeen_18	21.474	13.311	3.906	0.07	0.0033
Aberdeen_18	31.86	16.38	3.069	0.07	0.0022
Aberdeen_18	33.336	18.234	1.854	0	0
Aberdeen_18	29.412	23.328	5.094	2.29	0.0779
Aberdeen_18	22.572	12.996	10.332	1.97	0.0873
Aberdeen_18	29.736	13.734	0.738	0.01	3e-04
Aberdeen_18	35.37	16.938	3.204	0	0
Aberdeen_18	33.516	21.834	4.896	0	0
Aberdeen_18	38.034	26.181	4.347	0	0
Aberdeen_18	23.454	22.779	3.402	0.18	0.0077
Aberdeen_18	17.892	12.132	10.647	0.67	0.0374
Aberdeen_18	10.656	7.83	4.302	5.99	0.5621
Aberdeen_18	13.464	9.63	1.8	1.06	0.0787
Aberdeen_18	29.538	13.626	3.996	0.05	0.0017
Aberdeen_18	29.988	17.694	4.068	0	0
Aberdeen_18	32.796	23.418	5.724	0	0
Aberdeen_18	28.422	29.655	6.237	0.04	0.0014
Aberdeen_18	29.754	32.445	2.79	0.01	3e-04
Aberdeen_18	25.398	27.261	5.184	0	0
Aberdeen_18	31.068	27.864	0.603	0	0
Aberdeen_18	23.778	31.563	3.699	0.17	0.0071
Aberdeen_18	25.164	27.666	3.897	1.54	0.0612
Aberdeen_18	11.43	16.029	11.637	2.71	0.2371
Aberdeen_18	20.556	14.868	1.161	10.85	0.5278
Aberdeen_18	28.26	16.038	1.17	1.02	0.0361
Aberdeen_18	31.032	21.33	5.292	0.8	0.0258
Aberdeen_18	28.206	25.011	3.681	0.64	0.0227
Aberdeen_18	27.738	26.973	1.962	0.38	0.0137
Aberdeen_18	21.024	23.364	3.609	1.43	0.068
Aberdeen_18	20.25	21.465	1.899	4.14	0.2044
Aberdeen_18	25.128	24.732	3.267	0.66	0.0263
Aberdeen_18	28.89	26.361	1.629	0.52	0.018
Aberdeen_18	18.918	27.225	0.864	2.54	0.1343
Aberdeen_18	20.304	26.1	1.125	1.94	0.0955
Aberdeen_18	12.024	21.78	4.32	2.93	0.2437
Aberdeen_18	23.922	29.691	7.911	0.54	0.0226
