env_code	DTR	GDD	dGDD	PR	PRDTR
Ashton_08	20.754	14.139	0	5.05	0.2433
Ashton_08	18.828	9	5.139	6.5	0.3452
Ashton_08	14.544	5.94	3.06	4.01	0.2757
Ashton_08	19.368	8.19	2.25	3.69	0.1905
Ashton_08	25.758	11.736	3.546	1.96	0.0761
Ashton_08	20.394	8.667	3.069	10.74	0.5266
Ashton_08	11.124	3.123	5.544	8.62	0.7749
Ashton_08	16.704	6.84	3.717	5.17	0.3095
Ashton_08	24.48	14.31	7.47	0.66	0.027
Ashton_08	31.698	18.603	4.293	0.34	0.0107
Ashton_08	30.204	19.944	1.341	0.36	0.0119
Ashton_08	29.268	23.31	3.366	0.12	0.0041
Ashton_08	26.91	26.973	3.663	0.32	0.0119
Ashton_08	24.948	24.876	2.097	0.18	0.0072
Ashton_08	25.812	20.664	4.212	0.11	0.0043
Ashton_08	28.854	23.373	2.709	0.29	0.0101
Ashton_08	33.408	26.226	2.853	0.29	0.0087
Ashton_08	24.246	27.261	1.035	0.41	0.0169
Ashton_08	23.13	27.315	0.054	0.36	0.0156
Ashton_08	26.424	26.19	1.125	0.04	0.0015
Ashton_08	27.108	26.01	0.18	0.21	0.0077
Ashton_08	21.24	27.936	1.926	0.45	0.0212
Ashton_08	26.118	23.913	4.023	0	0
Ashton_08	29.52	27.252	3.339	0.08	0.0027
Ashton_08	30.186	30.933	3.681	0.28	0.0093
Ashton_08	24.876	35.514	4.581	0.6	0.0241
Ashton_08	26.226	31.239	4.275	3.03	0.1155
Ashton_08	22.644	29.61	1.629	0.54	0.0238
Ashton_08	27.81	32.301	2.691	0.2	0.0072
Ashton_08	27.702	32.679	0.378	0.04	0.0014
Ashton_08	22.896	31.338	1.341	0.08	0.0035
Ashton_08	19.422	25.065	6.273	0.46	0.0237
Ashton_08	25.164	27.756	2.691	0.03	0.0012
Ashton_08	26.874	27.153	0.603	0	0
Ashton_08	28.728	28.656	1.503	0	0
Ashton_08	28.44	31.086	2.43	0	0
Ashton_08	23.958	22.329	8.757	0.03	0.0013
Ashton_08	34.146	22.329	0	0	0
Ashton_08	30.24	27.738	5.409	0	0
Ashton_08	28.242	27.711	0.027	0	0
Ashton_08	33.48	29.52	1.809	0.08	0.0024
Ashton_08	26.73	30.519	0.999	0.15	0.0056
Ashton_08	26.964	28.638	1.881	0.44	0.0163
Ashton_08	26.874	30.231	1.593	0.39	0.0145
Ashton_08	28.944	27.09	3.141	0.04	0.0014
Ashton_08	30.96	34.452	7.362	1.18	0.0381
Ashton_08	26.73	33.363	1.089	3.83	0.1433
Ashton_08	24.93	31.383	1.98	4.42	0.1773
Ashton_08	25.128	30.456	0.927	0.09	0.0036
Ashton_08	28.908	32.022	1.566	0.68	0.0235
Ashton_08	34.956	34.02	1.998	0	0
Ashton_08	32.958	35.163	1.143	0.21	0.0064
Ashton_08	30.096	33.876	1.287	0.26	0.0086
Ashton_08	30.294	31.959	1.917	0.02	7e-04
Ashton_08	31.68	32.508	0.549	0.95	0.03
Ashton_08	29.376	30.744	1.764	0	0
Ashton_08	32.076	28.872	1.872	0.12	0.0037
Ashton_08	33.606	34.947	6.075	0.12	0.0036
Ashton_08	28.548	33.948	0.999	0.51	0.0179
