env_code	DTR	GDD	dGDD	PR	PRDTR
Aberdeen_12	21.582	7.56	0	0.2	0.0093
Aberdeen_12	16.218	3.753	3.807	0.74	0.0456
Aberdeen_12	29.286	9.801	6.048	0.13	0.0044
Aberdeen_12	35.01	16.758	6.957	0.25	0.0071
Aberdeen_12	36.378	19.881	3.123	0	0
Aberdeen_12	35.1	22.68	2.799	0	0
Aberdeen_12	27.918	23.301	0.621	4.26	0.1526
Aberdeen_12	17.712	8.433	14.868	3.76	0.2123
Aberdeen_12	17.964	8.586	0.153	1.07	0.0596
Aberdeen_12	26.82	12.771	4.185	0.05	0.0019
Aberdeen_12	23.382	9.684	3.087	0	0
Aberdeen_12	26.298	11.358	1.674	0.8	0.0304
Aberdeen_12	20.142	16.371	5.013	1.14	0.0566
Aberdeen_12	12.528	14.022	2.349	3.5	0.2794
Aberdeen_12	19.998	13.005	1.017	1.19	0.0595
Aberdeen_12	29.574	20.421	7.416	0.02	7e-04
Aberdeen_12	32.562	27.387	6.966	0	0
Aberdeen_12	32.706	32.823	5.436	0	0
Aberdeen_12	34.02	34.47	1.647	0.18	0.0053
Aberdeen_12	27.288	32.184	2.286	0.04	0.0015
Aberdeen_12	23.562	31.005	1.179	0.22	0.0093
Aberdeen_12	28.512	18.036	12.969	9.77	0.3427
Aberdeen_12	15.768	5.418	12.618	2.29	0.1452
Aberdeen_12	27.54	10.404	4.986	0.17	0.0062
Aberdeen_12	25.11	13.923	3.519	0.1	0.004
Aberdeen_12	27.144	19.26	5.337	1.87	0.0689
Aberdeen_12	22.338	14.427	4.833	0.32	0.0143
Aberdeen_12	24.354	12.537	1.89	0.03	0.0012
Aberdeen_12	19.584	18.882	6.345	0.53	0.0271
Aberdeen_12	25.128	16.542	2.34	1.76	0.07
Aberdeen_12	21.78	9.504	7.038	0.99	0.0455
Aberdeen_12	30.042	12.384	2.88	0	0
Aberdeen_12	33.588	15.507	3.123	0	0
Aberdeen_12	33.714	22.347	6.84	0	0
Aberdeen_12	35.928	27.846	5.499	0	0
Aberdeen_12	25.542	17.703	10.143	0	0
Aberdeen_12	33.264	15.894	1.809	0.01	3e-04
Aberdeen_12	30.222	21.177	5.283	0	0
Aberdeen_12	32.634	26.847	5.67	0	0
Aberdeen_12	34.362	31.329	4.482	0	0
Aberdeen_12	33.264	33.012	1.683	0	0
Aberdeen_12	26.856	34.02	1.008	0.09	0.0034
Aberdeen_12	28.17	30.285	3.735	0.3	0.0106
Aberdeen_12	22.194	21.105	9.18	0.67	0.0302
Aberdeen_12	29.376	21.474	0.369	0.02	7e-04
Aberdeen_12	31.41	29.007	7.533	0	0
Aberdeen_12	34.11	35.631	6.624	0	0
Aberdeen_12	21.528	21.888	13.743	0.1	0.0046
Aberdeen_12	19.584	16.866	5.022	0.43	0.022
Aberdeen_12	18.954	13.347	3.519	1.43	0.0754
