env_code	DTR	GDD	dGDD	PR	PRDTR
Aberdeen_13	15.57	12.843	0	3.16	0.203
Aberdeen_13	16.236	10.152	2.691	0.81	0.0499
Aberdeen_13	16.614	10.125	0.027	6.13	0.369
Aberdeen_13	17.82	5.211	4.914	2.02	0.1134
Aberdeen_13	20.124	5.769	0.558	1.5	0.0745
Aberdeen_13	31.788	11.736	5.967	0.24	0.0076
Aberdeen_13	23.652	11.457	0.279	0.08	0.0034
Aberdeen_13	29.286	11.493	0.036	0	0
Aberdeen_13	25.938	8.298	3.195	2.53	0.0975
Aberdeen_13	20.034	4.545	3.753	0.1	0.005
Aberdeen_13	13.518	3.807	0.738	1.08	0.0799
Aberdeen_13	14.04	2.862	0.945	1.06	0.0755
Aberdeen_13	20.34	3.852	0.99	0.22	0.0108
Aberdeen_13	25.848	7.731	3.879	0.01	4e-04
Aberdeen_13	19.584	7.956	0.225	4.43	0.2262
Aberdeen_13	20.952	9.684	1.728	2.8	0.1336
Aberdeen_13	26.856	11.745	2.061	0.03	0.0011
Aberdeen_13	21.474	6.255	5.49	0.99	0.0461
Aberdeen_13	26.28	7.281	1.026	0	0
Aberdeen_13	29.088	11.403	4.122	0	0
Aberdeen_13	28.224	14.706	3.303	0.01	4e-04
Aberdeen_13	32.544	17.982	3.276	0	0
Aberdeen_13	31.878	23.139	5.157	0	0
Aberdeen_13	22.23	18.927	4.212	0.01	4e-04
Aberdeen_13	24.858	14.283	4.644	0.03	0.0012
Aberdeen_13	21.114	8.406	5.877	0.04	0.0019
Aberdeen_13	25.02	8.739	0.333	0.05	0.002
Aberdeen_13	33.768	14.679	5.94	0	0
Aberdeen_13	30.852	17.568	2.889	0	0
Aberdeen_13	23.184	17.82	0.252	0.21	0.0091
Aberdeen_13	29.88	17.982	0.162	0.04	0.0013
Aberdeen_13	29.214	22.941	4.959	1.3	0.0445
Aberdeen_13	14.796	17.082	5.859	2.84	0.1919
Aberdeen_13	28.386	21.267	4.185	0.45	0.0159
Aberdeen_13	28.08	25.794	4.527	0.47	0.0167
Aberdeen_13	29.556	28.08	2.286	0.23	0.0078
Aberdeen_13	31.5	30.78	2.7	0	0
Aberdeen_13	26.298	38.925	8.145	0	0
Aberdeen_13	30.924	37.854	1.071	0	0
Aberdeen_13	28.17	31.941	5.913	0	0
Aberdeen_13	26.856	31.896	0.045	0.09	0.0034
Aberdeen_13	17.388	25.056	6.84	1.13	0.065
Aberdeen_13	13.338	21.717	3.339	6.86	0.5143
Aberdeen_13	16.128	17.208	4.509	3.95	0.2449
Aberdeen_13	19.944	15.3	1.908	2.8	0.1404
Aberdeen_13	24.534	22.383	7.083	0.43	0.0175
Aberdeen_13	26.01	23.085	0.702	0.08	0.0031
Aberdeen_13	20.772	12.132	10.953	0.01	5e-04
Aberdeen_13	30.888	15.912	3.78	0.22	0.0071
Aberdeen_13	31.95	18.081	2.169	0.05	0.0016
Aberdeen_13	28.08	23.706	5.625	0.02	7e-04
Aberdeen_13	25.812	26.028	2.322	0.17	0.0066
Aberdeen_13	25.992	20.466	5.562	0.17	0.0065
Aberdeen_13	14.4	17.244	3.222	6.66	0.4625
Aberdeen_13	26.622	19.089	1.845	1.25	0.047
Aberdeen_13	27	16.488	2.601	0.06	0.0022
Aberdeen_13	30.312	18.522	2.034	0	0
Aberdeen_13	33.696	24.714	6.192	0	0
Aberdeen_13	37.152	31.392	6.678	0.01	3e-04
Aberdeen_13	27.54	23.688	7.704	0	0
Aberdeen_13	26.1	25.65	1.962	0	0
Aberdeen_13	34.416	28.854	3.204	0	0
Aberdeen_13	28.53	33.345	4.491	0.03	0.0011
Aberdeen_13	29.304	38.016	4.671	0.01	3e-04
Aberdeen_13	30.906	34.767	3.249	0	0
Aberdeen_13	34.902	38.925	4.158	0	0
Aberdeen_13	29.772	43.146	4.221	0	0
Aberdeen_13	26.352	36.9	6.246	0.03	0.0011
Aberdeen_13	23.922	37.575	0.675	2.66	0.1112
Aberdeen_13	28.458	29.709	7.866	0.25	0.0088
Aberdeen_13	25.866	21.411	8.298	0.02	8e-04
Aberdeen_13	39.618	28.611	7.2	0.03	8e-04
Aberdeen_13	35.82	37.35	8.739	0	0
Aberdeen_13	34.11	39.105	1.755	0	0
Aberdeen_13	33.372	40.464	1.359	0	0
Aberdeen_13	24.246	21.447	19.017	0.57	0.0235
Aberdeen_13	29.808	21.204	0.243	0	0
Aberdeen_13	24.03	25.839	4.635	0.02	8e-04
Aberdeen_13	27.99	24.003	1.836	0	0
Aberdeen_13	35.082	31.653	7.65	0.01	3e-04
Aberdeen_13	27.054	34.407	2.754	1.09	0.0403
Aberdeen_13	27.954	30.591	3.816	0.27	0.0097
Aberdeen_13	30.834	38.439	7.848	0	0
Aberdeen_13	31.95	45.747	7.308	0.01	3e-04
Aberdeen_13	31.95	47.817	2.07	0	0
Aberdeen_13	32.634	47.925	0.108	0.62	0.019
Aberdeen_13	34.236	46.746	1.179	0	0
Aberdeen_13	33.012	48.222	1.476	0.05	0.0015
Aberdeen_13	33.192	48.303	0.081	0.2	0.006
Aberdeen_13	27.324	48.294	0.009	0.22	0.0081
Aberdeen_13	29.7	46.404	1.89	0.5	0.0168
Aberdeen_13	23.706	43.605	2.799	4.01	0.1692
