env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_10	21.33	19.161	0	1.41	0.0661
Soda Springs_10	15.192	21.996	2.835	5.59	0.368
Soda Springs_10	14.634	21.015	0.981	8.25	0.5638
Soda Springs_10	18.864	22.896	1.881	1.24	0.0657
Soda Springs_10	23.526	26.451	3.555	2.45	0.1041
Soda Springs_10	18.27	18.405	8.046	5.63	0.3082
Soda Springs_10	31.212	20.466	2.061	0.17	0.0054
Soda Springs_10	24.66	24.696	4.23	0.99	0.0401
Soda Springs_10	24.768	15.804	8.892	6.56	0.2649
Soda Springs_10	21.672	12.582	3.222	4.03	0.186
Soda Springs_10	19.206	16.173	3.591	4.91	0.2556
Soda Springs_10	25.452	13.932	2.241	3.17	0.1245
Soda Springs_10	33.768	20.898	6.966	0.03	9e-04
Soda Springs_10	32.112	25.074	4.176	1.69	0.0526
Soda Springs_10	33.372	19.926	5.148	8.76	0.2625
Soda Springs_10	25.578	11.97	7.956	0.41	0.016
Soda Springs_10	38.088	19.494	7.524	0.01	3e-04
Soda Springs_10	31.302	26.883	7.389	0.15	0.0048
Soda Springs_10	31.194	26.361	0.522	0.05	0.0016
Soda Springs_10	29.268	22.914	3.447	0.05	0.0017
Soda Springs_10	22.374	23.895	0.981	0.37	0.0165
Soda Springs_10	37.782	26.163	2.268	0.2	0.0053
Soda Springs_10	30.546	30.213	4.05	0.2	0.0065
Soda Springs_10	26.748	34.47	4.257	0.08	0.003
Soda Springs_10	28.26	28.476	5.994	0.11	0.0039
Soda Springs_10	30.87	29.547	1.071	0	0
Soda Springs_10	34.11	33.957	4.41	0	0
Soda Springs_10	35.604	35.316	1.359	0.51	0.0143
Soda Springs_10	25.956	37.782	2.466	0.38	0.0146
Soda Springs_10	31.032	34.992	2.79	0	0
Soda Springs_10	27.684	32.238	2.754	0	0
Soda Springs_10	26.622	23.337	8.901	0.45	0.0169
Soda Springs_10	25.524	24.426	1.089	0.12	0.0047
Soda Springs_10	27.702	25.371	0.945	0.11	0.004
Soda Springs_10	25.722	23.967	1.404	0.08	0.0031
Soda Springs_10	35.406	25.119	1.152	0.17	0.0048
Soda Springs_10	33.57	31.599	6.48	0.03	9e-04
Soda Springs_10	30.798	34.533	2.934	1.22	0.0396
Soda Springs_10	29.16	34.632	0.099	0.2	0.0069
Soda Springs_10	20.79	35.091	0.459	0.58	0.0279
Soda Springs_10	29.088	33.894	1.197	0	0
Soda Springs_10	24.804	30.744	3.15	0.06	0.0024
Soda Springs_10	28.998	27.603	3.141	0.04	0.0014
Soda Springs_10	29.16	32.976	5.373	0	0
Soda Springs_10	37.458	37.647	4.671	0	0
Soda Springs_10	22.104	43.38	5.733	0.1	0.0045
Soda Springs_10	27	42.498	0.882	0.01	4e-04
Soda Springs_10	24.462	36.243	6.255	0.13	0.0053
Soda Springs_10	33.642	33.741	2.502	0	0
Soda Springs_10	29.178	35.235	1.494	2.92	0.1001
Soda Springs_10	26.784	34.254	0.981	0.42	0.0157
Soda Springs_10	26.91	34.209	0.045	0	0
Soda Springs_10	35.856	33.786	0.423	0	0
Soda Springs_10	34.902	37.071	3.285	0.07	0.002
Soda Springs_10	27.792	40.644	3.573	0.21	0.0076
Soda Springs_10	27.792	37.314	3.33	1.32	0.0475
Soda Springs_10	23.868	38.61	1.296	0.38	0.0159
Soda Springs_10	27.414	38.223	0.387	0.52	0.019
Soda Springs_10	30.87	39.753	1.53	0.87	0.0282
Soda Springs_10	30.204	39.924	0.171	3.05	0.101
Soda Springs_10	26.46	38.79	1.134	0.95	0.0359
Soda Springs_10	28.08	37.71	1.08	0.17	0.0061
Soda Springs_10	26.316	37.998	0.288	4.28	0.1626
Soda Springs_10	33.678	35.721	2.277	1.38	0.041
Soda Springs_10	32.562	37.575	1.854	0.57	0.0175
Soda Springs_10	27.27	39.429	1.854	2.31	0.0847
Soda Springs_10	28.314	36.081	3.348	0.06	0.0021
Soda Springs_10	29.448	33.696	2.385	0.3	0.0102
Soda Springs_10	20.376	31.122	2.574	1.09	0.0535
Soda Springs_10	31.122	31.923	0.801	0	0
Soda Springs_10	27.54	34.002	2.079	0.13	0.0047
Soda Springs_10	17.928	26.298	7.704	0.2	0.0112
Soda Springs_10	31.05	27.747	1.449	0.17	0.0055
Soda Springs_10	33.876	28.098	0.351	0.09	0.0027
Soda Springs_10	38.754	31.617	3.519	0.02	5e-04
Soda Springs_10	34.2	35.19	3.573	0.16	0.0047
Soda Springs_10	30.204	35.928	0.738	0.16	0.0053
Soda Springs_10	27.702	36.477	0.549	0.01	4e-04
Soda Springs_10	25.182	31.491	4.986	1.01	0.0401
Soda Springs_10	33.462	32.985	1.494	0	0
Soda Springs_10	30.6	38.97	5.985	0.01	3e-04
Soda Springs_10	33.39	30.357	8.613	4.52	0.1354
Soda Springs_10	26.658	21.987	8.37	0	0
Soda Springs_10	40.878	26.307	4.32	0	0
Soda Springs_10	39.672	32.13	5.823	0	0
Soda Springs_10	38.448	36.126	3.996	0.07	0.0018
