env_code	DTR	GDD	dGDD	PR	PRDTR
Ashton_12	22.338	18.495	0	3.68	0.1647
Ashton_12	21.438	16.263	2.232	5.03	0.2346
Ashton_12	11.97	2.421	13.842	10.46	0.8739
Ashton_12	15.858	2.295	0.126	1.95	0.123
Ashton_12	20.646	6.939	4.644	1.48	0.0717
Ashton_12	23.652	9.09	2.151	4.23	0.1788
Ashton_12	16.776	7.533	1.557	4.22	0.2515
Ashton_12	16.704	7.578	0.045	0.57	0.0341
Ashton_12	18.504	9.081	1.503	2.66	0.1438
Ashton_12	18.414	9.171	0.09	1.93	0.1048
Ashton_12	12.744	3.276	5.895	7.32	0.5744
Ashton_12	24.696	7.794	4.518	0.37	0.015
Ashton_12	30.492	11.448	3.654	0.06	0.002
Ashton_12	30.276	13.635	2.187	0.15	0.005
Ashton_12	29.232	17.478	3.843	0	0
Ashton_12	22.14	9.153	8.325	0.63	0.0285
Ashton_12	28.602	11.16	2.007	0	0
Ashton_12	22.554	16.497	5.337	0	0
Ashton_12	25.614	19.341	2.844	0	0
Ashton_12	30.078	22.005	2.664	0	0
Ashton_12	34.632	22.122	0.117	0.11	0.0032
Ashton_12	23.796	26.856	4.734	0.18	0.0076
Ashton_12	23.184	20.016	6.84	1.36	0.0587
Ashton_12	22.752	11.808	8.208	2.03	0.0892
Ashton_12	26.208	11.043	0.765	2.06	0.0786
Ashton_12	28.872	14.922	3.879	0.26	0.009
Ashton_12	29.664	23.454	8.532	0.3	0.0101
Ashton_12	18.45	11.673	11.781	4.1	0.2222
Ashton_12	15.282	7.983	3.69	5.06	0.3311
Ashton_12	16.956	6.714	1.269	3.03	0.1787
Ashton_12	21.312	9.531	2.817	10.34	0.4852
Ashton_12	21.798	10.683	1.152	13.12	0.6019
Ashton_12	11.754	4.41	6.273	10.13	0.8618
Ashton_12	24.39	9.315	4.905	3.5	0.1435
Ashton_12	25.524	14.94	5.625	1.63	0.0639
Ashton_12	16.308	16.758	1.818	0.82	0.0503
Ashton_12	24.21	18.135	1.377	1.39	0.0574
Ashton_12	19.476	22.86	4.725	0.89	0.0457
Ashton_12	27.36	24.318	1.458	2.58	0.0943
Ashton_12	22.914	25.083	0.765	0.9	0.0393
Ashton_12	29.304	29.844	4.761	0.15	0.0051
Ashton_12	34.848	18.09	11.754	2.42	0.0694
Ashton_12	19.494	9.189	8.901	1.36	0.0698
Ashton_12	27.918	13.608	4.419	0.95	0.034
Ashton_12	27.036	16.866	3.258	5.68	0.2101
Ashton_12	17.658	8.316	8.55	6.31	0.3573
Ashton_12	18.198	7.524	0.792	2.86	0.1572
Ashton_12	24.372	15.588	8.064	0	0
Ashton_12	29.448	17.73	2.142	0.73	0.0248
Ashton_12	24.534	21.069	3.339	0.32	0.013
Ashton_12	26.226	14.967	6.102	0	0
Ashton_12	23.112	18.36	3.393	0.22	0.0095
Ashton_12	30.222	21.303	2.943	0.07	0.0023
Ashton_12	29.394	23.949	2.646	0.55	0.0187
Ashton_12	24.858	19.215	4.734	0.01	4e-04
Ashton_12	22.104	12.06	7.155	0.31	0.014
Ashton_12	31.212	15.264	3.204	0.03	0.001
Ashton_12	36.936	20.988	5.724	0.03	8e-04
Ashton_12	31.5	27.774	6.786	0.12	0.0038
Ashton_12	31.068	29.736	1.962	0.19	0.0061
Ashton_12	32.112	30.726	0.99	0.03	9e-04
Ashton_12	29.34	32.13	1.404	0.33	0.0112
Ashton_12	27.486	20.727	11.403	0.03	0.0011
Ashton_12	33.282	19.359	1.368	0.3	0.009
Ashton_12	35.316	28.062	8.703	0.06	0.0017
Ashton_12	27.576	32.706	4.644	0	0
Ashton_12	33.966	31.491	1.215	0.06	0.0018
Ashton_12	30.888	32.346	0.855	0.17	0.0055
Ashton_12	32.382	30.915	1.431	0	0
Ashton_12	27.828	33.966	3.051	0	0
Ashton_12	32.256	29.682	4.284	0.03	9e-04
Ashton_12	13.428	25.452	4.23	2.38	0.1772
Ashton_12	33.39	29.817	4.365	0.31	0.0093
Ashton_12	29.448	33.57	3.753	2.15	0.073
Ashton_12	29.682	33.093	0.477	0.81	0.0273
Ashton_12	31.806	36.657	3.564	0.34	0.0107
Ashton_12	32.508	37.746	1.089	0.21	0.0065
Ashton_12	29.034	35.649	2.097	2.28	0.0785
Ashton_12	35.334	36.423	0.774	0.1	0.0028
Ashton_12	28.836	38.862	2.439	5.93	0.2056
Ashton_12	14.364	28.476	10.386	11.16	0.7769
Ashton_12	24.912	29.232	0.756	2.43	0.0975
Ashton_12	14.76	29.052	0.18	3.63	0.2459
Ashton_12	25.128	28.962	0.09	0.46	0.0183
Ashton_12	30.492	32.364	3.402	0	0
Ashton_12	30.924	38.322	5.958	0.41	0.0133
Ashton_12	24.336	36.612	1.71	0.18	0.0074
Ashton_12	27.63	37.845	1.233	0.01	4e-04
Ashton_12	27.072	36.018	1.827	2.91	0.1075
Ashton_12	22.626	32.373	3.645	1.35	0.0597
Ashton_12	25.038	32.211	0.162	0.31	0.0124
Ashton_12	27.81	32.535	0.324	0.05	0.0018
Ashton_12	32.688	34.542	2.007	0.03	9e-04
Ashton_12	26.784	37.026	2.484	0.91	0.034
Ashton_12	32.004	36.198	0.828	0.05	0.0016
Ashton_12	34.902	35.379	0.819	0.02	6e-04
Ashton_12	35.37	36.621	1.242	0.18	0.0051
Ashton_12	31.86	37.512	0.891	0	0
Ashton_12	32.148	35.136	2.376	0.43	0.0134
Ashton_12	31.482	32.283	2.853	0.09	0.0029
Ashton_12	24.462	28.341	3.942	0.03	0.0012
Ashton_12	34.038	28.179	0.162	0	0
Ashton_12	36.108	34.038	5.859	0.05	0.0014
Ashton_12	20.376	35.496	1.458	0.57	0.028
Ashton_12	33.426	35.685	0.189	0	0
Ashton_12	35.55	38.529	2.844	0.01	3e-04
Ashton_12	27.288	41.112	2.583	0.73	0.0268
Ashton_12	24.714	35.163	5.949	3.53	0.1428
Ashton_12	27	33.39	1.773	1.15	0.0426
Ashton_12	32.436	33.228	0.162	0	0
Ashton_12	34.668	35.316	2.088	0.36	0.0104
Ashton_12	32.706	35.055	0.261	0	0
Ashton_12	27.828	33.174	1.881	0.02	7e-04
Ashton_12	35.46	29.88	3.294	0	0
Ashton_12	34.704	32.904	3.024	0.01	3e-04
Ashton_12	36.18	33.606	0.702	0	0
Ashton_12	29.862	31.707	1.899	0.2	0.0067
Ashton_12	23.688	33.102	1.395	0.58	0.0245
Ashton_12	31.374	33.831	0.729	0.05	0.0016
Ashton_12	24.228	35.19	1.359	0.09	0.0037
Ashton_12	31.644	31.32	3.87	0	0
Ashton_12	30.798	30.105	1.215	0	0
Ashton_12	35.64	25.074	5.031	0.19	0.0053
Ashton_12	30.294	30.303	5.229	1.57	0.0518
Ashton_12	30.222	35.523	5.22	0.25	0.0083
Ashton_12	34.596	34.866	0.657	0.04	0.0012
Ashton_12	27.846	33.705	1.161	0	0
Ashton_12	32.49	29.889	3.816	0.01	3e-04
Ashton_12	23.814	29.313	0.576	0.84	0.0353
Ashton_12	17.982	26.253	3.06	12.55	0.6979
Ashton_12	25.416	23.67	2.583	1.4	0.0551
Ashton_12	30.258	24.615	0.945	0.91	0.0301
Ashton_12	28.782	25.947	1.332	0	0
Ashton_12	29.178	24.831	1.116	0.02	7e-04
Ashton_12	16.974	22.545	2.286	0.93	0.0548
Ashton_12	32.868	22.806	0.261	0.02	6e-04
Ashton_12	34.83	26.145	3.339	0.03	9e-04
Ashton_12	32.796	28.062	1.917	0.1	0.003
Ashton_12	28.998	28.593	0.531	0.29	0.01
Ashton_12	24.462	19.917	8.676	0.05	0.002
Ashton_12	32.112	16.686	3.231	0	0
Ashton_12	35.586	22.707	6.021	0.01	3e-04
Ashton_12	35.712	24.174	1.467	0.07	0.002
Ashton_12	31.95	26.469	2.295	0.07	0.0022
Ashton_12	25.614	23.247	3.222	0.66	0.0258
Ashton_12	29.322	21.051	2.196	0	0
Ashton_12	31.86	22.608	1.557	0	0
Ashton_12	34.452	25.056	2.448	0.08	0.0023
Ashton_12	29.682	25.515	0.459	0	0
Ashton_12	34.344	26.514	0.999	0.05	0.0015
