env_code	DTR	GDD	dGDD	PR	PRDTR
Rupert_07	32.796	17.172	0	1.68	0.0512
Rupert_07	10.818	4.725	12.447	2.9	0.2681
Rupert_07	19.242	7.884	3.159	2.13	0.1107
Rupert_07	28.224	9.216	1.332	0	0
Rupert_07	27.522	10.629	1.413	0.04	0.0015
Rupert_07	22.896	12.6	1.971	0.06	0.0026
Rupert_07	20.124	11.898	0.702	1.88	0.0934
Rupert_07	18.72	6.327	5.571	2.41	0.1287
Rupert_07	30.69	12.492	6.165	0.01	3e-04
Rupert_07	27.18	18.27	5.778	0.02	7e-04
Rupert_07	28.512	18.414	0.144	0.02	7e-04
Rupert_07	29.52	19.692	1.278	0.04	0.0014
Rupert_07	30.708	21.006	1.314	0.22	0.0072
Rupert_07	16.038	13.563	7.443	0.27	0.0168
Rupert_07	20.412	9.675	3.888	1.38	0.0676
Rupert_07	18.252	5.175	4.5	0.39	0.0214
Rupert_07	28.17	9.009	3.834	0.06	0.0021
Rupert_07	16.992	8.415	0.594	0.51	0.03
Rupert_07	28.782	12.438	4.023	0	0
Rupert_07	30.798	17.343	4.905	0.1	0.0032
Rupert_07	19.638	14.643	2.7	0.32	0.0163
Rupert_07	30.87	15.777	1.134	0	0
Rupert_07	31.104	19.89	4.113	2.54	0.0817
Rupert_07	11.412	6.12	13.77	9.61	0.8421
Rupert_07	14.616	6.138	0.018	1.83	0.1252
Rupert_07	21.168	9.504	3.366	0.33	0.0156
Rupert_07	20.502	12.753	3.249	0.15	0.0073
Rupert_07	13.752	12.204	0.549	7.51	0.5461
Rupert_07	15.264	13.356	1.152	5.09	0.3335
Rupert_07	26.874	17.559	4.203	0.01	4e-04
Rupert_07	32.4	21.51	3.951	0.81	0.025
Rupert_07	25.866	18.009	3.501	0.03	0.0012
Rupert_07	33.102	22.401	4.392	0	0
Rupert_07	39.564	30.636	8.235	0.01	3e-04
Rupert_07	29.88	33.012	2.376	0.01	3e-04
Rupert_07	26.802	29.655	3.357	0.1	0.0037
Rupert_07	31.806	33.471	3.816	0	0
Rupert_07	32.796	24.264	9.207	3.22	0.0982
Rupert_07	16.974	9.621	14.643	3.99	0.2351
Rupert_07	16.956	8.622	0.999	0.19	0.0112
Rupert_07	25.038	11.727	3.105	0.13	0.0052
Rupert_07	32.292	16.065	4.338	0	0
Rupert_07	32.814	22.977	6.912	0.01	3e-04
Rupert_07	30.312	29.988	7.011	0.01	3e-04
Rupert_07	29.484	31.842	1.854	0.64	0.0217
Rupert_07	28.404	33.246	1.404	0.02	7e-04
Rupert_07	34.92	36.27	3.024	0	0
Rupert_07	32.274	36.549	0.279	0	0
Rupert_07	26.19	24.633	11.916	0.11	0.0042
Rupert_07	31.734	22.599	2.034	0.01	3e-04
Rupert_07	35.946	28.179	5.58	0	0
Rupert_07	35.964	33.786	5.607	0	0
Rupert_07	31.932	38.754	4.968	0.02	6e-04
Rupert_07	28.872	36.486	2.268	0.01	3e-04
Rupert_07	24.624	34.65	1.836	0	0
Rupert_07	22.842	28.539	6.111	0.5	0.0219
Rupert_07	12.654	11.133	17.406	0.58	0.0458
Rupert_07	18.954	12.195	1.062	1.03	0.0543
Rupert_07	24.966	16.893	4.698	0.36	0.0144
Rupert_07	26.262	23.985	7.092	0.01	4e-04
Rupert_07	26.298	27.279	3.294	0	0
Rupert_07	28.26	31.752	4.473	0.01	4e-04
Rupert_07	31.05	38.241	6.489	0.03	0.001
Rupert_07	20.106	19.233	19.008	0	0
Rupert_07	30.564	20.322	1.089	0	0
Rupert_07	32.562	26.829	6.507	0	0
Rupert_07	31.266	31.527	4.698	0	0
Rupert_07	32.976	35.136	3.609	0	0
Rupert_07	31.194	39.465	4.329	0	0
Rupert_07	31.716	40.986	1.521	0	0
Rupert_07	33.966	42.201	1.215	0.19	0.0056
Rupert_07	30.654	28.161	14.04	5.59	0.1824
Rupert_07	14.094	12.879	15.282	10.44	0.7407
Rupert_07	27.738	19.485	6.606	2.2	0.0793
Rupert_07	21.69	20.997	1.512	0.04	0.0018
Rupert_07	35.28	29.178	8.181	0	0
Rupert_07	21.24	28.404	0.774	1.18	0.0556
Rupert_07	28.314	27.603	0.801	0.6	0.0212
Rupert_07	30.456	31.428	3.825	0	0
Rupert_07	34.92	37.044	5.616	0.01	3e-04
Rupert_07	23.202	34.011	3.033	0	0
Rupert_07	33.21	38.295	4.284	0	0
Rupert_07	32.094	41.985	3.69	0.03	9e-04
