env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_08	24.066	22.581	0	0.59	0.0245
Soda Springs_08	11.304	13.608	8.973	2.79	0.2468
Soda Springs_08	16.056	14.364	0.756	3.15	0.1962
Soda Springs_08	22.554	15.525	1.161	0.98	0.0435
Soda Springs_08	17.226	11.205	4.32	5.86	0.3402
Soda Springs_08	20.142	10.161	1.044	0.74	0.0367
Soda Springs_08	26.856	12.519	2.358	0.71	0.0264
Soda Springs_08	31.77	16.965	4.446	0.9	0.0283
Soda Springs_08	20.88	10.161	6.804	7.01	0.3357
Soda Springs_08	15.354	6.633	3.528	3.82	0.2488
Soda Springs_08	23.454	10.998	4.365	2.2	0.0938
Soda Springs_08	30.006	20.529	9.531	0	0
Soda Springs_08	35.316	25.074	4.545	0.06	0.0017
Soda Springs_08	25.11	32.391	7.317	0.04	0.0016
Soda Springs_08	28.908	33.192	0.801	0.1	0.0035
Soda Springs_08	30.51	34.695	1.503	0.02	7e-04
Soda Springs_08	26.136	32.274	2.421	0.02	8e-04
Soda Springs_08	27.198	28.179	4.095	0	0
Soda Springs_08	29.826	29.421	1.242	0.01	3e-04
Soda Springs_08	35.982	34.119	4.698	0.11	0.0031
Soda Springs_08	26.298	33.471	0.648	0.07	0.0027
Soda Springs_08	26.208	34.866	1.395	0.65	0.0248
Soda Springs_08	26.01	35.397	0.531	0	0
Soda Springs_08	28.692	36.792	1.395	0.03	0.001
Soda Springs_08	27.378	34.677	2.115	0.01	4e-04
Soda Springs_08	28.242	30.861	3.816	0	0
Soda Springs_08	32.886	33.669	2.808	0.03	9e-04
Soda Springs_08	35.694	36.981	3.312	0.06	0.0017
Soda Springs_08	29.952	41.724	4.743	0.16	0.0053
Soda Springs_08	32.832	38.556	3.168	0.26	0.0079
Soda Springs_08	23.4	37.638	0.918	0.12	0.0051
Soda Springs_08	34.65	38.835	1.197	0.04	0.0012
Soda Springs_08	27.414	40.599	1.764	0	0
Soda Springs_08	26.01	38.223	2.376	0	0
Soda Springs_08	18.99	32.823	5.4	0.12	0.0063
Soda Springs_08	29.592	33.12	0.297	0	0
Soda Springs_08	29.682	35.505	2.385	0.06	0.002
Soda Springs_08	34.83	35.145	0.36	0	0
Soda Springs_08	29.88	39.546	4.401	0	0
Soda Springs_08	26.334	31.365	8.181	0	0
Soda Springs_08	38.484	29.61	1.755	0	0
Soda Springs_08	34.38	33.408	3.798	0.04	0.0012
Soda Springs_08	30.51	33.399	0.009	0	0
Soda Springs_08	35.37	36.495	3.096	0.03	8e-04
Soda Springs_08	26.838	39.267	2.772	0.04	0.0015
Soda Springs_08	28.98	36.9	2.367	0.02	7e-04
Soda Springs_08	27.756	37.638	0.738	0.02	7e-04
Soda Springs_08	32.562	34.947	2.691	0	0
Soda Springs_08	35.316	40.698	5.751	0.34	0.0096
Soda Springs_08	20.232	38.07	2.628	1.55	0.0766
Soda Springs_08	27.918	36.981	1.089	0.86	0.0308
Soda Springs_08	25.992	38.232	1.251	0.2	0.0077
Soda Springs_08	29.808	39.24	1.008	0	0
Soda Springs_08	34.434	40.689	1.449	0	0
Soda Springs_08	35.208	40.284	0.405	0.06	0.0017
Soda Springs_08	30.816	39.942	0.342	0.05	0.0016
Soda Springs_08	32.67	36.063	3.879	0.08	0.0024
Soda Springs_08	29.61	39.753	3.69	0.04	0.0014
Soda Springs_08	28.692	34.992	4.761	0.21	0.0073
Soda Springs_08	30.762	37.521	2.529	0.01	3e-04
Soda Springs_08	33.174	39.933	2.412	0.08	0.0024
Soda Springs_08	25.488	42.102	2.169	0.2	0.0078
Soda Springs_08	28.872	39.204	2.898	0.02	7e-04
Soda Springs_08	26.928	40.05	0.846	0	0
Soda Springs_08	33.912	39.528	0.522	0.1	0.0029
Soda Springs_08	21.114	36.963	2.565	0.34	0.0161
Soda Springs_08	23.994	37.521	0.558	5.31	0.2213
Soda Springs_08	16.182	34.443	3.078	7.1	0.4388
Soda Springs_08	26.838	36.765	2.322	4.55	0.1695
Soda Springs_08	26.064	35.316	1.449	1.41	0.0541
Soda Springs_08	28.548	28.674	6.642	0.01	4e-04
Soda Springs_08	32.454	31.167	2.493	0.19	0.0059
Soda Springs_08	24.75	33.975	2.808	0.19	0.0077
Soda Springs_08	29.916	32.382	1.593	0	0
Soda Springs_08	29.304	28.098	4.284	0.03	0.001
Soda Springs_08	32.4	28.098	0	0.01	3e-04
Soda Springs_08	34.29	32.319	4.221	0.18	0.0052
Soda Springs_08	35.604	34.542	2.223	0.03	8e-04
Soda Springs_08	31.446	35.631	1.089	0.08	0.0025
Soda Springs_08	25.38	34.506	1.125	0.18	0.0071
Soda Springs_08	26.388	33.084	1.422	0	0
Soda Springs_08	31.266	24.921	8.163	0.49	0.0157
Soda Springs_08	39.402	33.129	8.208	0.06	0.0015
Soda Springs_08	35.28	38.844	5.715	0.16	0.0045
Soda Springs_08	30.366	40.311	1.467	0.02	7e-04
Soda Springs_08	19.188	28.17	12.141	0.02	0.001
Soda Springs_08	30.114	24.957	3.213	0.09	0.003
Soda Springs_08	29.466	28.899	3.942	0.09	0.0031
Soda Springs_08	30.978	33.669	4.77	0.01	3e-04
Soda Springs_08	33.966	34.947	1.278	0.08	0.0024
Soda Springs_08	29.7	25.542	9.405	13.45	0.4529
Soda Springs_08	15.426	14.265	11.277	5.28	0.3423
Soda Springs_08	27.306	17.307	3.042	0.08	0.0029
Soda Springs_08	20.538	23.751	6.444	0.17	0.0083
Soda Springs_08	26.748	20.772	2.979	0.06	0.0022
Soda Springs_08	28.134	17.613	3.159	0.13	0.0046
Soda Springs_08	23.832	23.508	5.895	0.14	0.0059
Soda Springs_08	28.548	24.282	0.774	0.05	0.0018
Soda Springs_08	35.154	24.507	0.225	0.02	6e-04
Soda Springs_08	29.43	30.483	5.976	0.25	0.0085
Soda Springs_08	27.45	22.941	7.542	0.75	0.0273
Soda Springs_08	31.104	17.028	5.913	0.13	0.0042
Soda Springs_08	32.346	19.989	2.961	0	0
Soda Springs_08	30.87	23.139	3.15	0.16	0.0052
Soda Springs_08	35.424	23.742	0.603	0.03	8e-04
Soda Springs_08	36	27.306	3.564	0.09	0.0025
Soda Springs_08	33.246	29.637	2.331	0.04	0.0012
Soda Springs_08	31.428	31.248	1.611	0	0
Soda Springs_08	28.836	30.33	0.918	0.01	3e-04
Soda Springs_08	32.562	28.845	1.485	0.28	0.0086
Soda Springs_08	24.606	25.875	2.97	5.09	0.2069
Soda Springs_08	22.968	18.756	7.119	0.08	0.0035
Soda Springs_08	16.038	14.121	4.635	3.7	0.2307
Soda Springs_08	25.668	16.416	2.295	0	0
Soda Springs_08	36.198	21.969	5.553	0.1	0.0028
Soda Springs_08	32.904	25.848	3.879	0.27	0.0082
Soda Springs_08	22.338	29.313	3.465	0	0
Soda Springs_08	32.994	26.883	2.43	0.1	0.003
Soda Springs_08	26.1	30.402	3.519	0.11	0.0042
