env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_19	34.236	13.113	0	0	0
Soda Springs_19	24.39	20.061	6.948	0	0
Soda Springs_19	31.608	23.076	3.015	0	0
Soda Springs_19	27.144	25.308	2.232	0.79	0.0291
Soda Springs_19	24.606	25.101	0.207	0.22	0.0089
Soda Springs_19	18.378	25.443	0.342	0.33	0.018
Soda Springs_19	26.1	22.86	2.583	9.58	0.367
Soda Springs_19	12.528	8.478	14.382	5.09	0.4063
Soda Springs_19	20.88	11.25	2.772	1.33	0.0637
Soda Springs_19	13.212	9.306	1.944	8.14	0.6161
Soda Springs_19	15.318	9.729	0.423	6.34	0.4139
Soda Springs_19	19.368	9.072	0.657	6.73	0.3475
Soda Springs_19	11.826	7.443	1.629	2.83	0.2393
Soda Springs_19	12.636	6.912	0.531	7.38	0.584
Soda Springs_19	17.604	9.882	2.97	4.86	0.2761
Soda Springs_19	22.932	13.536	3.654	2.36	0.1029
Soda Springs_19	26.514	19.863	6.327	0.12	0.0045
Soda Springs_19	11.61	10.503	9.36	9.1	0.7838
Soda Springs_19	25.056	16.164	5.661	1.91	0.0762
Soda Springs_19	29.286	18.207	2.043	0.19	0.0065
Soda Springs_19	32.652	21.204	2.997	0.06	0.0018
Soda Springs_19	19.224	20.106	1.098	0.91	0.0473
Soda Springs_19	24.12	21.528	1.422	0.66	0.0274
Soda Springs_19	28.908	25.506	3.978	0.85	0.0294
Soda Springs_19	24.12	24.66	0.846	0.21	0.0087
Soda Springs_19	20.016	28.494	3.834	1.05	0.0525
Soda Springs_19	25.29	29.385	0.891	0	0
Soda Springs_19	21.042	25.371	4.014	4.67	0.2219
Soda Springs_19	29.772	15.984	9.387	6.65	0.2234
Soda Springs_19	17.964	8.064	7.92	0.77	0.0429
Soda Springs_19	27.612	14.976	6.912	0	0
Soda Springs_19	31.86	20.502	5.526	0	0
Soda Springs_19	25.092	26.298	5.796	0	0
Soda Springs_19	28.836	29.79	3.492	0.14	0.0049
Soda Springs_19	19.782	28.467	1.323	1.65	0.0834
Soda Springs_19	21.78	28.908	0.441	1.9	0.0872
Soda Springs_19	26.946	28.755	0.153	0.01	4e-04
Soda Springs_19	30.168	28.476	0.279	0.16	0.0053
Soda Springs_19	21.906	26.649	1.827	2.35	0.1073
Soda Springs_19	22.356	29.808	3.159	0.51	0.0228
Soda Springs_19	27.414	24.075	5.733	0.08	0.0029
Soda Springs_19	23.904	14.598	9.477	0	0
Soda Springs_19	24.3	11.934	2.664	0.01	4e-04
Soda Springs_19	25.128	14.76	2.826	0.08	0.0032
Soda Springs_19	26.154	22.581	7.821	0.03	0.0011
Soda Springs_19	28.476	22.158	0.423	0	0
Soda Springs_19	26.064	29.808	7.65	0.07	0.0027
Soda Springs_19	28.152	31.5	1.692	0.01	4e-04
Soda Springs_19	26.1	31.662	0.162	0	0
Soda Springs_19	28.206	32.913	1.251	0	0
Soda Springs_19	30.816	30.762	2.151	0	0
Soda Springs_19	26.388	33.426	2.664	0.03	0.0011
Soda Springs_19	31.014	33.525	0.099	0.02	6e-04
Soda Springs_19	27.252	35.64	2.115	0.02	7e-04
Soda Springs_19	24.102	30.987	4.653	0.74	0.0307
Soda Springs_19	21.996	28.044	2.943	1.22	0.0555
Soda Springs_19	28.71	28.755	0.711	0.52	0.0181
Soda Springs_19	31.05	31.365	2.61	0.08	0.0026
Soda Springs_19	27.486	34.965	3.6	0.14	0.0051
Soda Springs_19	21.852	28.746	6.219	3.74	0.1712
Soda Springs_19	26.406	28.791	0.045	1.05	0.0398
Soda Springs_19	32.508	36.018	7.227	0.02	6e-04
Soda Springs_19	30.366	39.627	3.609	0	0
Soda Springs_19	30.096	41.094	1.467	0.18	0.006
Soda Springs_19	23.076	37.386	3.708	0.37	0.016
Soda Springs_19	31.122	38.259	0.873	0.49	0.0157
Soda Springs_19	24.714	40.221	1.962	0.54	0.0218
Soda Springs_19	22.446	38.007	2.214	0.09	0.004
Soda Springs_19	23.022	34.173	3.834	0	0
Soda Springs_19	25.902	35.793	1.62	0	0
Soda Springs_19	22.338	36.459	0.666	0	0
Soda Springs_19	28.386	35.487	0.972	0	0
Soda Springs_19	32.706	39.411	3.924	0	0
Soda Springs_19	32.022	42.525	3.114	0.05	0.0016
Soda Springs_19	27.612	42.228	0.297	0.12	0.0043
Soda Springs_19	21.438	40.311	1.917	0.01	5e-04
Soda Springs_19	27.432	37.044	3.267	0	0
Soda Springs_19	24.012	37.656	0.612	0.04	0.0017
Soda Springs_19	20.286	34.425	3.231	0.6	0.0296
Soda Springs_19	28.206	37.413	2.988	0	0
Soda Springs_19	19.242	37.395	0.018	1.55	0.0806
Soda Springs_19	29.322	39.969	2.574	0.02	7e-04
Soda Springs_19	24.354	40.455	0.486	0.12	0.0049
Soda Springs_19	27.234	37.053	3.402	2.01	0.0738
Soda Springs_19	32.112	39.528	2.475	0.01	3e-04
Soda Springs_19	26.37	44.685	5.157	0.01	4e-04
Soda Springs_19	23.778	42.057	2.628	0.72	0.0303
