env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_15	33.336	18.828	0	0.01	3e-04
Soda Springs_15	28.98	23.22	4.392	0.48	0.0166
Soda Springs_15	26.622	23.967	0.747	1.45	0.0545
Soda Springs_15	25.308	19.152	4.815	0.58	0.0229
Soda Springs_15	17.37	19.161	0.009	1.19	0.0685
Soda Springs_15	26.352	14.778	4.383	5.95	0.2258
Soda Springs_15	21.564	14.094	0.684	11.07	0.5134
Soda Springs_15	22.482	15.921	1.827	7.45	0.3314
Soda Springs_15	14.616	11.052	4.869	9.62	0.6582
Soda Springs_15	20.88	10.602	0.45	1.4	0.067
Soda Springs_15	34.146	14.895	4.293	0.47	0.0138
Soda Springs_15	23.328	21.078	6.183	0.5	0.0214
Soda Springs_15	25.524	19.062	2.016	0.09	0.0035
Soda Springs_15	20.772	19.422	0.36	1.78	0.0857
Soda Springs_15	14.58	12.402	7.02	12.72	0.8724
Soda Springs_15	10.476	8.784	3.618	13.77	1.3144
Soda Springs_15	22.77	15.921	7.137	2.06	0.0905
Soda Springs_15	21.132	16.182	0.261	7.34	0.3473
Soda Springs_15	13.032	11.556	4.626	10.05	0.7712
Soda Springs_15	20.844	13.824	2.268	4.33	0.2077
Soda Springs_15	28.584	18.882	5.058	0.76	0.0266
Soda Springs_15	19.782	16.605	2.277	7.28	0.368
Soda Springs_15	16.326	13.941	2.664	8.21	0.5029
Soda Springs_15	23.814	15.453	1.512	2.63	0.1104
Soda Springs_15	20.916	18.882	3.429	2.38	0.1138
Soda Springs_15	13.932	16.506	2.376	7.39	0.5304
Soda Springs_15	20.016	16.236	0.27	7.6	0.3797
Soda Springs_15	17.802	15.273	0.963	6.5	0.3651
Soda Springs_15	31.176	20.088	4.815	0.32	0.0103
Soda Springs_15	31.734	26.037	5.949	1.15	0.0362
Soda Springs_15	26.352	32.49	6.453	0.34	0.0129
Soda Springs_15	30.384	29.196	3.294	2.28	0.075
Soda Springs_15	24.246	23.517	5.679	0.19	0.0078
Soda Springs_15	27.504	25.704	2.187	6.51	0.2367
Soda Springs_15	26.478	24.201	1.503	0.36	0.0136
Soda Springs_15	16.236	23.652	0.549	1.18	0.0727
Soda Springs_15	14.886	21.555	2.097	4.79	0.3218
Soda Springs_15	25.11	25.281	3.726	1.98	0.0789
Soda Springs_15	29.502	30.591	5.31	0.15	0.0051
Soda Springs_15	23.598	36.675	6.084	1.37	0.0581
Soda Springs_15	22.176	31.266	5.409	4.32	0.1948
Soda Springs_15	26.208	30.798	0.468	0.57	0.0217
Soda Springs_15	27.756	31.59	0.792	0	0
Soda Springs_15	26.262	28.413	3.177	0	0
Soda Springs_15	25.524	30.978	2.565	0.04	0.0016
Soda Springs_15	30.708	31.41	0.432	5.7	0.1856
Soda Springs_15	27.342	31.905	0.495	0.01	4e-04
Soda Springs_15	30.312	33.066	1.161	0.04	0.0013
Soda Springs_15	27.918	38.241	5.175	0.08	0.0029
Soda Springs_15	25.2	34.182	4.059	0.02	8e-04
Soda Springs_15	24.552	32.976	1.206	0.1	0.0041
Soda Springs_15	29.898	33.957	0.981	0	0
Soda Springs_15	23.148	33.228	0.729	0.14	0.006
Soda Springs_15	26.334	36.729	3.501	0	0
Soda Springs_15	22.356	39.834	3.105	0	0
Soda Springs_15	26.334	37.935	1.899	0.12	0.0046
Soda Springs_15	32.166	38.565	0.63	0	0
Soda Springs_15	32.742	38.889	0.324	0	0
Soda Springs_15	28.026	44.523	5.634	0.08	0.0029
Soda Springs_15	31.104	43.92	0.603	0.07	0.0023
Soda Springs_15	23.202	42.525	1.395	0.31	0.0134
Soda Springs_15	27.414	42.471	0.054	0.04	0.0015
Soda Springs_15	25.29	41.229	1.242	0.01	4e-04
Soda Springs_15	30.438	39.987	1.242	0.07	0.0023
Soda Springs_15	25.974	42.525	2.538	0	0
Soda Springs_15	10.602	33.507	9.018	4.77	0.4499
Soda Springs_15	16.56	32.67	0.837	4.48	0.2705
Soda Springs_15	25.02	32.724	0.054	5.11	0.2042
Soda Springs_15	18.72	28.746	3.978	3.67	0.196
Soda Springs_15	24.012	30.06	1.314	1.55	0.0646
Soda Springs_15	17.892	27.9	2.16	3.2	0.1789
Soda Springs_15	27.558	30.015	2.115	0.44	0.016
Soda Springs_15	18.162	34.245	4.23	0.56	0.0308
Soda Springs_15	23.04	32.544	1.701	0.24	0.0104
Soda Springs_15	25.38	31.446	1.098	0.11	0.0043
Soda Springs_15	19.656	28.008	3.438	3.48	0.177
Soda Springs_15	28.638	31.833	3.825	0.04	0.0014
Soda Springs_15	19.638	28.467	3.366	0.18	0.0092
Soda Springs_15	17.838	25.695	2.772	4.56	0.2556
Soda Springs_15	27.918	29.169	3.474	0.01	4e-04
Soda Springs_15	19.44	28.872	0.297	0.54	0.0278
Soda Springs_15	30.402	32.319	3.447	0.18	0.0059
Soda Springs_15	27.9	32.958	0.639	1.93	0.0692
Soda Springs_15	20.52	30.024	2.934	4.38	0.2135
Soda Springs_15	22.032	32.364	2.34	0.75	0.034
Soda Springs_15	24.21	35.181	2.817	0.07	0.0029
Soda Springs_15	28.26	36.054	0.873	0.01	4e-04
Soda Springs_15	22.104	20.034	16.02	3.46	0.1565
Soda Springs_15	27.918	21.069	1.035	0	0
Soda Springs_15	37.35	25.587	4.518	0.02	5e-04
Soda Springs_15	33.912	32.49	6.903	0.05	0.0015
Soda Springs_15	25.218	38.529	6.039	0	0
Soda Springs_15	32.13	36.423	2.106	0.03	9e-04
Soda Springs_15	33.552	39.276	2.853	0	0
Soda Springs_15	12.726	30.519	8.757	8.4	0.6601
Soda Springs_15	29.412	32.292	1.773	0.25	0.0085
Soda Springs_15	27.702	34.893	2.601	3.29	0.1188
Soda Springs_15	29.232	30.096	4.797	0.06	0.0021
Soda Springs_15	17.082	30.321	0.225	7.2	0.4215
Soda Springs_15	13.194	25.569	4.752	8.39	0.6359
Soda Springs_15	26.586	30.879	5.31	0.21	0.0079
Soda Springs_15	33.804	33.93	3.051	0.08	0.0024
Soda Springs_15	30.132	38.646	4.716	0.28	0.0093
Soda Springs_15	16.38	36.288	2.358	0.61	0.0372
Soda Springs_15	27	38.34	2.052	0.03	0.0011
