env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_20	27.738	14.787	0	0	0
Idaho Falls_20	27.108	18.612	3.825	0	0
Idaho Falls_20	25.974	17.343	1.269	0.07	0.0027
Idaho Falls_20	19.872	13.626	3.717	7.4	0.3724
Idaho Falls_20	20.16	10.944	2.682	0.13	0.0064
Idaho Falls_20	27.18	15.084	4.14	0.02	7e-04
Idaho Falls_20	22.176	21.96	6.876	0.87	0.0392
Idaho Falls_20	20.178	18.873	3.087	0.76	0.0377
Idaho Falls_20	28.638	19.593	0.72	0	0
Idaho Falls_20	33.282	25.281	5.688	0.4	0.012
Idaho Falls_20	22.752	22.77	2.511	7.15	0.3143
Idaho Falls_20	21.528	20.808	1.962	0.35	0.0163
Idaho Falls_20	27.414	21.753	0.945	0.11	0.004
Idaho Falls_20	21.456	15.354	6.399	1.53	0.0713
Idaho Falls_20	27.144	13.014	2.34	0.02	7e-04
Idaho Falls_20	30.366	19.359	6.345	0	0
Idaho Falls_20	31.806	18.531	0.828	0.03	9e-04
Idaho Falls_20	28.35	11.862	6.669	0.01	4e-04
Idaho Falls_20	32.994	16.497	4.635	0.01	3e-04
Idaho Falls_20	32.526	17.379	0.882	0	0
Idaho Falls_20	33.75	21.069	3.69	0	0
Idaho Falls_20	30.708	27.288	6.219	1.05	0.0342
Idaho Falls_20	20.718	20.619	6.669	1.88	0.0907
Idaho Falls_20	16.542	12.519	8.1	1.15	0.0695
Idaho Falls_20	14.994	14.121	1.602	1.65	0.11
Idaho Falls_20	21.096	14.4	0.279	1.59	0.0754
Idaho Falls_20	28.872	17.1	2.7	0	0
Idaho Falls_20	27.144	25.488	8.388	0.31	0.0114
Idaho Falls_20	26.424	30.204	4.716	0.01	4e-04
Idaho Falls_20	29.61	26.037	4.167	1.27	0.0429
Idaho Falls_20	14.976	13.896	12.141	7.24	0.4834
Idaho Falls_20	20.988	15.516	1.62	3.07	0.1463
Idaho Falls_20	12.6	9.126	6.39	13.37	1.0611
Idaho Falls_20	16.524	7.911	1.215	13.76	0.8327
Idaho Falls_20	25.452	13.068	5.157	0.21	0.0083
Idaho Falls_20	31.86	19.8	6.732	0.01	3e-04
Idaho Falls_20	23.688	26.352	6.552	0.26	0.011
Idaho Falls_20	30.096	28.386	2.034	0.02	7e-04
Idaho Falls_20	32.544	32.994	4.608	0	0
Idaho Falls_20	33.426	39.843	6.849	0.13	0.0039
Idaho Falls_20	29.664	41.238	1.395	0.36	0.0121
Idaho Falls_20	23.022	34.173	7.065	0.08	0.0035
Idaho Falls_20	24.912	36.54	2.367	0.03	0.0012
Idaho Falls_20	26.568	33.066	3.474	0.09	0.0034
Idaho Falls_20	23.166	34.677	1.611	0.77	0.0332
Idaho Falls_20	21.384	33.804	0.873	0.2	0.0094
Idaho Falls_20	34.992	37.998	4.194	0.16	0.0046
Idaho Falls_20	19.566	25.677	12.321	9.78	0.4998
Idaho Falls_20	13.68	11.214	14.463	6.91	0.5051
