env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_14	30.006	9.927	0	0	0
Idaho Falls_14	24.552	10.773	0.846	0.2	0.0081
Idaho Falls_14	23.67	9.819	0.954	0.05	0.0021
Idaho Falls_14	33.966	15.516	5.697	0.01	3e-04
Idaho Falls_14	20.628	15.318	0.198	4.44	0.2152
Idaho Falls_14	34.704	16.56	1.242	0.1	0.0029
Idaho Falls_14	24.174	18.495	1.935	0.39	0.0161
Idaho Falls_14	35.262	17.811	0.684	0.26	0.0074
Idaho Falls_14	28.35	17.577	0.234	5.72	0.2018
Idaho Falls_14	17.352	6.804	10.773	1.81	0.1043
Idaho Falls_14	21.888	9.819	3.015	1.16	0.053
Idaho Falls_14	16.794	13.599	3.78	9.16	0.5454
Idaho Falls_14	14.346	9.387	4.212	10.53	0.734
Idaho Falls_14	22.23	8.541	0.846	1.96	0.0882
Idaho Falls_14	19.998	6.633	1.908	0.4	0.02
Idaho Falls_14	27.198	9.639	3.006	0.12	0.0044
Idaho Falls_14	33.57	14.157	4.518	0	0
Idaho Falls_14	31.932	20.97	6.813	0.01	3e-04
Idaho Falls_14	34.92	25.056	4.086	0	0
Idaho Falls_14	27.252	26.964	1.908	0	0
Idaho Falls_14	20.106	24.543	2.421	0.16	0.008
Idaho Falls_14	15.876	19.926	4.617	0.35	0.022
Idaho Falls_14	17.424	15.984	3.942	3.46	0.1986
Idaho Falls_14	15.588	7.605	8.379	3.63	0.2329
Idaho Falls_14	30.852	12.663	5.058	0.13	0.0042
Idaho Falls_14	19.584	13.788	1.125	5.54	0.2829
Idaho Falls_14	15.912	7.992	5.796	2.82	0.1772
Idaho Falls_14	23.454	12.087	4.095	0.35	0.0149
Idaho Falls_14	24.426	10.485	1.602	0.59	0.0242
Idaho Falls_14	32.328	14.04	3.555	0.14	0.0043
Idaho Falls_14	29.412	20.106	6.066	0.13	0.0044
Idaho Falls_14	30.6	26.334	6.228	0.03	0.001
Idaho Falls_14	18.162	25.911	0.423	1.36	0.0749
Idaho Falls_14	27.936	26.586	0.675	0.14	0.005
Idaho Falls_14	21.672	20.898	5.688	0.04	0.0018
Idaho Falls_14	24.21	18.495	2.403	0.11	0.0045
Idaho Falls_14	29.268	21.492	2.997	0.33	0.0113
Idaho Falls_14	35.118	26.793	5.301	0.25	0.0071
Idaho Falls_14	33.948	29.466	2.673	0.16	0.0047
Idaho Falls_14	29.7	32.652	3.186	0.33	0.0111
Idaho Falls_14	24.57	28.719	3.933	1.47	0.0598
Idaho Falls_14	30.996	28.548	0.171	0	0
Idaho Falls_14	30.978	33.327	4.779	0.04	0.0013
Idaho Falls_14	29.466	33.831	0.504	0.07	0.0024
Idaho Falls_14	30.474	34.425	0.594	0.18	0.0059
