env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_07	27.81	14.139	0	0.04	0.0014
Idaho Falls_07	29.988	15.696	1.557	0.02	7e-04
Idaho Falls_07	30.996	15.282	0.414	0.03	0.001
Idaho Falls_07	17.568	12.51	2.772	0.56	0.0319
Idaho Falls_07	20.574	9.756	2.754	1.21	0.0588
Idaho Falls_07	18.306	4.734	5.022	1.11	0.0606
Idaho Falls_07	23.076	6.57	1.836	0.24	0.0104
Idaho Falls_07	18.522	7.929	1.359	0.24	0.013
Idaho Falls_07	28.386	10.71	2.781	0.02	7e-04
Idaho Falls_07	32.616	15.12	4.41	0.08	0.0025
Idaho Falls_07	19.314	13.023	2.097	0.25	0.0129
Idaho Falls_07	31.788	15.372	2.349	0.02	6e-04
Idaho Falls_07	33.552	17.514	2.142	2.78	0.0829
Idaho Falls_07	17.172	7.065	10.449	7.11	0.414
Idaho Falls_07	13.086	4.482	2.583	1.41	0.1077
Idaho Falls_07	20.196	8.073	3.591	0.34	0.0168
Idaho Falls_07	16.038	8.451	0.378	1.19	0.0742
Idaho Falls_07	18.648	10.224	1.773	6	0.3218
Idaho Falls_07	15.066	11.385	1.161	6.48	0.4301
Idaho Falls_07	31.086	15.174	3.789	0.09	0.0029
Idaho Falls_07	28.35	18.783	3.609	0.37	0.0131
Idaho Falls_07	22.86	17.352	1.431	0.17	0.0074
Idaho Falls_07	31.374	19.467	2.115	0	0
Idaho Falls_07	37.026	27.261	7.794	0.05	0.0014
Idaho Falls_07	32.742	30.951	3.69	0.04	0.0012
Idaho Falls_07	25.542	28.737	2.214	0.08	0.0031
Idaho Falls_07	33.03	30.483	1.746	0.01	3e-04
Idaho Falls_07	27.882	26.325	4.158	0.6	0.0215
Idaho Falls_07	17.298	8.352	17.973	5.28	0.3052
Idaho Falls_07	20.088	8.379	0.027	0.08	0.004
Idaho Falls_07	16.506	7.596	0.783	1.29	0.0782
Idaho Falls_07	31.428	13.383	5.787	0.43	0.0137
Idaho Falls_07	34.002	18.999	5.616	0.12	0.0035
Idaho Falls_07	29.808	25.542	6.543	0.03	0.001
Idaho Falls_07	32.67	28.485	2.943	0.11	0.0034
Idaho Falls_07	29.826	33.345	4.86	0.09	0.003
Idaho Falls_07	33.948	33.03	0.315	0.01	3e-04
Idaho Falls_07	30.798	35.181	2.151	0.04	0.0013
Idaho Falls_07	28.98	26.982	8.199	0.04	0.0014
Idaho Falls_07	28.116	21.636	5.346	0.04	0.0014
Idaho Falls_07	35.856	23.85	2.214	0	0
Idaho Falls_07	35.406	29.583	5.733	0.08	0.0023
Idaho Falls_07	30.096	35.676	6.093	0.12	0.004
Idaho Falls_07	27.936	36.054	0.378	0.11	0.0039
Idaho Falls_07	26.262	35.253	0.801	0.06	0.0023
Idaho Falls_07	27.558	30.933	4.32	0.49	0.0178
Idaho Falls_07	16.362	12.951	17.982	0.77	0.0471
Idaho Falls_07	15.21	8.937	4.014	3.15	0.2071
Idaho Falls_07	26.748	12.384	3.447	0.23	0.0086
Idaho Falls_07	27.432	18.702	6.318	0.13	0.0047
Idaho Falls_07	26.118	24.543	5.841	0.01	4e-04
Idaho Falls_07	28.332	27.882	3.339	0.04	0.0014
Idaho Falls_07	31.626	34.893	7.011	0.11	0.0035
Idaho Falls_07	21.636	17.766	17.127	0.05	0.0023
Idaho Falls_07	28.152	15.444	2.322	0.03	0.0011
Idaho Falls_07	30.942	23.139	7.695	0	0
Idaho Falls_07	31.122	26.757	3.618	0	0
Idaho Falls_07	30.492	32.13	5.373	0	0
Idaho Falls_07	30.276	34.11	1.98	0.01	3e-04
