env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_10	35.568	19.71	0	0.05	0.0014
Idaho Falls_10	25.218	19.161	0.549	0.03	0.0012
Idaho Falls_10	30.276	21.546	2.385	0.02	7e-04
Idaho Falls_10	33.156	24.39	2.844	0.01	3e-04
Idaho Falls_10	33.264	24.84	0.45	0.24	0.0072
Idaho Falls_10	21.618	19.629	5.211	7.71	0.3566
Idaho Falls_10	10.584	7.596	12.033	11.98	1.1319
Idaho Falls_10	25.056	13.122	5.526	2.26	0.0902
Idaho Falls_10	29.7	13.851	0.729	0.3	0.0101
Idaho Falls_10	21.528	9.477	4.374	0.08	0.0037
Idaho Falls_10	26.586	13.167	3.69	0	0
Idaho Falls_10	28.098	20.871	7.704	6.61	0.2352
Idaho Falls_10	15.516	4.392	16.479	3.36	0.2166
Idaho Falls_10	16.812	3.672	0.72	3.28	0.1951
Idaho Falls_10	20.754	7.803	4.131	1.87	0.0901
Idaho Falls_10	17.91	6.282	1.521	2.35	0.1312
Idaho Falls_10	26.424	9.603	3.321	1.2	0.0454
Idaho Falls_10	26.226	12.978	3.375	1.63	0.0622
Idaho Falls_10	19.314	6.273	6.705	0.37	0.0192
Idaho Falls_10	22.734	8.523	2.25	0.51	0.0224
Idaho Falls_10	15.894	4.338	4.185	2.42	0.1523
Idaho Falls_10	24.03	8.793	4.455	0.16	0.0067
Idaho Falls_10	23.418	9.009	0.216	0.43	0.0184
Idaho Falls_10	27.72	13.419	4.41	0.05	0.0018
Idaho Falls_10	19.53	12.375	1.044	0.93	0.0476
Idaho Falls_10	15.372	10.08	2.295	6.59	0.4287
Idaho Falls_10	16.146	10.287	0.207	1.2	0.0743
Idaho Falls_10	22.824	13.068	2.781	0.47	0.0206
Idaho Falls_10	30.69	15.282	2.214	0.12	0.0039
Idaho Falls_10	26.46	21.618	6.336	0.07	0.0026
Idaho Falls_10	32.454	23.949	2.331	0	0
Idaho Falls_10	32.958	28.305	4.356	0.26	0.0079
