env_code	DTR	GDD	dGDD	PR	PRDTR
Rupert_06	30.618	16.551	0	0	0
Rupert_06	29.25	22.779	6.228	0.01	3e-04
Rupert_06	24.48	16.038	6.741	5.14	0.21
Rupert_06	20.052	11.97	4.068	2.56	0.1277
Rupert_06	29.484	15.21	3.24	0.4	0.0136
Rupert_06	25.74	18.702	3.492	0.12	0.0047
Rupert_06	28.836	21.006	2.304	0	0
Rupert_06	29.844	19.332	1.674	0	0
Rupert_06	27.36	25.164	5.832	0.16	0.0058
Rupert_06	24.462	16.821	8.343	0.13	0.0053
Rupert_06	33.498	18.117	1.296	0	0
Rupert_06	25.668	12.132	5.985	0.15	0.0058
Rupert_06	30.528	14.715	2.583	0.09	0.0029
Rupert_06	26.892	15.282	0.567	0.4	0.0149
Rupert_06	27.864	19.584	4.302	0.01	4e-04
Rupert_06	27.45	22.437	2.853	0.05	0.0018
Rupert_06	16.254	17.379	5.058	2.21	0.136
Rupert_06	23.328	13.32	4.059	0.96	0.0412
Rupert_06	27.306	11.817	1.503	0	0
Rupert_06	29.646	14.733	2.916	0.01	3e-04
Rupert_06	33.534	24.759	10.026	0	0
Rupert_06	25.578	25.533	0.774	0	0
Rupert_06	32.148	29.538	4.005	0.01	3e-04
Rupert_06	27.45	34.335	4.797	0.06	0.0022
Rupert_06	33.282	34.263	0.072	0	0
Rupert_06	32.22	37.458	3.195	0	0
Rupert_06	32.58	37.35	0.108	0.09	0.0028
Rupert_06	27.216	41.85	4.5	0.64	0.0235
Rupert_06	26.64	37.242	4.608	0.85	0.0319
Rupert_06	20.034	33.849	3.393	0.87	0.0434
Rupert_06	29.556	35.946	2.097	0.35	0.0118
Rupert_06	25.992	32.886	3.06	0.8	0.0308
Rupert_06	21.258	25.227	7.659	0.02	9e-04
Rupert_06	34.506	30.897	5.67	0	0
Rupert_06	29.268	30.924	0.027	0	0
Rupert_06	22.734	16.857	14.067	6.45	0.2837
Rupert_06	10.17	8.865	7.992	13.47	1.3245
Rupert_06	14.616	10.296	1.431	5.12	0.3503
Rupert_06	22.878	13.473	3.177	0.38	0.0166
Rupert_06	26.316	20.988	7.515	0.04	0.0015
Rupert_06	34.056	25.236	4.248	0.02	6e-04
Rupert_06	37.584	33.822	8.586	0.03	8e-04
Rupert_06	27.342	35.541	1.719	0.13	0.0048
Rupert_06	22.086	32.463	3.078	0.04	0.0018
Rupert_06	28.224	37.368	4.905	0.16	0.0057
Rupert_06	32.256	33.462	3.906	0	0
Rupert_06	34.488	43.416	9.954	0	0
Rupert_06	27.828	44.712	1.296	2.28	0.0819
Rupert_06	19.224	34.632	10.08	2.71	0.141
Rupert_06	15.174	28.161	6.471	5.98	0.3941
Rupert_06	25.974	28.917	0.756	0.27	0.0104
Rupert_06	33.192	35.568	6.651	0.97	0.0292
Rupert_06	32.4	39.474	3.906	2.1	0.0648
Rupert_06	33.426	36.639	2.835	3.09	0.0924
Rupert_06	16.83	20.871	15.768	1.28	0.0761
Rupert_06	23.94	22.392	1.521	0.57	0.0238
Rupert_06	30.042	26.469	4.077	0	0
Rupert_06	25.686	31.617	5.148	0.01	4e-04
Rupert_06	36.666	34.857	3.24	0.01	3e-04
Rupert_06	26.532	33.192	1.665	0.01	4e-04
Rupert_06	28.746	28.935	4.257	0.05	0.0017
Rupert_06	30.51	29.547	0.612	0	0
Rupert_06	34.92	31.374	1.827	0.06	0.0017
Rupert_06	33.264	38.394	7.02	0	0
Rupert_06	32.004	39.69	1.296	0	0
Rupert_06	31.266	42.075	2.385	0	0
Rupert_06	30.942	43.713	1.638	0	0
Rupert_06	33.462	43.713	0	0.04	0.0012
Rupert_06	33.408	45.054	1.341	0.1	0.003
Rupert_06	18.522	40.059	4.995	0.9	0.0486
Rupert_06	30.474	40.851	0.792	0.02	7e-04
Rupert_06	28.494	41.193	0.342	0.78	0.0274
Rupert_06	31.518	45.063	3.87	1.18	0.0374
Rupert_06	32.364	44.658	0.405	0.64	0.0198
Rupert_06	29.592	45.108	0.45	0.86	0.0291
Rupert_06	19.242	40.221	4.887	1.7	0.0883
Rupert_06	22.824	40.176	0.045	1.27	0.0556
Rupert_06	30.546	40.491	0.315	0.01	3e-04
Rupert_06	30.798	43.047	2.556	0.07	0.0023
Rupert_06	30.276	42.192	0.855	0.22	0.0073
Rupert_06	31.914	44.847	2.655	0.19	0.006
Rupert_06	31.698	47.511	2.664	0.36	0.0114
Rupert_06	25.92	42.426	5.085	0.94	0.0363
Rupert_06	29.628	40.932	1.494	0	0
Rupert_06	34.866	46.467	5.535	0	0
Rupert_06	34.812	47.691	1.224	0	0
Rupert_06	32.382	48.402	0.711	0.01	3e-04
Rupert_06	30.78	49.536	1.134	0	0
Rupert_06	31.5	47.826	1.71	0	0
Rupert_06	33.984	47.358	0.468	0.24	0.0071
Rupert_06	34.686	47.808	0.45	0.01	3e-04
Rupert_06	30.888	50.13	2.322	0	0
Rupert_06	32.328	50.913	0.783	0	0
Rupert_06	26.946	52.686	1.773	0.39	0.0145
Rupert_06	26.406	50.823	1.863	0.53	0.0201
Rupert_06	29.052	49.914	0.909	1.51	0.052
Rupert_06	27.702	50.112	0.198	0.2	0.0072
Rupert_06	33.084	48.393	1.719	0.08	0.0024
Rupert_06	30.78	49.914	1.521	0.01	3e-04
Rupert_06	26.406	50.652	0.738	0.02	8e-04
Rupert_06	24.282	42.435	8.217	0.04	0.0016
Rupert_06	26.028	37.764	4.671	0.98	0.0377
Rupert_06	23.922	37.737	0.027	0.74	0.0309
Rupert_06	32.076	37.494	0.243	0	0
Rupert_06	30.312	42.786	5.292	0.97	0.032
Rupert_06	30.6	45.738	2.952	0.51	0.0167
Rupert_06	29.43	46.359	0.621	0.59	0.02
Rupert_06	31.626	46.665	0.306	0.18	0.0057
Rupert_06	30.24	48.492	1.827	0.61	0.0202
Rupert_06	32.67	45.891	2.601	0.05	0.0015
Rupert_06	24.696	39.042	6.849	0.08	0.0032
Rupert_06	35.37	44.307	5.265	0.1	0.0028
Rupert_06	26.82	41.148	3.159	0	0
Rupert_06	26.964	37.584	3.564	0	0
Rupert_06	32.652	36.162	1.422	0	0
Rupert_06	35.172	44.028	7.866	0.53	0.0151
Rupert_06	30.114	45.423	1.395	0.2	0.0066
Rupert_06	32.418	44.055	1.368	0	0
Rupert_06	23.778	36.333	7.722	0	0
Rupert_06	29.844	35.982	0.351	0.01	3e-04
Rupert_06	31.014	41.121	5.139	0	0
Rupert_06	30.402	44.109	2.988	0	0
Rupert_06	32.22	47.304	3.195	0	0
Rupert_06	34.578	46.296	1.008	0	0
Rupert_06	33.822	44.793	1.503	0	0
Rupert_06	29.826	35.289	9.504	0.01	3e-04
Rupert_06	23.346	35.109	0.18	0.21	0.009
Rupert_06	19.944	28.782	6.327	0.55	0.0276
Rupert_06	29.862	36.423	7.641	0.36	0.0121
Rupert_06	33.12	40.536	4.113	0.01	3e-04
Rupert_06	32.13	44.793	4.257	0	0
Rupert_06	28.458	29.565	15.228	0	0
Rupert_06	30.042	26.415	3.15	0	0
Rupert_06	32.796	29.592	3.177	0	0
Rupert_06	37.098	34.875	5.283	0	0
Rupert_06	35.01	40.923	6.048	0	0
Rupert_06	29.502	43.893	2.97	0	0
Rupert_06	30.69	44.865	0.972	0.07	0.0023
Rupert_06	25.974	41.301	3.564	0.1	0.0039
Rupert_06	24.174	39.609	1.692	0.43	0.0178
Rupert_06	22.032	37.494	2.115	1.26	0.0572
Rupert_06	25.362	35.811	1.683	0.18	0.0071
Rupert_06	26.082	37.305	1.494	0.08	0.0031
Rupert_06	28.89	38.061	0.756	0.2	0.0069
Rupert_06	27.558	41.769	3.708	0	0
Rupert_06	29.7	40.356	1.413	0	0
Rupert_06	12.276	25.794	14.562	0.13	0.0106
Rupert_06	14.4	15.714	10.08	6.58	0.4569
Rupert_06	16.776	12.492	3.222	2.16	0.1288
Rupert_06	26.604	15.696	3.204	0.06	0.0023
