env_code	DTR	GDD	dGDD	PR	PRDTR
Rupert_13	24.192	15.804	0	0.09	0.0037
Rupert_13	28.764	16.506	0.702	0	0
Rupert_13	31.482	19.611	3.105	0	0
Rupert_13	18.108	13.896	5.715	2.83	0.1563
Rupert_13	27.828	16.596	2.7	0.14	0.005
Rupert_13	29.232	18.054	1.458	0	0
Rupert_13	28.314	22.599	4.545	1.21	0.0427
Rupert_13	13.68	15.732	6.867	0.59	0.0431
Rupert_13	12.924	11.718	4.014	0.86	0.0665
Rupert_13	17.982	12.231	0.513	6.18	0.3437
Rupert_13	18.378	6.984	5.247	3.53	0.1921
Rupert_13	23.922	8.289	1.305	0.12	0.005
Rupert_13	32.076	13.491	5.202	0.57	0.0178
Rupert_13	25.218	11.835	1.656	0.04	0.0016
Rupert_13	28.566	12.141	0.306	0	0
Rupert_13	23.508	8.289	3.852	3.22	0.137
Rupert_13	18.486	4.545	3.744	0.29	0.0157
Rupert_13	13.986	4.149	0.396	1.09	0.0779
Rupert_13	14.652	3.474	0.675	1.21	0.0826
Rupert_13	19.746	4.905	1.431	0.48	0.0243
Rupert_13	26.244	8.991	4.086	0	0
Rupert_13	17.154	8.28	0.711	3.72	0.2169
Rupert_13	22.392	11.358	3.078	1.26	0.0563
Rupert_13	27.432	12.852	1.494	0.05	0.0018
Rupert_13	20.106	6.696	6.156	0.66	0.0328
Rupert_13	27.54	8.73	2.034	0	0
Rupert_13	28.89	12.33	3.6	0	0
Rupert_13	28.692	16.506	4.176	0	0
Rupert_13	32.004	19.44	2.934	0	0
Rupert_13	31.032	25.218	5.778	0	0
Rupert_13	23.04	20.934	4.284	0.01	4e-04
Rupert_13	26.478	16.101	4.833	0.07	0.0026
Rupert_13	20.268	8.757	7.344	0.03	0.0015
Rupert_13	27.684	10.629	1.872	0.05	0.0018
Rupert_13	35.01	15.687	5.058	0	0
Rupert_13	32.346	20.007	4.32	0.01	3e-04
Rupert_13	21.384	19.476	0.531	0.14	0.0065
Rupert_13	25.722	19.791	0.315	0.01	4e-04
Rupert_13	27.45	26.253	6.462	0.22	0.008
Rupert_13	16.704	20.142	6.111	1.48	0.0886
Rupert_13	28.476	24.228	4.086	0.48	0.0169
Rupert_13	26.28	29.538	5.31	0.57	0.0217
Rupert_13	27.432	30.024	0.486	0.15	0.0055
Rupert_13	30.258	33.453	3.429	0	0
Rupert_13	27.342	40.455	7.002	0	0
Rupert_13	31.158	39.249	1.206	0	0
Rupert_13	28.944	32.31	6.939	0	0
Rupert_13	27.954	32.067	0.243	0.08	0.0029
Rupert_13	14.994	24.777	7.29	1.15	0.0767
Rupert_13	16.668	23.904	0.873	4.1	0.246
Rupert_13	19.368	21.204	2.7	0.37	0.0191
Rupert_13	23.724	19.296	1.908	0.71	0.0299
Rupert_13	25.866	25.137	5.841	0.22	0.0085
Rupert_13	28.854	26.343	1.206	0.16	0.0055
Rupert_13	14.832	13.572	12.771	0.02	0.0013
Rupert_13	25.056	16.092	2.52	0.42	0.0168
Rupert_13	37.062	19.773	3.681	0	0
Rupert_13	26.334	25.065	5.292	0.01	4e-04
Rupert_13	25.704	27.504	2.439	0.06	0.0023
Rupert_13	24.408	20.502	7.002	0.65	0.0266
Rupert_13	10.638	16.857	3.645	7.47	0.7022
Rupert_13	24.714	20.223	3.366	1.01	0.0409
