env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_07	15.3	5.148	0	0.63	0.0412
Soda Springs_07	16.002	5.616	0.468	3.63	0.2268
Soda Springs_07	29.268	10.71	5.094	1.3	0.0444
Soda Springs_07	28.08	16.398	5.688	0.01	4e-04
Soda Springs_07	27.576	22.968	6.57	0.14	0.0051
Soda Springs_07	31.788	24.084	1.116	0.1	0.0031
Soda Springs_07	31.428	27.9	3.816	0.08	0.0025
Soda Springs_07	29.664	30.042	2.142	0.01	3e-04
Soda Springs_07	29.826	30.411	0.369	0.03	0.001
Soda Springs_07	28.638	24.669	5.742	0.01	3e-04
Soda Springs_07	27.09	18.459	6.21	0	0
Soda Springs_07	36.666	20.529	2.07	0.01	3e-04
Soda Springs_07	37.08	24.804	4.275	0.01	3e-04
Soda Springs_07	28.548	30.924	6.12	0.31	0.0109
Soda Springs_07	27.54	31.914	0.99	0.2	0.0073
Soda Springs_07	29.808	30.294	1.62	0.15	0.005
Soda Springs_07	27.792	28.746	1.548	0.55	0.0198
Soda Springs_07	21.798	9.387	19.359	3.87	0.1775
Soda Springs_07	14.76	5.481	3.906	4.5	0.3049
Soda Springs_07	29.142	10.737	5.256	0.23	0.0079
Soda Springs_07	27.342	12.942	2.205	0.07	0.0026
Soda Springs_07	25.776	20.43	7.488	0.06	0.0023
Soda Springs_07	27	23.112	2.682	0.04	0.0015
Soda Springs_07	28.566	30.537	7.425	0.26	0.0091
Soda Springs_07	24.408	14.634	15.903	0.37	0.0152
Soda Springs_07	28.386	12.897	1.737	0.01	4e-04
Soda Springs_07	28.944	19.152	6.255	0	0
Soda Springs_07	25.362	22.833	3.681	0	0
Soda Springs_07	25.938	28.287	5.454	0	0
Soda Springs_07	31.77	30.555	2.268	0.01	3e-04
Soda Springs_07	33.714	30.393	0.162	0.01	3e-04
Soda Springs_07	28.278	34.695	4.302	0.68	0.024
Soda Springs_07	28.656	29.808	4.887	0.14	0.0049
Soda Springs_07	11.7	7.722	22.086	15.19	1.2983
Soda Springs_07	20.538	10.755	3.033	10.39	0.5059
Soda Springs_07	26.55	13.113	2.358	1.57	0.0591
Soda Springs_07	34.614	21.033	7.92	0.03	9e-04
Soda Springs_07	29.556	28.782	7.749	0.32	0.0108
Soda Springs_07	19.692	23.4	5.382	1.12	0.0569
Soda Springs_07	23.436	27.612	4.212	0	0
Soda Springs_07	30.078	29.421	1.809	0.04	0.0013
Soda Springs_07	24.75	29.979	0.558	0.1	0.004
Soda Springs_07	32.688	32.67	2.691	0	0
Soda Springs_07	32.598	36.387	3.717	0.12	0.0037
Soda Springs_07	22.788	20.646	15.741	0.12	0.0053
Soda Springs_07	28.8	22.644	1.998	0.01	3e-04
Soda Springs_07	30.852	33.012	10.368	0.03	0.001
Soda Springs_07	32.832	36.576	3.564	0.04	0.0012
Soda Springs_07	28.188	39.312	2.736	0.03	0.0011
Soda Springs_07	31.734	38.997	0.315	0.01	3e-04
Soda Springs_07	27.558	35.451	3.546	0.04	0.0015
Soda Springs_07	30.06	33.192	2.259	0.1	0.0033
Soda Springs_07	27.234	27.009	6.183	0.04	0.0015
Soda Springs_07	40.122	30.555	3.546	0.02	5e-04
Soda Springs_07	37.314	36.459	5.904	0.18	0.0048
Soda Springs_07	36.702	37.161	0.702	0.04	0.0011
