env_code	DTR	GDD	dGDD	PR	PRDTR
Soda Springs_09	22.176	27.36	0	0.21	0.0095
Soda Springs_09	18.846	21.123	6.237	0.06	0.0032
Soda Springs_09	35.28	19.008	2.115	0.14	0.004
Soda Springs_09	32.508	25.92	6.912	0	0
Soda Springs_09	22.464	24.93	0.99	1.07	0.0476
Soda Springs_09	9.72	18.738	6.192	10.59	1.0895
Soda Springs_09	19.296	20.034	1.296	2.75	0.1425
Soda Springs_09	21.42	20.07	0.036	1.19	0.0556
Soda Springs_09	29.376	23.832	3.762	0.1	0.0034
Soda Springs_09	25.866	30.141	6.309	0	0
Soda Springs_09	26.982	31.797	1.656	0.04	0.0015
Soda Springs_09	25.29	31.095	0.702	1.48	0.0585
Soda Springs_09	14.148	27.018	4.077	3.46	0.2446
Soda Springs_09	16.65	24.327	2.691	10.29	0.618
Soda Springs_09	15.444	20.898	3.429	10.79	0.6987
Soda Springs_09	22.14	22.896	1.998	2.93	0.1323
Soda Springs_09	27.306	30.123	7.227	0.32	0.0117
Soda Springs_09	24.678	24.129	5.994	3.79	0.1536
Soda Springs_09	15.966	16.227	7.902	9.08	0.5687
Soda Springs_09	13.23	15.291	0.936	15.61	1.1799
Soda Springs_09	23.058	15.759	0.468	6.64	0.288
Soda Springs_09	23.508	19.278	3.519	1.24	0.0527
Soda Springs_09	10.422	17.145	2.133	9.69	0.9298
Soda Springs_09	12.348	17.694	0.549	7.48	0.6058
Soda Springs_09	19.332	19.71	2.016	1.95	0.1009
Soda Springs_09	17.802	20.367	0.657	6.95	0.3904
Soda Springs_09	19.89	18.603	1.764	4.2	0.2112
Soda Springs_09	12.546	17.919	0.684	4.48	0.3571
Soda Springs_09	19.8	23.796	5.877	2.03	0.1025
Soda Springs_09	11.286	21.015	2.781	6.28	0.5564
Soda Springs_09	17.154	21.483	0.468	9.17	0.5346
Soda Springs_09	31.14	23.04	1.557	0	0
Soda Springs_09	14.904	21.852	1.188	6.82	0.4576
Soda Springs_09	18.522	19.827	2.025	3.2	0.1728
Soda Springs_09	24.768	19.98	0.153	0.17	0.0069
Soda Springs_09	39.06	22.536	2.556	0	0
Soda Springs_09	30.528	31.932	9.396	0	0
Soda Springs_09	29.628	32.688	0.756	0.34	0.0115
Soda Springs_09	21.672	24.534	8.154	7.45	0.3438
Soda Springs_09	29.304	25.182	0.648	0	0
Soda Springs_09	33.39	28.413	3.231	0	0
Soda Springs_09	33.48	32.85	4.437	0	0
Soda Springs_09	28.854	33.777	0.927	0.02	7e-04
Soda Springs_09	21.474	36.333	2.556	1.37	0.0638
Soda Springs_09	27.594	32.409	3.924	3.92	0.1421
Soda Springs_09	19.89	28.341	4.068	5.11	0.2569
Soda Springs_09	22.446	27.765	0.576	2.71	0.1207
Soda Springs_09	27.936	32.274	4.509	0.21	0.0075
Soda Springs_09	28.872	33.48	1.206	0.01	3e-04
Soda Springs_09	27.126	31.365	2.115	0	0
Soda Springs_09	20.07	28.035	3.33	0	0
Soda Springs_09	32.67	25.731	2.304	0.01	3e-04
Soda Springs_09	30.798	31.617	5.886	0.07	0.0023
Soda Springs_09	29.088	35.37	3.753	0.04	0.0014
Soda Springs_09	29.178	36.315	0.945	0.53	0.0182
Soda Springs_09	24.822	25.821	10.494	0.14	0.0056
Soda Springs_09	29.412	24.12	1.701	0	0
Soda Springs_09	32.31	29.385	5.265	0	0
Soda Springs_09	29.466	35.919	6.534	0	0
Soda Springs_09	28.944	39.15	3.231	0.03	0.001
Soda Springs_09	33.174	39.321	0.171	0.03	9e-04
Soda Springs_09	26.982	39.537	0.216	0.16	0.0059
Soda Springs_09	26.244	33.444	6.093	0	0
Soda Springs_09	32.976	34.632	1.188	0.09	0.0027
Soda Springs_09	28.26	39.726	5.094	0.06	0.0021
Soda Springs_09	32.904	40.356	0.63	0.03	9e-04
Soda Springs_09	21.168	37.836	2.52	0.23	0.0109
Soda Springs_09	27.558	38.025	0.189	1.65	0.0599
Soda Springs_09	28.296	38.574	0.549	1.27	0.0449
Soda Springs_09	23.13	34.245	4.329	0.4	0.0173
Soda Springs_09	27.54	31.086	3.159	0.13	0.0047
Soda Springs_09	21.834	30.447	0.639	0.08	0.0037
Soda Springs_09	27.684	29.862	0.585	0.12	0.0043
Soda Springs_09	28.332	31.734	1.872	0.06	0.0021
Soda Springs_09	30.888	33.786	2.052	0	0
Soda Springs_09	29.484	37.818	4.032	0.08	0.0027
Soda Springs_09	27.432	39.906	2.088	1	0.0365
Soda Springs_09	31.554	36.783	3.123	0.03	0.001
Soda Springs_09	30.186	36.729	0.054	0.37	0.0123
Soda Springs_09	30.888	34.164	2.565	1.39	0.045
Soda Springs_09	23.706	24.759	9.405	1.03	0.0434
Soda Springs_09	14.904	17.028	7.731	4.07	0.2731
Soda Springs_09	28.26	21.474	4.446	0.06	0.0021
Soda Springs_09	30.078	27.513	6.039	0	0
Soda Springs_09	30.438	32.949	5.436	0	0
Soda Springs_09	33.786	35.595	2.646	0.11	0.0033
Soda Springs_09	29.952	35.532	0.063	0.07	0.0023
Soda Springs_09	26.82	31.248	4.284	0.37	0.0138
Soda Springs_09	17.136	22.176	9.072	0.78	0.0455
Soda Springs_09	21.276	19.53	2.646	0.12	0.0056
Soda Springs_09	29.358	23.355	3.825	0.09	0.0031
Soda Springs_09	20.7	28.386	5.031	0.12	0.0058
Soda Springs_09	25.758	31.167	2.781	0	0
Soda Springs_09	33.21	34.029	2.862	0	0
Soda Springs_09	36.792	37.188	3.159	0.01	3e-04
Soda Springs_09	29.736	41.04	3.852	0.02	7e-04
Soda Springs_09	17.226	30.429	10.611	9.96	0.5782
Soda Springs_09	18.45	28.269	2.16	3.04	0.1648
Soda Springs_09	22.914	28.521	0.252	0.24	0.0105
Soda Springs_09	31.248	32.346	3.825	0	0
Soda Springs_09	29.25	37.125	4.779	0	0
Soda Springs_09	34.146	35.703	1.422	0.03	9e-04
Soda Springs_09	25.506	33.327	2.376	0.1	0.0039
Soda Springs_09	28.332	34.362	1.035	0.05	0.0018
