env_code	DTR	GDD	dGDD	PR	PRDTR
Rupert_17	29.754	17.811	0	0.07	0.0024
Rupert_17	24.444	15.138	2.673	3.13	0.128
Rupert_17	17.91	5.418	9.72	4.02	0.2245
Rupert_17	26.82	9.018	3.6	0	0
Rupert_17	33.894	15.372	6.354	0.08	0.0024
Rupert_17	16.236	15.174	0.198	1.92	0.1183
Rupert_17	15.822	12.033	3.141	8.47	0.5353
Rupert_17	27.666	13.365	1.332	0.03	0.0011
Rupert_17	15.516	8.55	4.815	7.66	0.4937
Rupert_17	25.164	10.593	2.043	0.11	0.0044
Rupert_17	26.55	12.897	2.304	0.08	0.003
Rupert_17	16.488	15.246	2.349	0.66	0.04
Rupert_17	10.746	9.099	6.147	6.53	0.6077
Rupert_17	19.35	11.385	2.286	1.99	0.1028
Rupert_17	11.142	8.505	2.88	6.63	0.595
Rupert_17	15.066	6.624	1.881	0.15	0.01
Rupert_17	19.728	8.406	1.782	0.59	0.0299
Rupert_17	24.714	10.782	2.376	0.04	0.0016
Rupert_17	21.186	15.705	4.923	0.09	0.0042
Rupert_17	22.878	12.141	3.564	0.12	0.0052
Rupert_17	23.418	17.163	5.022	0.11	0.0047
Rupert_17	29.988	18.954	1.791	0	0
Rupert_17	30.672	28.26	9.306	0	0
Rupert_17	33.03	30.627	2.367	0.17	0.0051
Rupert_17	30.942	26.829	3.798	1.06	0.0343
Rupert_17	19.224	18.126	8.703	0.5	0.026
Rupert_17	29.592	18.63	0.504	0	0
Rupert_17	29.34	22.338	3.708	0.01	3e-04
Rupert_17	28.152	25.83	3.492	0	0
Rupert_17	30.888	32.202	6.372	0.09	0.0029
Rupert_17	33.804	22.572	9.63	0.17	0.005
Rupert_17	18.414	11.547	11.025	0.3	0.0163
Rupert_17	26.388	14.364	2.817	0.04	0.0015
Rupert_17	20.286	16.047	1.683	0.12	0.0059
Rupert_17	19.674	12.987	3.06	8.19	0.4163
Rupert_17	9.666	3.744	9.243	2.23	0.2307
Rupert_17	28.044	12.447	8.703	0.62	0.0221
Rupert_17	24.228	16.218	3.771	0.06	0.0025
Rupert_17	28.998	22.041	5.823	2.2	0.0759
Rupert_17	23.094	24.489	2.448	1.27	0.055
Rupert_17	29.79	27.837	3.348	0	0
Rupert_17	28.962	31.581	3.744	0.01	3e-04
Rupert_17	27.648	23.382	8.199	0.04	0.0014
Rupert_17	24.678	16.389	6.993	0.27	0.0109
Rupert_17	19.494	14.499	1.89	8.55	0.4386
Rupert_17	28.638	22.509	8.01	0.01	3e-04
Rupert_17	25.848	30.762	8.253	0.01	4e-04
Rupert_17	28.566	32.211	1.449	0.04	0.0014
Rupert_17	30.348	35.82	3.609	0	0
Rupert_17	30.006	39.573	3.753	0.06	0.002
Rupert_17	24.282	29.583	9.99	0.23	0.0095
Rupert_17	30.564	28.44	1.143	0	0
Rupert_17	32.112	36.216	7.776	0	0
Rupert_17	30.312	39.51	3.294	0.29	0.0096
Rupert_17	22.86	27.9	11.61	0.02	9e-04
Rupert_17	37.53	35.955	8.055	0.03	8e-04
Rupert_17	33.678	42.471	6.516	0.01	3e-04
Rupert_17	29.664	35.118	7.353	0	0
Rupert_17	16.848	25.578	9.54	2.78	0.165
Rupert_17	22.914	22.221	3.357	0.1	0.0044
Rupert_17	28.836	29.88	7.659	0.09	0.0031
Rupert_17	21.816	23.022	6.858	2.32	0.1063
Rupert_17	22.95	19.773	3.249	13.17	0.5739
Rupert_17	31.842	24.813	5.04	0	0
Rupert_17	23.94	32.148	7.335	0.01	4e-04
Rupert_17	23.436	32.31	0.162	0.54	0.023
Rupert_17	21.33	29.439	2.871	0.03	0.0014
Rupert_17	32.598	32.427	2.988	0	0
Rupert_17	33.822	40.707	8.28	0	0
Rupert_17	31.644	45.522	4.815	0.02	6e-04
Rupert_17	28.638	39.519	6.003	0.01	3e-04
Rupert_17	27.342	33.363	6.156	0	0
Rupert_17	32.256	31.896	1.467	0	0
Rupert_17	33.156	35.532	3.636	0	0
Rupert_17	32.346	41.373	5.841	0	0
Rupert_17	35.982	45.189	3.816	0.28	0.0078
Rupert_17	21.582	39.663	5.526	0.57	0.0264
Rupert_17	26.478	34.263	5.4	1.71	0.0646
Rupert_17	28.638	31.527	2.736	0.05	0.0017
Rupert_17	30.888	35.046	3.519	0.01	3e-04
Rupert_17	36.378	39.303	4.257	0.02	5e-04
Rupert_17	29.79	45.945	6.642	0.02	7e-04
Rupert_17	29.628	46.764	0.819	0.03	0.001
Rupert_17	33.102	47.196	0.432	0.01	3e-04
Rupert_17	29.394	49.788	2.592	0	0
Rupert_17	29.142	49.554	0.234	0.03	0.001
Rupert_17	30.348	49.329	0.225	0.02	7e-04
Rupert_17	30.222	49.743	0.414	0	0
Rupert_17	29.016	49.824	0.081	0.85	0.0293
Rupert_17	25.956	47.88	1.944	0.06	0.0023
Rupert_17	26.784	42.84	5.04	0	0
Rupert_17	32.688	43.47	0.63	0	0
Rupert_17	32.778	48.132	4.662	0	0
Rupert_17	26.982	50.085	1.953	0.11	0.0041
Rupert_17	31.806	49.239	0.846	0.13	0.0041
Rupert_17	22.014	45.459	3.78	0.17	0.0077
Rupert_17	26.46	46.188	0.729	0.02	8e-04
Rupert_17	31.662	46.863	0.675	0.01	3e-04
Rupert_17	31.77	45.873	0.99	0	0
Rupert_17	29.196	44.856	1.017	0	0
Rupert_17	30.636	43.83	1.026	0	0
Rupert_17	32.724	44.514	0.684	0	0
Rupert_17	34.398	46.773	2.259	0	0
Rupert_17	32.544	47.799	1.026	0.01	3e-04
Rupert_17	13.158	44.181	3.618	0.32	0.0243
Rupert_17	24.282	43.155	1.026	1.59	0.0655
Rupert_17	22.266	42.147	1.008	0.49	0.022
Rupert_17	29.034	44.325	2.178	0.21	0.0072
Rupert_17	31.266	47.151	2.826	0.39	0.0125
Rupert_17	28.98	48.519	1.368	0.13	0.0045
Rupert_17	27.396	50.373	1.854	0.02	7e-04
Rupert_17	33.282	48.123	2.25	0	0
Rupert_17	29.484	49.689	1.566	0	0
Rupert_17	30.816	48.078	1.611	0	0
Rupert_17	30.276	47.232	0.846	0	0
Rupert_17	28.674	44.865	2.367	0	0
Rupert_17	19.926	39.159	5.706	0	0
Rupert_17	23.886	42.903	3.744	0.14	0.0059
Rupert_17	25.038	41.913	0.99	2.12	0.0847
Rupert_17	25.38	40.05	1.863	1.09	0.0429
Rupert_17	25.02	42.93	2.88	0.08	0.0032
Rupert_17	31.176	44.928	1.998	0.16	0.0051
Rupert_17	31.428	45.36	0.432	0.15	0.0048
Rupert_17	26.622	42.183	3.177	0.2	0.0075
Rupert_17	15.642	30.105	12.078	0.9	0.0575
Rupert_17	31.23	35.235	5.13	0	0
Rupert_17	28.872	40.95	5.715	0	0
Rupert_17	29.34	39.672	1.278	0.03	0.001
Rupert_17	31.32	42.102	2.43	0	0
Rupert_17	33.696	43.182	1.08	0	0
Rupert_17	30.924	40.5	2.682	0	0
Rupert_17	32.022	41.013	0.513	0.02	6e-04
Rupert_17	30.528	45.504	4.491	0	0
Rupert_17	18.936	41.184	4.32	2.17	0.1146
Rupert_17	27.036	41.184	0	0.04	0.0015
Rupert_17	30.42	46.314	5.13	0.02	7e-04
Rupert_17	30.654	46.053	0.261	0.07	0.0023
Rupert_17	33.372	46.539	0.486	0	0
Rupert_17	28.692	47.592	1.053	0	0
Rupert_17	27.972	49.932	2.34	0.01	4e-04
Rupert_17	25.182	48.087	1.845	0.65	0.0258
Rupert_17	24.39	43.137	4.95	0.07	0.0029
Rupert_17	31.05	41.229	1.908	0	0
Rupert_17	30.942	47.475	6.246	0	0
Rupert_17	33.336	48.051	0.576	0	0
Rupert_17	27.432	48.852	0.801	0	0
Rupert_17	27.846	42.453	6.399	0	0
Rupert_17	29.574	44.433	1.98	0	0
Rupert_17	26.766	44.019	0.414	0	0
Rupert_17	21.852	41.868	2.151	0.41	0.0188
