env_code	DTR	GDD	dGDD	PR	PRDTR
Ashton_16	30.258	13.446	0	0	0
Ashton_16	25.722	19.377	5.931	0.24	0.0093
Ashton_16	27.54	19.782	0.405	0	0
Ashton_16	28.188	22.23	2.448	0.33	0.0117
Ashton_16	15.318	16.821	5.409	1.61	0.1051
Ashton_16	21.978	17.613	0.792	1.57	0.0714
Ashton_16	28.152	19.206	1.593	0.89	0.0316
Ashton_16	22.032	9.441	9.765	6.23	0.2828
Ashton_16	10.134	2.016	7.425	2.94	0.2901
Ashton_16	21.708	7.245	5.229	1.37	0.0631
Ashton_16	32.202	12.933	5.688	0.5	0.0155
Ashton_16	27.954	17.091	4.158	1.71	0.0612
Ashton_16	24.642	20.907	3.816	2.45	0.0994
Ashton_16	17.046	13.239	7.668	6.58	0.386
Ashton_16	22.842	10.908	2.331	1.03	0.0451
Ashton_16	32.364	14.931	4.023	0.49	0.0151
Ashton_16	24.174	17.541	2.61	0.59	0.0244
Ashton_16	16.128	14.868	2.673	11.79	0.731
Ashton_16	21.51	15.543	0.675	8.07	0.3752
Ashton_16	12.816	6.309	9.234	13.09	1.0214
Ashton_16	15.768	6.066	0.243	3.44	0.2182
Ashton_16	19.71	7.398	1.332	1.73	0.0878
Ashton_16	24.336	10.89	3.492	4.28	0.1759
Ashton_16	15.012	10.278	0.612	8.08	0.5382
Ashton_16	20.916	13.014	2.736	0.31	0.0148
Ashton_16	19.98	11.808	1.206	4.39	0.2197
Ashton_16	24.75	11.457	0.351	0.43	0.0174
Ashton_16	31.212	14.823	3.366	0.37	0.0119
Ashton_16	22.842	15.993	1.17	0.3	0.0131
Ashton_16	29.124	14.31	1.683	0	0
Ashton_16	28.368	19.728	5.418	0.22	0.0078
Ashton_16	24.102	22.707	2.979	0.19	0.0079
Ashton_16	27	22.572	0.135	0.03	0.0011
Ashton_16	30.078	26.343	3.771	0.54	0.018
Ashton_16	28.206	32.643	6.3	0.29	0.0103
Ashton_16	30.708	33.552	0.909	0.81	0.0264
Ashton_16	28.53	30.591	2.961	0.56	0.0196
Ashton_16	20.754	31.383	0.792	0.48	0.0231
Ashton_16	20.502	31.509	0.126	0.64	0.0312
Ashton_16	32.076	30.006	1.503	0	0
Ashton_16	20.556	20.538	9.468	1.56	0.0759
Ashton_16	24.57	18.441	2.097	0.38	0.0155
Ashton_16	19.062	18.585	0.144	1.55	0.0813
Ashton_16	22.428	19.08	0.495	1.12	0.0499
Ashton_16	25.902	20.907	1.827	5.29	0.2042
Ashton_16	16.272	16.722	4.185	2.9	0.1782
Ashton_16	34.218	21.753	5.031	0.56	0.0164
Ashton_16	30.132	27.108	5.355	0.86	0.0285
Ashton_16	25.056	24.084	3.024	0.59	0.0235
Ashton_16	33.516	31.158	7.074	0.04	0.0012
Ashton_16	25.758	30.843	0.315	0.07	0.0027
Ashton_16	32.616	27	3.843	0.01	3e-04
Ashton_16	29.79	32.193	5.193	0.01	3e-04
Ashton_16	28.278	25.425	6.768	0.14	0.005
Ashton_16	27.99	19.413	6.012	0.06	0.0021
Ashton_16	34.974	23.589	4.176	0.01	3e-04
Ashton_16	36.99	31.797	8.208	0	0
Ashton_16	32.904	37.458	5.661	0.24	0.0073
Ashton_16	34.902	36.405	1.053	0.21	0.006
Ashton_16	25.11	35.631	0.774	1.39	0.0554
Ashton_16	25.308	32.526	3.105	0.43	0.017
Ashton_16	29.322	34.407	1.881	0.17	0.0058
Ashton_16	22.5	32.382	2.025	1.08	0.048
Ashton_16	25.542	31.959	0.423	0.73	0.0286
Ashton_16	21.474	26.775	5.184	0.02	9e-04
Ashton_16	22.878	25.281	1.494	0.7	0.0306
Ashton_16	29.682	22.581	2.7	0	0
Ashton_16	33.462	31.977	9.396	0.15	0.0045
Ashton_16	26.334	33.579	1.602	1.34	0.0509
Ashton_16	21.474	19.593	13.986	9.76	0.4545
Ashton_16	23.742	16.011	3.582	3.15	0.1327
Ashton_16	31.77	20.043	4.032	1.63	0.0513
Ashton_16	28.026	22.581	2.538	0.49	0.0175
Ashton_16	31.95	26.307	3.726	0	0
Ashton_16	33.516	30.798	4.491	0.13	0.0039
Ashton_16	27.558	28.629	2.169	0.21	0.0076
Ashton_16	37.728	28.476	0.153	0.02	5e-04
Ashton_16	33.444	34.542	6.066	0.01	3e-04
Ashton_16	29.646	36.495	1.953	0.08	0.0027
Ashton_16	30.366	36.405	0.09	0.15	0.0049
Ashton_16	30.366	40.275	3.87	0.05	0.0016
Ashton_16	33.12	37.314	2.961	0.27	0.0082
Ashton_16	28.368	30.222	7.092	0.24	0.0085
Ashton_16	34.776	30.942	0.72	0	0
Ashton_16	34.614	35.775	4.833	0	0
Ashton_16	33.39	38.547	2.772	0.27	0.0081
Ashton_16	32.094	36.477	2.07	0.56	0.0174
Ashton_16	32.238	34.965	1.512	0.05	0.0016
Ashton_16	32.4	36.648	1.683	4.16	0.1284
Ashton_16	28.944	33.318	3.33	39.92	1.3792
Ashton_16	31.086	35.307	1.989	0.1	0.0032
Ashton_16	34.074	31.779	3.528	0.29	0.0085
Ashton_16	35.442	34.731	2.952	0	0
Ashton_16	25.488	31.122	3.609	0.01	4e-04
Ashton_16	35.91	28.845	2.277	0.01	3e-04
Ashton_16	35.298	32.337	3.492	0.02	6e-04
Ashton_16	22.284	34.668	2.331	0.42	0.0188
Ashton_16	24.408	32.886	1.782	4.83	0.1979
Ashton_16	31.32	29.97	2.916	0	0
Ashton_16	28.44	29.988	0.018	0.03	0.0011
Ashton_16	28.386	23.913	6.075	0.03	0.0011
Ashton_16	28.458	25.821	1.908	0.03	0.0011
Ashton_16	30.672	28.116	2.295	0.03	0.001
Ashton_16	33.732	31.032	2.916	0.05	0.0015
Ashton_16	26.46	32.274	1.242	0.41	0.0155
Ashton_16	30.582	35.487	3.213	0.01	3e-04
Ashton_16	33.264	35.406	0.081	0	0
Ashton_16	29.43	39.051	3.645	0.18	0.0061
Ashton_16	21.816	33.066	5.985	0.51	0.0234
Ashton_16	25.866	25.965	7.101	0.17	0.0066
Ashton_16	33.264	27.468	1.503	0.07	0.0021
Ashton_16	35.064	30.438	2.97	0.08	0.0023
Ashton_16	33.624	30.402	0.036	0	0
Ashton_16	27.612	24.426	5.976	0	0
Ashton_16	28.494	21.663	2.763	0.05	0.0018
Ashton_16	31.842	19.989	1.674	0	0
Ashton_16	27.252	22.878	2.889	0.08	0.0029
Ashton_16	30.474	24.939	2.061	0	0
Ashton_16	33.696	29.592	4.653	0	0
Ashton_16	34.506	33.543	3.951	0	0
Ashton_16	34.83	35.595	2.052	0	0
Ashton_16	32.31	35.181	0.414	0	0
Ashton_16	26.262	36.171	0.99	1.49	0.0567
Ashton_16	21.96	32.166	4.005	0.43	0.0196
Ashton_16	13.968	22.176	9.99	0.22	0.0158
Ashton_16	12.834	17.181	4.995	4.15	0.3234
Ashton_16	16.614	13.365	3.816	3.89	0.2341
Ashton_16	29.052	14.724	1.359	0.34	0.0117
Ashton_16	21.69	19.125	4.401	0.78	0.036
Ashton_16	27.774	19.359	0.234	0.24	0.0086
Ashton_16	29.448	15.174	4.185	0.07	0.0024
Ashton_16	33.3	19.404	4.23	0.14	0.0042
Ashton_16	34.596	21.654	2.25	0.35	0.0101
Ashton_16	14.562	11.529	10.125	4.37	0.3001
Ashton_16	27.81	17.541	6.012	0.95	0.0342
Ashton_16	19.116	13.446	4.095	4.42	0.2312
Ashton_16	24.192	16.056	2.61	0.44	0.0182
Ashton_16	29.484	17.424	1.368	0.02	7e-04
Ashton_16	28.512	17.316	0.108	0.24	0.0084
Ashton_16	16.488	23.148	5.832	1.63	0.0989
Ashton_16	26.262	24.471	1.323	0.18	0.0069
Ashton_16	25.272	28.71	4.239	0.18	0.0071
Ashton_16	21.294	25.245	3.465	1.87	0.0878
Ashton_16	13.608	19.386	5.859	21.57	1.5851
Ashton_16	15.228	15.462	3.924	8.12	0.5332
Ashton_16	20.754	13.005	2.457	4.12	0.1985
Ashton_16	29.43	14.706	1.701	0	0
Ashton_16	33.948	22.554	7.848	0	0
Ashton_16	28.116	26.1	3.546	0	0
Ashton_16	32.67	24.975	1.125	0	0
