env_code	DTR	GDD	dGDD	PR	PRDTR
Idaho Falls_18	15.75	4.752	0	1.04	0.066
Idaho Falls_18	25.884	8.991	4.239	0	0
Idaho Falls_18	21.924	13.032	4.041	0.11	0.005
Idaho Falls_18	31.446	15.714	2.682	0.07	0.0022
Idaho Falls_18	34.02	17.001	1.287	0	0
Idaho Falls_18	30.888	20.988	3.987	0.76	0.0246
Idaho Falls_18	19.8	12.024	8.964	6.04	0.3051
Idaho Falls_18	28.026	13.059	1.035	0.14	0.005
Idaho Falls_18	33.372	15.705	2.646	0.03	9e-04
Idaho Falls_18	33.012	19.71	4.005	0.02	6e-04
Idaho Falls_18	37.296	24.552	4.842	0	0
Idaho Falls_18	23.184	22.914	1.638	0.07	0.003
Idaho Falls_18	18.666	11.853	11.061	0.63	0.0338
Idaho Falls_18	11.646	7.083	4.77	9.81	0.8423
Idaho Falls_18	12.168	8.874	1.791	2.32	0.1907
Idaho Falls_18	29.016	13.131	4.257	0.19	0.0065
Idaho Falls_18	28.872	16.848	3.717	0	0
Idaho Falls_18	30.996	21.492	4.644	0.02	6e-04
Idaho Falls_18	25.884	27.522	6.03	0.31	0.012
Idaho Falls_18	29.412	31.662	4.14	0.03	0.001
Idaho Falls_18	25.056	26.874	4.788	0	0
Idaho Falls_18	27.504	25.938	0.936	0	0
Idaho Falls_18	24.426	29.547	3.609	0.17	0.007
Idaho Falls_18	24.246	27.315	2.232	1.67	0.0689
Idaho Falls_18	8.82	15.03	12.285	2.54	0.288
Idaho Falls_18	24.174	17.217	2.187	12.62	0.522
Idaho Falls_18	29.286	14.841	2.376	0.9	0.0307
Idaho Falls_18	30.366	20.097	5.256	0.7	0.0231
Idaho Falls_18	28.494	23.283	3.186	0.7	0.0246
Idaho Falls_18	26.712	25.182	1.899	0.53	0.0198
Idaho Falls_18	22.014	23.373	1.809	1.51	0.0686
Idaho Falls_18	21.222	20.457	2.916	2.29	0.1079
Idaho Falls_18	22.644	22.356	1.899	1.86	0.0821
Idaho Falls_18	28.908	24.354	1.998	0.95	0.0329
Idaho Falls_18	17.496	26.55	2.196	1.37	0.0783
Idaho Falls_18	26.82	28.026	1.476	2.5	0.0932
Idaho Falls_18	8.352	20.268	7.758	9.82	1.1758
Idaho Falls_18	23.328	27.396	7.128	1.07	0.0459
Idaho Falls_18	33.066	32.967	5.571	0.12	0.0036
Idaho Falls_18	26.622	30.051	2.916	0.06	0.0023
Idaho Falls_18	17.262	26.289	3.762	2.96	0.1715
Idaho Falls_18	23.868	25.344	0.945	3.63	0.1521
Idaho Falls_18	20.448	28.908	3.564	2.58	0.1262
Idaho Falls_18	26.622	29.583	0.675	1.53	0.0575
Idaho Falls_18	21.87	25.191	4.392	6.86	0.3137
Idaho Falls_18	18.504	19.962	5.229	2.29	0.1238
Idaho Falls_18	31.914	23.895	3.933	0	0
Idaho Falls_18	35.082	29.907	6.012	0	0
Idaho Falls_18	33.138	35.217	5.31	0.01	3e-04
Idaho Falls_18	23.436	34.668	0.549	0.02	9e-04
Idaho Falls_18	29.124	36.702	2.034	0.07	0.0024
Idaho Falls_18	29.574	37.359	0.657	0.03	0.001
Idaho Falls_18	27.45	35.685	1.674	0.03	0.0011
Idaho Falls_18	29.466	36.855	1.17	0.01	3e-04
Idaho Falls_18	15.084	16.218	20.637	0.1	0.0066
Idaho Falls_18	27.594	18.765	2.547	0.13	0.0047
Idaho Falls_18	36.306	23.625	4.86	0	0
Idaho Falls_18	36.648	34.794	11.169	0	0
Idaho Falls_18	21.96	32.256	2.538	0.01	5e-04
Idaho Falls_18	17.964	25.74	6.516	2.32	0.1291
Idaho Falls_18	22.554	27.693	1.953	6.1	0.2705
Idaho Falls_18	27.81	31.923	4.23	15.13	0.544
Idaho Falls_18	13.68	23.652	8.271	6	0.4386
Idaho Falls_18	22.212	25.254	1.602	2.36	0.1062
Idaho Falls_18	25.722	29.547	4.293	0.1	0.0039
Idaho Falls_18	28.476	34.11	4.563	0.15	0.0053
Idaho Falls_18	28.206	31.761	2.349	0.15	0.0053
Idaho Falls_18	17.388	29.61	2.151	1.39	0.0799
Idaho Falls_18	28.512	27.612	1.998	0.18	0.0063
Idaho Falls_18	35.766	36.045	8.433	0.02	6e-04
Idaho Falls_18	24.498	36.189	0.144	0	0
Idaho Falls_18	34.092	37.746	1.557	0.01	3e-04
Idaho Falls_18	24.408	38.232	0.486	0.01	4e-04
Idaho Falls_18	21.132	27.81	10.422	0.62	0.0293
Idaho Falls_18	24.444	27.972	0.162	1.2	0.0491
Idaho Falls_18	30.042	31.437	3.465	0	0
Idaho Falls_18	25.632	32.976	1.539	0	0
Idaho Falls_18	25.398	27.117	5.859	0.01	4e-04
Idaho Falls_18	40.662	33.507	6.39	0	0
Idaho Falls_18	36.324	41.004	7.497	0.01	3e-04
Idaho Falls_18	30.024	44.226	3.222	0.01	3e-04
Idaho Falls_18	30.06	42.426	1.8	0.02	7e-04
Idaho Falls_18	27.558	47.799	5.373	0.13	0.0047
Idaho Falls_18	28.638	48.393	0.594	0.49	0.0171
Idaho Falls_18	23.814	44.559	3.834	0.4	0.0168
Idaho Falls_18	27.36	42.192	2.367	0.06	0.0022
Idaho Falls_18	30.366	41.031	1.161	0.08	0.0026
Idaho Falls_18	32.562	42.129	1.098	0.01	3e-04
Idaho Falls_18	23.724	42.228	0.099	0.01	4e-04
Idaho Falls_18	31.59	43.335	1.107	0	0
Idaho Falls_18	23.598	44.289	0.954	0.39	0.0165
Idaho Falls_18	27.936	41.724	2.565	0.96	0.0344
Idaho Falls_18	30.978	43.497	1.773	0.02	6e-04
Idaho Falls_18	32.274	41.805	1.692	0.09	0.0028
Idaho Falls_18	32.94	45.054	3.249	0	0
Idaho Falls_18	26.352	45.738	0.684	0.61	0.0231
Idaho Falls_18	24.786	43.155	2.583	0.08	0.0032
Idaho Falls_18	28.386	39.843	3.312	0	0
Idaho Falls_18	30.708	44.1	4.257	0.28	0.0091
Idaho Falls_18	26.676	44.964	0.864	0.62	0.0232
Idaho Falls_18	30.33	43.533	1.431	0.89	0.0293
Idaho Falls_18	31.626	42.039	1.494	0.58	0.0183
Idaho Falls_18	28.332	41.904	0.135	0.17	0.006
Idaho Falls_18	29.412	39.24	2.664	0.02	7e-04
Idaho Falls_18	29.916	38.754	0.486	0	0
Idaho Falls_18	31.662	44.937	6.183	0	0
Idaho Falls_18	31.536	45.99	1.053	0.09	0.0029
Idaho Falls_18	27.378	45.675	0.315	0.4	0.0146
Idaho Falls_18	28.278	39.879	5.796	0.15	0.0053
Idaho Falls_18	29.79	37.017	2.862	0	0
Idaho Falls_18	24.048	36.846	0.171	0.13	0.0054
Idaho Falls_18	31.122	36.351	0.495	0	0
Idaho Falls_18	29.25	40.293	3.942	0	0
Idaho Falls_18	30.888	43.236	2.943	0.03	0.001
Idaho Falls_18	32.526	45.315	2.079	0	0
Idaho Falls_18	38.538	44.577	0.738	0.25	0.0065
Idaho Falls_18	34.164	47.628	3.051	0	0
Idaho Falls_18	23.022	44.901	2.727	0	0
Idaho Falls_18	31.572	42.822	2.079	0.11	0.0035
Idaho Falls_18	29.682	40.869	1.953	0.01	3e-04
Idaho Falls_18	32.346	39.555	1.314	0	0
Idaho Falls_18	27.27	38.583	0.972	0	0
Idaho Falls_18	29.556	42.984	4.401	0.46	0.0156
Idaho Falls_18	24.012	35.442	7.542	0.13	0.0054
Idaho Falls_18	31.338	35.271	0.171	0.01	3e-04
Idaho Falls_18	23.292	35.1	0.171	1.61	0.0691
Idaho Falls_18	29.358	33.129	1.971	0.01	3e-04
Idaho Falls_18	23.598	31.671	1.458	6.62	0.2805
Idaho Falls_18	28.638	35.217	3.546	0.24	0.0084
Idaho Falls_18	30.546	37.215	1.998	0.01	3e-04
Idaho Falls_18	29.142	34.137	3.078	0	0
Idaho Falls_18	20.43	32.193	1.944	0.66	0.0323
Idaho Falls_18	19.548	23.346	8.847	5.47	0.2798
Idaho Falls_18	30.906	22.221	1.125	0	0
Idaho Falls_18	35.046	29.403	7.182	0	0
Idaho Falls_18	30.762	37.629	8.226	0.24	0.0078
Idaho Falls_18	25.884	33.21	4.419	0.13	0.005
Idaho Falls_18	30.6	30.654	2.556	0.01	3e-04
Idaho Falls_18	31.95	31.383	0.729	0	0
Idaho Falls_18	33.318	33.147	1.764	0.01	3e-04
Idaho Falls_18	31.806	33.957	0.81	0	0
Idaho Falls_18	35.244	36.342	2.385	0.09	0.0026
Idaho Falls_18	30.69	39.321	2.979	0	0
Idaho Falls_18	27.45	39.285	0.036	0.03	0.0011
Idaho Falls_18	27.612	38.43	0.855	0.17	0.0062
Idaho Falls_18	29.916	33.84	4.59	0.01	3e-04
Idaho Falls_18	28.53	35.127	1.287	0	0
Idaho Falls_18	30.564	31.662	3.465	0	0
Idaho Falls_18	20.718	30.411	1.251	0.01	5e-04
Idaho Falls_18	21.636	27.81	2.601	0.13	0.006
