Para	Day_x	Day_y	midXY	R	P
GDD	54	81	67.5	-0.5738	7.5794
dGDD	55	80	67.5	0.6007	8.4143
PR	60	75	67.5	0.1916	1.0524
PRDTR	43	92	67.5	0.2249	1.3475
DTR	41	95	68	-0.1424	0.6824
GDD	55	81	68	-0.5597	7.1693
dGDD	55	81	68	0.5947	8.2208
PR	61	75	68	0.1838	0.9885
PRDTR	47	89	68	0.2181	1.2844
DTR	41	96	68.5	-0.1357	0.6382
GDD	56	81	68.5	-0.5403	6.6364
dGDD	55	82	68.5	0.58	7.7645
PR	39	98	68.5	0.1785	0.9465
PRDTR	39	98	68.5	0.2161	1.2656
DTR	40	98	69	-0.1252	0.571
GDD	54	84	69	-0.5189	6.0872
dGDD	58	80	69	0.5759	7.6428
PR	39	99	69	0.177	0.9343
PRDTR	39	99	69	0.2138	1.2452
DTR	65	74	69.5	0.1596	0.8035
GDD	54	85	69.5	-0.5046	5.741
dGDD	59	80	69.5	0.5819	7.8223
PR	39	100	69.5	0.1711	0.8886
PRDTR	39	100	69.5	0.2071	1.1852
DTR	66	74	70	0.2038	1.1561
GDD	55	85	70	-0.4881	5.3598
dGDD	60	80	70	0.5855	7.9324
PR	39	101	70	0.1709	0.8873
PRDTR	39	101	70	0.2074	1.1875
DTR	64	77	70.5	0.2232	1.3322
GDD	55	86	70.5	-0.4693	4.948
dGDD	61	80	70.5	0.586	7.9475
PR	39	102	70.5	0.1655	0.8464
PRDTR	39	102	70.5	0.2012	1.134
DTR	65	77	71	0.2663	1.7709
GDD	56	86	71	-0.4473	4.4977
dGDD	62	80	71	0.5822	7.8321
PR	39	103	71	0.1569	0.784
PRDTR	39	103	71	0.1927	1.0616
DTR	66	77	71.5	0.3044	2.2179
GDD	62	81	71.5	-0.4299	4.1616
dGDD	62	81	71.5	0.5737	7.5753
PR	66	77	71.5	-0.1748	0.9176
PRDTR	39	104	71.5	0.189	1.0305
DTR	66	78	72	0.3283	2.5303
GDD	59	85	72	-0.4039	3.6928
dGDD	64	80	72	0.5724	7.5365
PR	66	78	72	-0.2109	1.2191
PRDTR	66	78	72	-0.2137	1.2445
DTR	68	77	72.5	0.3443	2.7532
GDD	60	85	72.5	-0.3841	3.3606
dGDD	65	80	72.5	0.5698	7.4617
PR	66	79	72.5	-0.2372	1.467
PRDTR	66	79	72.5	-0.238	1.4749
DTR	69	77	73	0.3747	3.2099
GDD	60	86	73	-0.3635	3.0367
dGDD	66	80	73	0.5689	7.4358
PR	66	80	73	-0.242	1.5153
PRDTR	67	79	73	-0.2447	1.5422
DTR	69	78	73.5	0.3983	3.5961
GDD	62	85	73.5	-0.3421	2.7227
dGDD	67	80	73.5	0.5814	7.807
PR	65	82	73.5	-0.2629	1.7333
PRDTR	66	81	73.5	-0.2501	1.5978
DTR	69	79	74	0.4082	3.7672
GDD	62	86	74	-0.3207	2.429
dGDD	67	81	74	0.573	7.5562
PR	66	82	74	-0.3024	2.1932
PRDTR	66	82	74	-0.2887	2.0267
DTR	71	78	74.5	0.4107	3.8118
GDD	62	87	74.5	-0.2953	2.1065
dGDD	69	80	74.5	0.5796	7.7541
PR	66	83	74.5	-0.3065	2.2444
PRDTR	66	83	74.5	-0.2966	2.1214
DTR	71	79	75	0.4224	4.0224
GDD	1	149	75	0.286	1.9952
dGDD	70	80	75	0.5749	7.6116
PR	66	84	75	-0.334	2.6089
PRDTR	66	84	75	-0.3295	2.5469
DTR	72	79	75.5	0.4373	4.3021
GDD	1	150	75.5	0.2967	2.1235
dGDD	70	81	75.5	0.5649	7.3191
PR	67	84	75.5	-0.3354	2.6284
PRDTR	67	84	75.5	-0.3342	2.6118
DTR	73	79	76	0.4395	4.3438
GDD	2	150	76	0.3003	2.1679
dGDD	71	81	76	0.5485	6.8574
PR	67	85	76	-0.3289	2.539
PRDTR	67	85	76	-0.3234	2.4647
DTR	73	80	76.5	0.4396	4.3458
GDD	3	150	76.5	0.3042	2.2157
dGDD	73	80	76.5	0.5475	6.8323
PR	71	82	76.5	-0.3625	3.0216
PRDTR	71	82	76.5	-0.3422	2.7241
DTR	74	80	77	0.4156	3.8984
GDD	4	150	77	0.3088	2.2737
dGDD	73	81	77	0.5457	6.7834
PR	72	82	77	-0.3679	3.1039
PRDTR	72	82	77	-0.3518	2.8626
DTR	73	82	77.5	0.3915	3.482
GDD	5	150	77.5	0.3132	2.3304
dGDD	74	81	77.5	0.5168	6.0367
PR	71	84	77.5	-0.3958	3.5541
PRDTR	71	84	77.5	-0.3905	3.4657
DTR	73	83	78	0.3833	3.3474
GDD	6	150	78	0.3177	2.3892
dGDD	69	87	78	0.5053	5.7572
PR	72	84	78	-0.4013	3.6471
PRDTR	72	84	78	-0.4	3.625
DTR	66	91	78.5	0.3922	3.4944
GDD	7	150	78.5	0.3225	2.452
dGDD	70	87	78.5	0.5013	5.6623
PR	75	82	78.5	-0.4179	3.9394
PRDTR	73	84	78.5	-0.4131	3.8546
DTR	66	92	79	0.4089	3.7794
GDD	8	150	79	0.3276	2.5205
dGDD	71	87	79	0.4834	5.254
PR	74	84	79	-0.4272	4.1109
PRDTR	74	84	79	-0.4307	4.1761
DTR	69	90	79.5	0.4136	3.8625
GDD	9	150	79.5	0.3332	2.5976
dGDD	52	107	79.5	0.4744	5.0574
PR	75	84	79.5	-0.446	4.4714
PRDTR	75	84	79.5	-0.4446	4.4445
DTR	68	92	80	0.4273	4.113
GDD	10	150	80	0.338	2.664
dGDD	73	87	80	0.4693	4.9482
PR	76	84	80	-0.445	4.4507
PRDTR	76	84	80	-0.4444	4.4388
DTR	69	92	80.5	0.442	4.3921
GDD	11	150	80.5	0.3409	2.7049
dGDD	52	109	80.5	0.4545	4.6404
PR	77	84	80.5	-0.4402	4.3583
PRDTR	77	84	80.5	-0.4455	4.4616
DTR	70	92	81	0.4343	4.2444
GDD	12	150	81	0.3435	2.7424
dGDD	52	110	81	0.4491	4.533
PR	71	91	81	-0.4144	3.877
PRDTR	77	85	81	-0.4092	3.7858
DTR	71	92	81.5	0.4446	4.4444
GDD	13	150	81.5	0.3444	2.7546
dGDD	22	141	81.5	0.4461	4.4722
PR	71	92	81.5	-0.4319	4.1992
PRDTR	71	92	81.5	-0.4244	4.0595
DTR	72	92	82	0.4527	4.604
GDD	14	150	82	0.3466	2.786
dGDD	23	141	82	0.4484	4.5177
PR	72	92	82	-0.4448	4.4482
PRDTR	72	92	82	-0.4416	4.3844
DTR	73	92	82.5	0.4555	4.6605
GDD	15	150	82.5	0.3489	2.8198
dGDD	24	141	82.5	0.447	4.4913
PR	73	92	82.5	-0.4533	4.6172
PRDTR	73	92	82.5	-0.4485	4.5205
DTR	73	93	83	0.4427	4.4062
GDD	16	150	83	0.3531	2.8816
dGDD	25	141	83	0.4438	4.4272
PR	74	92	83	-0.4563	4.6782
PRDTR	74	92	83	-0.4545	4.6401
DTR	73	94	83.5	0.4336	4.2316
GDD	17	150	83.5	0.3574	2.9444
dGDD	26	141	83.5	0.4491	4.5326
PR	75	92	83.5	-0.4646	4.8489
PRDTR	75	92	83.5	-0.4607	4.7677
DTR	73	95	84	0.4278	4.1212
GDD	18	150	84	0.3615	3.007
dGDD	27	141	84	0.4489	4.528
PR	76	92	84	-0.4635	4.8256
PRDTR	76	92	84	-0.4599	4.7511
DTR	73	96	84.5	0.4266	4.0994
GDD	19	150	84.5	0.3638	3.0408
dGDD	28	141	84.5	0.4431	4.415
PR	77	92	84.5	-0.4568	4.6886
PRDTR	77	92	84.5	-0.4558	4.6674
DTR	73	97	85	0.4274	4.1137
GDD	20	150	85	0.3654	3.0664
dGDD	29	141	85	0.4454	4.4596
PR	77	93	85	-0.4484	4.5192
PRDTR	77	93	85	-0.4397	4.3479
DTR	73	98	85.5	0.4121	3.8355
GDD	21	150	85.5	0.3689	3.119
dGDD	24	147	85.5	0.44	4.3541
PR	77	94	85.5	-0.4447	4.4456
PRDTR	77	94	85.5	-0.4228	4.0301
DTR	73	99	86	0.4132	3.8558
GDD	22	150	86	0.3748	3.2121
dGDD	31	141	86	0.4458	4.4672
PR	76	96	86	-0.4434	4.4206
PRDTR	77	95	86	-0.4208	3.9935
DTR	73	100	86.5	0.3996	3.6184
GDD	23	150	86.5	0.3819	3.3256
dGDD	26	147	86.5	0.4419	4.3908
PR	77	96	86.5	-0.4429	4.4111
PRDTR	77	96	86.5	-0.4211	3.9988
DTR	73	101	87	0.3993	3.6137
GDD	24	150	87	0.39	3.4578
dGDD	33	141	87	0.4436	4.4246
PR	77	97	87	-0.426	4.0877
PRDTR	77	97	87	-0.4093	3.7864
DTR	72	103	87.5	0.3923	3.495
GDD	25	150	87.5	0.3971	3.577
dGDD	34	141	87.5	0.4399	4.3515
PR	77	98	87.5	-0.4065	3.7373
PRDTR	77	98	87.5	-0.3932	3.5108
DTR	73	103	88	0.3936	3.5176
GDD	26	150	88	0.4008	3.6385
dGDD	35	141	88	0.4459	4.469
PR	77	99	88	-0.4017	3.655
PRDTR	77	99	88	-0.3905	3.465
DTR	73	104	88.5	0.3944	3.5302
GDD	27	150	88.5	0.4042	3.6972
dGDD	36	141	88.5	0.4488	4.5275
PR	77	100	88.5	-0.3998	3.6224
PRDTR	77	100	88.5	-0.39	3.4572
DTR	86	92	89	0.3872	3.4119
GDD	28	150	89	0.4092	3.7844
dGDD	36	142	89	0.4425	4.4024
PR	82	96	89	-0.3886	3.4347
PRDTR	77	101	89	-0.3796	3.2879
DTR	73	106	89.5	0.3774	3.2524
GDD	29	150	89.5	0.4131	3.8537
dGDD	36	143	89.5	0.4416	4.3848
PR	77	102	89.5	-0.3751	3.217
PRDTR	82	97	89.5	-0.3621	3.0151
DTR	72	108	90	0.3796	3.2874
GDD	30	150	90	0.4161	3.907
dGDD	36	144	90	0.4379	4.3128
PR	76	104	90	-0.3697	3.1313
PRDTR	87	93	90	-0.3558	2.9214
DTR	73	108	90.5	0.381	3.3111
GDD	77	104	90.5	0.4233	4.0384
dGDD	36	145	90.5	0.4356	4.2693
PR	77	104	90.5	-0.3663	3.0801
PRDTR	81	100	90.5	-0.3449	2.7619
DTR	73	109	91	0.3762	3.2335
GDD	77	105	91	0.4305	4.1734
dGDD	35	147	91	0.438	4.3144
PR	75	107	91	-0.361	2.999
PRDTR	75	107	91	-0.338	2.6647
DTR	69	114	91.5	0.3645	3.0513
GDD	77	106	91.5	0.4376	4.3072
dGDD	36	147	91.5	0.441	4.3728
PR	76	107	91.5	-0.3612	3.0017
PRDTR	75	108	91.5	-0.3382	2.6667
DTR	71	113	92	0.3641	3.0457
GDD	77	107	92	0.445	4.4517
dGDD	43	141	92	0.4455	4.4606
PR	76	108	92	-0.3605	2.9907
PRDTR	76	108	92	-0.3383	2.6678
DTR	72	113	92.5	0.3674	3.0971
GDD	76	109	92.5	0.4544	4.6389
dGDD	44	141	92.5	0.4444	4.4401
PR	76	109	92.5	-0.3579	2.9516
PRDTR	76	109	92.5	-0.3382	2.6664
DTR	73	113	93	0.3682	3.1088
GDD	72	114	93	0.4645	4.8476
dGDD	45	141	93	0.4439	4.4303
PR	75	111	93	-0.3584	2.9596
PRDTR	76	110	93	-0.3361	2.6383
DTR	69	118	93.5	0.3679	3.1041
GDD	72	115	93.5	0.4738	5.0449
dGDD	46	141	93.5	0.4393	4.3405
PR	76	111	93.5	-0.3584	2.9597
PRDTR	77	110	93.5	-0.3336	2.603
DTR	71	117	94	0.3646	3.0531
GDD	91	97	94	0.4839	5.2651
dGDD	45	143	94	0.4352	4.2614
PR	77	111	94	-0.3539	2.8931
PRDTR	77	111	94	-0.3304	2.5595
DTR	72	117	94.5	0.3682	3.1086
GDD	74	115	94.5	0.4892	5.3848
dGDD	46	143	94.5	0.4315	4.1904
PR	64	125	94.5	-0.3423	2.7255
PRDTR	77	112	94.5	-0.3192	2.4087
DTR	73	117	95	0.3688	3.118
GDD	91	99	95	0.4969	5.5591
dGDD	43	147	95	0.4347	4.2526
PR	65	125	95	-0.3572	2.9413
PRDTR	65	125	95	-0.3233	2.463
DTR	66	125	95.5	0.3704	3.1424
GDD	76	115	95.5	0.5038	5.7212
dGDD	44	147	95.5	0.4337	4.2332
PR	66	125	95.5	-0.3731	3.1846
PRDTR	66	125	95.5	-0.3414	2.7119
DTR	66	126	96	0.3726	3.1768
GDD	77	115	96	0.5112	5.8996
dGDD	45	147	96	0.4336	4.2304
PR	67	125	96	-0.3736	3.1922
PRDTR	67	125	96	-0.342	2.7202
DTR	68	125	96.5	0.3793	3.2836
GDD	77	116	96.5	0.5159	6.0134
dGDD	45	148	96.5	0.4318	4.1968
PR	66	127	96.5	-0.3713	3.1561
PRDTR	67	126	96.5	-0.3425	2.7271
DTR	69	125	97	0.3865	3.4003
GDD	78	116	97	0.5201	6.1166
dGDD	46	148	97	0.4284	4.1335
PR	67	127	97	-0.3717	3.1631
PRDTR	67	127	97	-0.3424	2.7256
DTR	66	129	97.5	0.3978	3.5875
GDD	79	116	97.5	0.522	6.1655
dGDD	45	150	97.5	0.4264	4.0961
PR	66	129	97.5	-0.3737	3.1946
PRDTR	66	129	97.5	-0.3498	2.8333
DTR	66	130	98	0.4045	3.7033
GDD	81	115	98	0.5273	6.2997
dGDD	46	150	98	0.4241	4.0542
PR	66	130	98	-0.3748	3.2123
PRDTR	66	130	98	-0.3508	2.8478
DTR	66	131	98.5	0.4083	3.7694
GDD	81	116	98.5	0.5314	6.4048
dGDD	47	150	98.5	0.4115	3.8266
PR	64	133	98.5	-0.3782	3.2664
PRDTR	64	133	98.5	-0.3523	2.8691
DTR	66	132	99	0.4184	3.9487
GDD	82	116	99	0.5353	6.5059
dGDD	48	150	99	0.4032	3.6811
PR	65	133	99	-0.3903	3.4629
PRDTR	65	133	99	-0.3641	3.0465
DTR	69	130	99.5	0.4205	3.9865
GDD	84	115	99.5	0.5395	6.6154
dGDD	52	147	99.5	0.4006	3.6354
PR	66	133	99.5	-0.403	3.6765
PRDTR	66	133	99.5	-0.3775	3.255
DTR	68	132	100	0.4269	4.1048
GDD	85	115	100	0.5449	6.7593
dGDD	50	150	100	0.3994	3.6151
PR	67	133	100	-0.4035	3.6853
PRDTR	67	133	100	-0.3779	3.2614
DTR	69	132	100.5	0.4338	4.2342
GDD	86	115	100.5	0.5511	6.9295
dGDD	51	150	100.5	0.3958	3.5537
PR	67	134	100.5	-0.4009	3.6408
PRDTR	66	135	100.5	-0.3723	3.1727
DTR	69	133	101	0.433	4.2196
GDD	87	115	101	0.5561	7.0678
dGDD	52	150	101	0.3953	3.5456
PR	67	135	101	-0.4011	3.6442
PRDTR	67	135	101	-0.3724	3.174
DTR	71	132	101.5	0.4319	4.1996
GDD	88	115	101.5	0.5603	7.187
dGDD	53	150	101.5	0.3858	3.388
PR	68	135	101.5	-0.3946	3.5335
PRDTR	68	135	101.5	-0.366	3.0748
DTR	72	132	102	0.4363	4.2832
GDD	89	115	102	0.5644	7.3041
dGDD	54	150	102	0.3633	3.0333
PR	71	133	102	-0.4019	3.6576
PRDTR	71	133	102	-0.3751	3.217
DTR	73	132	102.5	0.4373	4.3019
GDD	90	115	102.5	0.57	7.4677
dGDD	55	150	102.5	0.3567	2.9339
PR	72	133	102.5	-0.4058	3.7258
PRDTR	60	145	102.5	-0.3856	3.3848
DTR	73	133	103	0.4361	4.2777
GDD	91	115	103	0.5742	7.5895
dGDD	56	150	103	0.3332	2.598
PR	73	133	103	-0.4084	3.7717
PRDTR	61	145	103	-0.3934	3.5134
DTR	58	149	103.5	0.4327	4.2147
GDD	91	116	103.5	0.5764	7.657
dGDD	57	150	103.5	0.3188	2.4029
PR	62	145	103.5	-0.4076	3.7567
PRDTR	62	145	103.5	-0.4034	3.6843
DTR	62	146	104	0.438	4.3153
GDD	92	116	104	0.5773	7.6845
dGDD	58	150	104	0.3089	2.2749
PR	63	145	104	-0.4223	4.0212
PRDTR	63	145	104	-0.4132	3.8554
DTR	63	146	104.5	0.4464	4.4796
GDD	93	116	104.5	0.578	7.7042
dGDD	59	150	104.5	0.2958	2.112
PR	64	145	104.5	-0.4303	4.1687
PRDTR	64	145	104.5	-0.421	3.996
DTR	64	146	105	0.4556	4.6642
GDD	95	115	105	0.5796	7.7522
dGDD	94	116	105	-0.2974	2.1322
PR	65	145	105	-0.4397	4.3479
PRDTR	65	145	105	-0.4294	4.1511
DTR	66	145	105.5	0.4631	4.8168
GDD	95	116	105.5	0.5816	7.8146
dGDD	96	115	105.5	-0.3053	2.23
PR	66	145	105.5	-0.4494	4.5385
PRDTR	66	145	105.5	-0.4386	4.3259
DTR	66	146	106	0.4722	5.0094
GDD	96	116	106	0.5817	7.8169
dGDD	97	115	106	-0.3187	2.4022
PR	66	146	106	-0.4503	4.5557
PRDTR	66	146	106	-0.4422	4.3957
DTR	66	147	106.5	0.4765	5.1023
GDD	77	136	106.5	0.5817	7.8159
dGDD	98	115	106.5	-0.3253	2.49
PR	66	147	106.5	-0.4511	4.5723
PRDTR	66	147	106.5	-0.4436	4.4236
DTR	66	148	107	0.484	5.2683
GDD	78	136	107	0.5837	7.8766
dGDD	99	115	107	-0.3309	2.5654
PR	66	148	107	-0.456	4.6712
PRDTR	66	148	107	-0.4489	4.5285
DTR	66	149	107.5	0.4913	5.4303
GDD	81	134	107.5	0.585	7.9187
dGDD	100	115	107.5	-0.354	2.8944
PR	66	149	107.5	-0.4611	4.777
PRDTR	66	149	107.5	-0.4564	4.6791
DTR	66	150	108	0.4919	5.4447
GDD	81	135	108	0.5877	8.0016
dGDD	101	115	108	-0.365	3.0603
PR	67	149	108	-0.4618	4.7912
PRDTR	67	149	108	-0.457	4.6914
DTR	68	149	108.5	0.4958	5.5341
GDD	82	135	108.5	0.5899	8.0703
dGDD	103	114	108.5	-0.3733	3.1886
PR	68	149	108.5	-0.4568	4.6878
PRDTR	68	149	108.5	-0.4521	4.5925
DTR	69	149	109	0.5007	5.6489
GDD	82	136	109	0.592	8.1345
dGDD	103	115	109	-0.4028	3.6739
PR	73	145	109	-0.4554	4.6597
PRDTR	69	149	109	-0.4482	4.5141
DTR	69	150	109.5	0.5014	5.6647
GDD	85	134	109.5	0.5937	8.1911
dGDD	103	116	109.5	-0.3979	3.5898
PR	73	146	109.5	-0.4558	4.6683
PRDTR	71	148	109.5	-0.4456	4.4628
DTR	71	149	110	0.5003	5.6385
GDD	86	134	110	0.5969	8.2902
dGDD	103	117	110	-0.3786	3.2725
PR	71	149	110	-0.4594	4.7412
PRDTR	71	149	110	-0.4528	4.6068
DTR	72	149	110.5	0.5042	5.7312
GDD	106	115	110.5	0.6008	8.4163
dGDD	106	115	110.5	-0.3986	3.6011
PR	72	149	110.5	-0.4632	4.8192
PRDTR	72	149	110.5	-0.4565	4.6819
DTR	72	150	111	0.5047	5.7437
GDD	107	115	111	0.6048	8.5481
dGDD	107	115	111	-0.4093	3.7866
PR	73	149	111	-0.4653	4.8636
PRDTR	73	149	111	-0.4579	4.7104
DTR	73	150	111.5	0.5051	5.7519
GDD	108	115	111.5	0.6063	8.5976
dGDD	108	115	111.5	-0.4293	4.1493
PR	74	149	111.5	-0.4631	4.8173
PRDTR	74	149	111.5	-0.4563	4.6775
DTR	74	150	112	0.4978	5.5797
GDD	90	134	112	0.6056	8.5748
dGDD	108	116	112	-0.4148	3.8852
PR	75	149	112	-0.4644	4.8446
PRDTR	75	149	112	-0.4574	4.701
DTR	75	150	112.5	0.4926	5.4622
GDD	90	135	112.5	0.6077	8.6442
dGDD	108	117	112.5	-0.3894	3.4469
PR	76	149	112.5	-0.4647	4.8515
PRDTR	76	149	112.5	-0.4578	4.709
DTR	76	150	113	0.4903	5.4096
GDD	91	135	113	0.6096	8.7089
dGDD	108	118	113	-0.3592	2.9713
PR	77	149	113	-0.4627	4.8092
PRDTR	77	149	113	-0.4564	4.6799
DTR	77	150	113.5	0.4891	5.381
GDD	91	136	113.5	0.6112	8.7614
dGDD	109	118	113.5	-0.3241	2.4742
PR	77	150	113.5	-0.4548	4.6472
PRDTR	77	150	113.5	-0.4496	4.543
DTR	78	150	114	0.4791	5.1599
GDD	92	136	114	0.6116	8.7754
dGDD	103	125	114	-0.3331	2.596
PR	79	149	114	-0.4486	4.5225
PRDTR	79	149	114	-0.4443	4.4382
DTR	79	150	114.5	0.4767	5.1059
GDD	93	136	114.5	0.6124	8.8013
dGDD	104	125	114.5	-0.3167	2.3755
PR	80	149	114.5	-0.445	4.4505
PRDTR	80	149	114.5	-0.4412	4.3761
DTR	80	150	115	0.4752	5.0736
GDD	94	136	115	0.6135	8.8391
dGDD	105	125	115	-0.3056	2.2339
PR	81	149	115	-0.4455	4.4608
PRDTR	81	149	115	-0.4423	4.3976
DTR	82	149	115.5	0.4787	5.1501
GDD	95	136	115.5	0.6149	8.8886
dGDD	106	125	115.5	-0.3157	2.3628
PR	82	149	115.5	-0.4386	4.3268
PRDTR	82	149	115.5	-0.4364	4.2847
DTR	83	149	116	0.4794	5.1648
GDD	96	136	116	0.6152	8.899
dGDD	107	125	116	-0.3147	2.3494
PR	82	150	116	-0.4304	4.1704
PRDTR	82	150	116	-0.4294	4.1522
DTR	84	149	116.5	0.4804	5.1886
GDD	97	136	116.5	0.6146	8.8781
dGDD	108	125	116.5	-0.321	2.4322
PR	84	149	116.5	-0.4243	4.0573
PRDTR	84	149	116.5	-0.4237	4.0464
DTR	84	150	117	0.4803	5.185
GDD	97	137	117	0.6139	8.8533
dGDD	103	131	117	-0.3102	2.2919
PR	85	149	117	-0.4185	3.9504
PRDTR	85	149	117	-0.4176	3.9349
DTR	85	150	117.5	0.4769	5.1114
GDD	99	136	117.5	0.614	8.8586
dGDD	103	132	117.5	-0.314	2.341
PR	86	149	117.5	-0.4237	4.0457
PRDTR	86	149	117.5	-0.4243	4.0579
DTR	86	150	118	0.4761	5.0945
GDD	100	136	118	0.6149	8.8876
dGDD	103	133	118	-0.3054	2.2314
PR	87	149	118	-0.4268	4.1034
PRDTR	87	149	118	-0.4277	4.1199
DTR	88	149	118.5	0.4741	5.0496
GDD	101	136	118.5	0.6165	8.9412
dGDD	103	134	118.5	-0.2993	2.1553
PR	88	149	118.5	-0.4293	4.1497
PRDTR	88	149	118.5	-0.4304	4.1699
DTR	88	150	119	0.4741	5.0504
GDD	102	136	119	0.6174	8.9732
dGDD	106	132	119	-0.2964	2.1195
PR	89	149	119	-0.4269	4.1045
PRDTR	89	149	119	-0.4303	4.1688
DTR	89	150	119.5	0.4716	4.9966
GDD	103	136	119.5	0.618	8.993
dGDD	108	131	119.5	-0.2981	2.1406
PR	90	149	119.5	-0.4284	4.1339
PRDTR	90	149	119.5	-0.431	4.1811
DTR	90	150	120	0.4717	4.9999
GDD	104	136	120	0.6194	9.0414
dGDD	108	132	120	-0.3013	2.1797
PR	91	149	120	-0.4276	4.1188
PRDTR	91	149	120	-0.4279	4.1235
DTR	91	150	120.5	0.4696	4.9547
GDD	105	136	120.5	0.6208	9.0916
dGDD	108	133	120.5	-0.2916	2.0616
PR	91	150	120.5	-0.4183	3.9483
PRDTR	91	150	120.5	-0.4201	3.981
DTR	92	150	121	0.4641	4.8384
GDD	106	136	121	0.6225	9.1495
dGDD	108	134	121	-0.2841	1.972
PR	93	149	121	-0.4073	3.7517
PRDTR	93	149	121	-0.4105	3.8089
DTR	94	149	121.5	0.459	4.7329
GDD	107	136	121.5	0.6231	9.1718
dGDD	108	135	121.5	-0.2768	1.8879
PR	94	149	121.5	-0.4089	3.779
PRDTR	94	149	121.5	-0.4095	3.791
DTR	94	150	122	0.4596	4.7462
GDD	108	136	122	0.6231	9.1731
dGDD	109	135	122	-0.2558	1.6572
PR	95	149	122	-0.4011	3.6441
PRDTR	95	149	122	-0.4027	3.6711
DTR	95	150	122.5	0.4591	4.7351
GDD	109	136	122.5	0.6232	9.1746
dGDD	111	134	122.5	-0.2427	1.5214
PR	96	149	122.5	-0.4006	3.6355
PRDTR	96	149	122.5	-0.4014	3.6491
DTR	96	150	123	0.4593	4.7397
GDD	111	135	123	0.6242	9.211
dGDD	111	135	123	-0.235	1.4447
PR	97	149	123	-0.402	3.66
PRDTR	97	149	123	-0.4019	3.6584
DTR	98	149	123.5	0.4576	4.7033
GDD	111	136	123.5	0.6259	9.2717
dGDD	112	135	123.5	-0.2249	1.3481
PR	98	149	123.5	-0.4067	3.7421
PRDTR	98	149	123.5	-0.4038	3.6918
DTR	99	149	124	0.4637	4.8312
GDD	112	136	124	0.6265	9.2909
dGDD	114	134	124	-0.2101	1.2119
PR	103	145	124	-0.4128	3.8496
PRDTR	99	149	124	-0.407	3.7466
DTR	99	150	124.5	0.4636	4.8291
GDD	113	136	124.5	0.6264	9.2871
dGDD	114	135	124.5	-0.2029	1.1485
PR	104	145	124.5	-0.4161	3.9081
PRDTR	100	149	124.5	-0.407	3.7465
DTR	101	149	125	0.4664	4.8872
GDD	114	136	125	0.6254	9.2535
dGDD	115	135	125	-0.1767	0.9325
PR	104	146	125	-0.4186	3.9534
PRDTR	104	146	125	-0.411	3.8164
DTR	101	150	125.5	0.4661	4.8813
GDD	114	137	125.5	0.6235	9.1844
dGDD	120	131	125.5	-0.1907	1.0449
PR	106	145	125.5	-0.4245	4.0614
PRDTR	106	145	125.5	-0.4136	3.8635
DTR	103	149	126	0.4707	4.977
GDD	102	150	126	0.6215	9.1144
dGDD	120	132	126	-0.2117	1.2259
PR	106	146	126	-0.4271	4.1082
PRDTR	103	149	126	-0.4208	3.9932
DTR	103	150	126.5	0.4699	4.9615
GDD	103	150	126.5	0.6217	9.1245
dGDD	121	132	126.5	-0.1993	1.1169
PR	104	149	126.5	-0.4302	4.1667
PRDTR	104	149	126.5	-0.4268	4.1036
DTR	104	150	127	0.4659	4.8764
GDD	121	133	127	0.6247	9.2298
dGDD	122	132	127	-0.2115	1.2247
PR	106	148	127	-0.433	4.219
PRDTR	105	149	127	-0.4275	4.1167
DTR	106	149	127.5	0.4726	5.0188
GDD	121	134	127.5	0.629	9.3823
dGDD	123	132	127.5	-0.2255	1.3532
PR	106	149	127.5	-0.4385	4.3242
PRDTR	106	149	127.5	-0.4346	4.2494
DTR	106	150	128	0.4717	5
GDD	122	134	128	0.6327	9.5155
dGDD	124	132	128	-0.2237	1.3363
PR	107	149	128	-0.4324	4.2092
PRDTR	107	149	128	-0.4282	4.1297
DTR	107	150	128.5	0.4691	4.9438
GDD	123	134	128.5	0.636	9.6359
dGDD	124	133	128.5	-0.2014	1.1355
PR	108	149	128.5	-0.4326	4.2116
PRDTR	108	149	128.5	-0.4299	4.1618
DTR	109	149	129	0.4669	4.8982
GDD	123	135	129	0.6378	9.7044
dGDD	124	134	129	-0.1884	1.0262
PR	109	149	129	-0.4316	4.1935
PRDTR	109	149	129	-0.4294	4.1525
DTR	111	148	129.5	0.4719	5.0041
GDD	123	136	129.5	0.6387	9.7346
dGDD	124	135	129.5	-0.1745	0.9151
PR	110	149	129.5	-0.4323	4.2056
PRDTR	110	149	129.5	-0.4288	4.1406
DTR	111	149	130	0.4816	5.2138
GDD	124	136	130	0.6387	9.7346
dGDD	127	133	130	-0.1547	0.7683
PR	115	145	130	-0.4383	4.3214
PRDTR	111	149	130	-0.4295	4.1531
DTR	111	150	130.5	0.4798	5.1753
GDD	125	136	130.5	0.6374	9.6893
dGDD	127	134	130.5	-0.1429	0.6864
PR	116	145	130.5	-0.4444	4.4399
PRDTR	115	146	130.5	-0.4333	4.2263
DTR	112	150	131	0.4756	5.083
GDD	128	134	131	0.6459	10.0059
dGDD	128	134	131	-0.1612	0.8151
PR	116	146	131	-0.4465	4.4805
PRDTR	116	146	131	-0.4366	4.2891
DTR	114	149	131.5	0.4756	5.0827
GDD	128	135	131.5	0.6451	9.9783
dGDD	128	135	131.5	-0.1528	0.7541
PR	116	147	131.5	-0.446	4.4706
PRDTR	115	148	131.5	-0.4391	4.3371
