Para	Day_x	Day_y	midXY	R	P
PR	8	28	18	-0.1991	1.1155
PRDTR	8	28	18	-0.1813	0.9682
DTR	3	34	18.5	-0.2668	1.7764
GDD	1	36	18.5	-0.569	7.4369
dGDD	9	28	18.5	-0.1197	0.5374
PR	8	29	18.5	-0.2013	1.1345
PRDTR	8	29	18.5	-0.1797	0.9559
DTR	1	37	19	-0.2547	1.6457
GDD	1	37	19	-0.575	7.6139
dGDD	8	30	19	-0.1181	0.5274
PR	8	30	19	-0.1945	1.0762
PRDTR	8	30	19	-0.1752	0.9209
DTR	1	38	19.5	-0.2568	1.6676
GDD	1	38	19.5	-0.5807	7.7856
dGDD	9	30	19.5	-0.1063	0.4584
PR	9	30	19.5	-0.1846	0.995
PRDTR	8	31	19.5	-0.1641	0.8366
DTR	6	34	20	-0.2587	1.6878
GDD	1	39	20	-0.5814	7.8082
dGDD	8	32	20	-0.1164	0.5173
PR	2	38	20	-0.1801	0.9592
PRDTR	8	32	20	-0.1586	0.7962
DTR	7	34	20.5	-0.2622	1.7264
GDD	1	40	20.5	-0.5809	7.7911
dGDD	9	32	20.5	-0.1058	0.4557
PR	3	38	20.5	-0.1769	0.9339
PRDTR	3	38	20.5	-0.1467	0.712
DTR	1	41	21	-0.2744	1.861
GDD	1	41	21	-0.5807	7.7847
dGDD	8	34	21	-0.1027	0.4383
PR	4	38	21	-0.1638	0.8341
PRDTR	8	34	21	-0.1388	0.6588
DTR	1	42	21.5	-0.2972	2.1295
GDD	2	41	21.5	-0.5778	7.6996
dGDD	8	35	21.5	-0.1032	0.4407
PR	8	35	21.5	-0.1622	0.8224
PRDTR	8	35	21.5	-0.1422	0.6812
DTR	1	43	22	-0.3186	2.4011
GDD	3	41	22	-0.5768	7.6697
dGDD	9	35	22	-0.0933	0.387
PR	16	28	22	-0.1525	0.7525
PRDTR	16	28	22	-0.1469	0.7135
DTR	1	44	22.5	-0.332	2.5809
GDD	1	44	22.5	-0.5785	7.7186
dGDD	10	35	22.5	-0.0636	0.2401
PR	16	29	22.5	-0.1557	0.7752
PRDTR	16	29	22.5	-0.1438	0.6923
DTR	1	45	23	-0.3423	2.7249
GDD	1	45	23	-0.5786	7.7226
dGDD	19	27	23	0.0678	0.2593
PR	8	38	23	-0.1525	0.7526
PRDTR	18	28	23	-0.1402	0.6677
DTR	1	46	23.5	-0.3484	2.8121
GDD	1	46	23.5	-0.5779	7.7019
dGDD	20	27	23.5	0.0667	0.2542
PR	9	38	23.5	-0.1409	0.6723
PRDTR	18	29	23.5	-0.1367	0.6446
DTR	1	47	24	-0.3559	2.923
GDD	1	47	24	-0.5775	7.6895
dGDD	1	47	24	0.0756	0.2967
PR	18	30	24	-0.1305	0.6043
PRDTR	18	30	24	-0.1309	0.6074
DTR	1	48	24.5	-0.3724	3.1748
GDD	1	48	24.5	-0.5813	7.8049
dGDD	1	48	24.5	0.0829	0.3325
PR	18	31	24.5	-0.1173	0.5226
PRDTR	18	31	24.5	-0.1152	0.5099
DTR	1	49	25	-0.3873	3.4127
GDD	1	49	25	-0.586	7.9489
dGDD	1	49	25	0.0844	0.3402
PR	12	38	25	-0.1108	0.4843
PRDTR	18	32	25	-0.1079	0.4674
DTR	1	50	25.5	-0.4007	3.6368
GDD	1	50	25.5	-0.5892	8.0484
dGDD	1	50	25.5	0.0897	0.3677
PR	16	35	25.5	-0.1137	0.5015
PRDTR	16	35	25.5	-0.1024	0.4364
DTR	2	50	26	-0.3984	3.5981
GDD	1	51	26	-0.5884	8.0239
dGDD	1	51	26	0.09	0.3693
PR	23	29	26	-0.1047	0.4495
PRDTR	17	35	26	-0.0893	0.3659
DTR	1	52	26.5	-0.4102	3.8034
GDD	1	52	26.5	-0.5886	8.0293
dGDD	1	52	26.5	0.1054	0.4533
PR	23	30	26.5	-0.0974	0.4087
PRDTR	18	35	26.5	-0.0897	0.3678
DTR	1	53	27	-0.4234	4.0409
GDD	1	53	27	-0.5887	8.0335
dGDD	1	53	27	0.1325	0.6171
PR	24	30	27	-0.1037	0.4438
PRDTR	16	38	27	-0.098	0.412
DTR	1	54	27.5	-0.439	4.3337
GDD	1	54	27.5	-0.5909	8.1022
dGDD	1	54	27.5	0.1364	0.6429
PR	17	38	27.5	-0.0895	0.3667
PRDTR	16	39	27.5	-0.0849	0.343
DTR	1	55	28	-0.4501	4.5534
GDD	1	55	28	-0.5963	8.2735
dGDD	1	55	28	0.1667	0.8554
PR	25	31	28	-0.0835	0.3359
PRDTR	1	55	28	0.087	0.3536
DTR	1	56	28.5	-0.4553	4.6575
GDD	1	56	28.5	-0.6024	8.471
dGDD	1	56	28.5	0.1866	1.0109
PR	25	32	28.5	-0.0688	0.2644
